,PREDICTED,ACTUAL
15060021,23.035,16
15060025,40.809,44
15060027,23.098,16
15060039,42.887,44
15060042,26.97,16
15060056,42.434,44
15060063,16.044,16
15060070,15.43,16
15060081,41.318,44
15060085,40.169,44
15060087,15.345,16
15060097,49.494,44
15060102,37.835,44
15060112,33.684,44
15060114,39.67,44
15060120,23.147,16
15060121,43.574,44
15060122,37.439,44
15060138,25.258,16
15060160,39.95,44
15060187,27.276,16
15060188,26.705,44
15060190,34.048,44
15060191,44.819,44
15060214,48.499,44
15060313,35.014,44
15060320,40.044,44
15060345,42.949,44
15060383,35.05,44
15060420,42.937,44
15060543,42.285,44
15060570,34.009,44
15060797,36.069,44
15060846,37.561,44
15060907,25.394,16
15060910,22.063,16
15060933,42.2,44
15060964,38.853,44
15061007,39.086,44
15061011,40.271,44
15061122,37.401,44
15061204,36.919,44
15061213,42.926,44
15061215,43.05,44
15061216,38.18,44
15061225,39.849,44
15061226,47.684,44
15061228,22.84,16
15061237,42.227,44
15061256,41.047,44
15061257,28.598,16
15061259,15.422,16
15061260,40.903,44
15061262,38.332,44
15061263,36.777,44
15061264,38.907,44
15061265,43.054,44
15061270,27.804,44
15061273,43.203,44
15061274,40.667,44
15061277,45.055,44
15061282,40.05,44
15061283,33.744,44
15061286,35.168,44
15061288,42.439,44
15061289,42.755,44
15061290,44.962,44
15061291,39.729,44
15061293,24.183,16
15061295,17.354,19
15061296,29.466,16
15061298,37.519,44
15061299,39.627,6
15061303,45.487,44
15061307,23.088,16
15061312,40.509,44
15061313,44.807,44
15061314,36.168,44
15061317,38.177,44
15061318,36.8,44
15061319,41.051,44
15061320,44.361,44
15061323,39.986,44
15061324,43.744,44
15061329,29.784,16
15061334,37.823,44
15061335,39.492,44
15061337,33.804,44
15061338,15.513,16
15061340,15.208,16
15061344,40.724,44
15061345,43.289,44
15061346,43.216,44
15061347,22.663,44
15061348,33.349,44
15061349,39.457,44
15061350,39.893,44
15061352,17.579,44
15061353,33.694,44
15061355,33.644,16
15061356,37.552,44
15061357,29.806,16
15061358,40.814,44
15061360,33.646,44
15061364,33.753,44
15061365,43.004,44
15061367,42.95,44
15061369,43.64,44
15061376,43.007,44
15061378,39.233,44
15061380,22.652,16
15061382,39.658,44
15061383,33.681,16
15061384,15.238,16
15061388,36.358,44
15061390,17.67,16
15061391,17.498,16
15061392,42.634,44
15061394,38.21,44
15061396,38.135,16
15061404,17.536,6
15061406,33.601,44
15061410,44.109,44
15061411,38.057,44
15061414,17.524,16
15061415,26.675,44
15061417,17.491,16
15061418,17.476,16
15061419,15.241,16
15061420,44.361,44
15061421,39.579,44
15061422,45.598,44
15061424,15.951,16
15061425,43.092,44
15061428,42.962,44
15061430,43.021,44
15061435,25.92,16
15061436,37.871,44
15061437,40.02,44
15061439,39.96,44
15061441,16.539,16
15061442,38.587,44
15061444,33.885,44
15061445,16.499,6
15061447,38.733,44
15061449,32.387,44
15061454,32.63,44
15061458,43.228,44
15061459,17.659,6
15061461,42.982,44
15061463,42.257,44
15061469,40.738,44
15061470,37.623,44
15061471,37.461,21
15061475,40.971,44
15061476,24.923,16
15061478,15.189,16
15061479,44.889,44
15061480,16.565,16
15061481,44.945,44
15061484,27.879,19
15061485,37.468,44
15061486,15.317,6
15061489,16.907,16
15061490,17.558,16
15061491,17.502,16
15061492,17.517,6
15061493,22.886,44
15061494,23.736,16
15061495,22.279,16
15061496,22.215,16
15061499,44.779,44
15061500,37.719,44
15061501,21.955,16
15061503,43.558,44
15061504,39.875,19
15061505,35.125,21
15061507,37.918,44
15061508,38.029,16
15061509,38.028,44
15061511,38.074,44
15061515,38.08,19
15061516,22.039,16
15061517,33.808,17
15061518,42.347,44
15061521,25.443,16
15061522,19.884,16
15061524,23.248,16
15061525,38.579,44
15061526,16.911,16
15061528,20.957,6
15061529,37.908,44
15061530,38.057,44
15061533,37.324,44
15061534,22.705,44
15061535,21.71,16
15061536,37.463,16
15061540,44.539,44
15061542,44.33,44
15061543,41.881,44
15061544,15.238,16
15061546,14.266,16
15061548,37.538,44
15061549,28.919,21
15061550,15.485,16
15061553,44.274,44
15061555,39.013,17
15061556,37.798,44
15061560,45.83,44
15061561,27.681,44
15061564,45.201,44
15061565,34.611,17
15061566,15.165,16
15061568,41.6,44
15061571,39.175,44
15061575,28.059,21
15061576,37.386,21
15061577,29.788,44
15061578,29.554,6
15061579,16.445,16
15061580,33.726,17
15061583,39.901,44
15061584,39.757,44
15061585,37.466,21
15061586,37.516,44
15061588,37.408,17
15061600,42.371,44
15061602,37.486,44
15061603,15.289,6
15061604,43.692,44
15061605,44.44,44
15061608,37.517,44
15061609,15.418,6
15061610,33.655,17
15061612,21.428,16
15061613,40.05,44
15061619,16.793,16
15061621,22.206,44
15061622,36.411,44
15061623,40.824,44
15061624,16.142,6
15061628,37.944,44
15061631,22.584,16
15061632,39.94,44
15061637,40.972,38
15061638,40.948,44
15061639,31.612,21
15061640,19.583,16
15061642,40.924,44
15061645,18.888,6
15061646,38.119,44
15061647,40.959,44
15061648,36.08,38
15061649,41.557,44
15061650,43.603,44
15061651,38.674,45
15061653,43.226,44
15061654,40.033,44
15061655,46.394,44
15061658,39.645,38
15061659,37.637,21
15061661,40.134,44
15061662,32.67,16
15061665,44.132,44
15061668,43.965,44
15061670,31.53,44
15061671,36.292,44
15061673,27.675,16
15061677,17.542,6
15061678,17.516,6
15061679,26.266,16
15061680,31.206,21
15061682,40.818,21
15061683,33.773,16
15061684,43.011,44
15061686,33.684,21
15061687,33.831,44
15061688,33.68,44
15061689,17.514,6
15061704,40.938,44
15061706,41.98,44
15061709,40.124,44
15061712,32.645,44
15061713,40.982,44
15061714,26.7,16
15061717,33.943,16
15061718,32.354,21
15061720,25.647,17
15061723,21.989,16
15061724,18.229,16
15061725,26.767,16
15061726,22.008,16
15061729,15.869,16
15061730,15.789,16
15061733,17.782,44
15061734,17.451,16
15061735,26.851,44
15061736,15.84,16
15061737,15.908,16
15061738,17.396,16
15061740,22.405,16
15061742,44.149,44
15061744,44.706,44
15061747,38.153,44
15061751,37.71,43
15061752,22.411,19
15061753,17.299,6
15061754,43.397,44
15061755,30.708,44
15061756,30.798,21
15061757,25.941,16
15061758,39.823,44
15061759,40.068,44
15061760,16.294,16
15061762,22.866,16
15061765,38.027,44
15061766,44.625,44
15061767,43.188,44
15061769,38.068,44
15061771,17.348,16
15061772,43.702,44
15061773,17.679,16
15061777,25.544,16
15061778,17.515,6
15061784,17.495,16
15061785,41.023,44
15061788,23.178,44
15061790,26.316,44
15061795,22.864,16
15061797,17.539,16
15061798,41.521,44
15061800,36.571,44
15061801,40.947,44
15061808,40.928,44
15061811,40.456,44
15061813,37.319,44
15061815,39.742,44
15061826,41.207,44
15061905,42.761,45
15061906,18.603,16
15061908,28.428,16
15061909,40.077,44
15061910,40.117,44
15061911,45.396,44
15061912,43.471,44
15061915,45.371,44
15061917,43.314,44
15061918,37.795,44
15061926,39.913,44
15061927,23.548,16
15061928,23.999,16
15061929,27.619,44
15061930,37.363,16
15061933,33.708,44
15061934,16.166,16
15061935,45.389,44
15061937,43.073,44
15061939,17.577,44
15061941,40.077,44
15061942,29.451,44
15061944,34.151,44
15061945,43.02,44
15061946,21.633,16
15061948,33.7,44
15061949,41.632,44
15061951,43.167,44
15061952,15.796,16
15061953,15.982,6
15061958,35.191,44
15061960,18.808,6
15061961,15.343,6
15061962,45.339,44
15061963,17.484,6
15061965,39.628,44
15061966,21.751,16
15061967,25.23,16
15061968,25.995,44
15062036,27.162,44
15062038,43.414,44
15062039,43.201,44
15062046,43.937,44
15062050,41.362,44
15062051,43.001,44
15062067,40.801,44
15062069,23.824,16
15062071,38.102,44
15062080,34.433,44
15062092,33.841,44
15062094,15.327,6
15062097,41.111,44
15062099,40.645,44
15062100,34.088,44
15062101,27.17,16
15062102,38.923,44
15062103,29.012,44
15062105,15.572,16
15062106,16.764,6
15062107,38.798,44
15062108,17.449,16
15062109,43.26,44
15062111,28.821,16
15062112,15.37,16
15062114,16.216,16
15062117,42.983,44
15062118,43.008,44
15062122,15.066,6
15062124,38.006,19
15062126,20.138,16
15062130,39.203,44
15062136,15.547,6
15062137,16.79,6
15062138,19.683,16
15062139,26.818,44
15062142,44.046,44
15062145,25.761,16
15062146,21.883,16
15062149,26.924,16
15062150,23.188,16
15062151,18.822,6
15062152,17.527,16
15062153,17.484,44
15062331,36.722,44
15062332,37.409,44
15062333,22.841,16
15062334,37.407,44
15062335,35.092,44
15062337,43.431,44
15062338,43.23,44
15062346,35.349,44
15062347,43.541,44
15062348,43.064,44
15062349,29.824,44
15062350,41.97,44
15062351,22.73,16
15062353,40.07,44
15062354,43.02,44
15062356,22.601,17
15062357,15.568,16
