SAMPLES,GEBVs(BA),ACTUAL
15062362,173.616,117
15061954,126.678,117
15062339,201.479,117
15061482,143.432,117
15062104,166.195,117
15061707,205.221,359
15061567,193.841,117
15061964,144.546,117
15061488,205.601,359
15061438,204.874,23
15061814,128.832,359
15061721,242.015,136
15061601,174.456,359
15061719,145.267,117
15061629,286.965,359
15061477,177.927,117
15061761,145.712,117
15061336,196.777,117
15061386,141.937,117
15061305,180.276,117
15061676,175.305,117
15061523,255.56,359
15061763,231.078,359
15061385,250.276,359
15062133,263.379,23
15061333,190.484,117
15061627,142.05,117
15061731,205.066,359
15061641,127.229,117
15061330,151.223,117
15061626,242.186,359
15062147,221.245,117
15061487,273.657,23
15060536,221.162,117
15061261,125.042,117
15061389,205.621,359
15060101,144.075,117
15061397,247.771,117
15061551,149.622,117
15061539,248.908,117
15062115,262.41,359
15061361,173.63,117
15061669,158.387,117
15062359,118.49,117
15061690,205.54,23
15061308,205.73,23
15062372,157.829,117
15061342,172.822,117
15061281,131.119,117
15061932,105.922,117
15061370,128.001,117
15061630,259.677,359
15061789,144.023,117
15061666,138.86,359
15062143,177.855,359
15061297,146.908,117
15061907,122.996,118
15061538,250.136,359
15062371,138.113,117
15061685,177.58,132
15062081,146.401,23
15061969,157.229,117
15061498,217.405,23
15061271,154.18,117
15062344,238.71,117
15061279,193.131,117
15062144,250.36,359
15061722,200.471,117
15061768,184.739,117
15061557,125.062,117
15061434,221.762,359
15060072,132.819,117
15061405,116.598,117
15062052,126.848,117
15062098,127.307,117
15061916,173.976,117
15061377,124.126,117
15061633,120.346,359
15061702,180.398,23
15061614,113.973,117
15061368,141.853,117
15061520,255.23,117
15060082,271.627,117
15061656,152.266,132
15061331,149.543,117
15061327,125.676,117
15062074,146.629,117
15061300,262.887,117
15061776,144.579,117
15061462,168.129,117
15061302,148.121,117
15061957,185.031,117
15061514,124.237,117
15060909,106.514,117
15062063,173.749,117
15060090,139.618,117
15061301,158.835,117
15061423,123.005,117
15061453,262.323,359
15060215,116.009,117
15062119,169.615,359
15061537,143.841,117
15061667,175.903,359
15062123,117.899,117
15061710,258.601,359
15061258,312.908,359
15061443,142.078,117
15060050,136.042,117
15060110,251.055,359
15062053,124.091,117
15061764,146.697,117
15061799,233.242,359
