probIn scale
0.02059676 12.94526
0.03156374 11.77169
0.06164331 11.11841
0.042071 11.66583
0.04016884 11.8889
0.03631329 12.18839
0.04956348 11.83977
0.03798378 12.25053
0.04285493 12.53516
0.03633358 12.02614
0.05039466 11.36056
0.03572428 10.21146
0.0490582 10.90332
0.04188303 12.9897
0.04293252 14.62856
0.06030657 15.37221
0.05409704 16.14414
0.05645588 13.77158
0.04249228 13.15194
0.04653101 12.48616
0.04657504 10.96005
0.04125566 11.06701
0.06916774 11.04528
0.05525385 10.54093
0.07054288 10.63991
0.06473521 10.28316
0.06201422 9.794799
0.05322677 9.822697
0.04301198 9.601229
0.04072226 9.25321
0.03961941 9.560315
0.05743883 10.66972
0.0586469 9.647693
0.05761366 9.951963
0.0532311 10.34518
0.03753493 10.27169
0.04438725 9.163942
0.07140071 9.479009
0.0644112 9.60876
0.05595777 9.690977
0.0504047 10.47918
0.04199876 9.362211
0.03703699 9.814575
0.0488294 9.72777
0.04333471 9.918451
0.0301418 9.222548
0.04176715 9.936463
0.04770455 10.12334
0.05816078 9.898259
0.04977313 10.12972
0.04806875 9.708799
0.04386624 10.27349
0.05832084 9.820615
0.05836615 9.845558
0.04988115 9.439118
0.04827801 9.2553
0.04189445 8.812449
0.03985791 8.810807
0.05613313 8.066818
0.04781045 8.096484
0.03954525 9.191535
0.04730904 8.184323
0.04898494 8.479428
0.07653644 9.002076
0.0733986 8.997898
0.06710621 8.608805
0.06636657 7.882102
0.05024813 7.510528
0.03552328 6.858348
0.05184571 7.952884
0.06411866 9.124997
0.05104925 8.994346
0.05411933 8.632469
0.05669959 8.168449
0.05704004 8.08952
0.04643605 8.17056
0.05393076 8.724432
0.04911504 10.30269
0.05739849 10.57796
0.07011289 10.92327
0.06149342 12.59042
0.04763491 10.46198
0.06168016 11.07007
0.05596031 11.03447
0.08103984 11.44195
0.05653915 11.00726
0.06024831 10.49601
0.06818434 10.50707
0.04945943 11.96553
0.06012445 12.45366
0.05267395 13.27888
0.04821363 13.90023
0.04277264 11.713
0.0336421 12.40404
0.05020222 12.25485
0.04107631 14.13831
0.05115253 14.88435
0.05787048 14.78308
0.04811551 15.03
0.03681199 13.53099
0.0487459 13.73568
0.04048353 14.66668
0.05072004 13.82167
0.04592356 12.44827
0.05989626 12.62878
0.04179665 12.86816
0.05013894 13.62857
0.0516671 14.65427
0.03535313 14.29781
0.0419 13.29866
0.03575943 13.35505
0.0439283 13.13258
0.03547344 12.07404
0.02767827 13.20209
0.03766332 11.94594
0.04451815 12.06248
0.03009838 12.21824
0.04910413 12.09103
0.04638656 13.18184
0.04350329 14.18356
0.03298413 14.0313
0.05109929 14.60947
0.02925452 14.81351
0.03851876 15.93206
0.04353086 16.7691
0.04682577 16.54962
0.04651385 18.33049
0.0399403 19.81468
0.03555287 20.80824
0.04037733 18.39992
0.04877123 17.77404
0.03226268 17.8647
0.04565135 18.16533
0.03393668 19.14585
0.04150024 18.77783
0.04151439 18.20478
0.033729 16.87731
0.0245045 15.44735
0.03010575 15.91528
0.02785564 15.29017
0.03372352 15.50028
0.03510554 14.99598
0.03724238 15.5027
0.04390128 15.61038
0.0468938 15.46048
0.03977952 14.4578
0.03136925 15.57773
0.04365248 15.77229
0.02531401 15.46113
0.01756242 14.87861
0.03836541 15.59183
0.03732644 14.32648
0.03575394 13.53242
0.04430017 13.62999
0.04807868 15.17811
0.04078621 13.72023
0.05402607 13.82486
0.05497654 14.5345
0.05208612 14.94608
0.04783949 15.42047
0.04249394 13.20739
0.04133779 14.88819
0.04075925 14.62355
0.04130408 14.58815
0.05007409 13.85066
0.07156827 14.15958
0.06444202 14.01546
0.06458228 12.61812
0.06045287 11.70481
0.04741674 10.4534
0.05168759 11.16343
0.07647628 10.90744
0.05659487 10.51501
0.05688945 10.15866
0.05719384 10.35165
0.05014659 10.71225
0.0572837 10.63867
0.04968543 10.88229
0.05960736 11.52086
0.04957109 11.08768
0.04144765 12.21975
0.05515385 11.66306
0.04426846 10.94699
0.04968873 11.95898
0.05800497 10.89278
0.05161604 11.21188
0.04831552 10.28768
0.05391759 10.47546
0.05315913 9.793146
0.03666712 9.576074
0.07836856 9.175538
0.05487472 9.390814
0.04780991 11.30721
0.03811691 10.50485
0.04241379 10.52018
0.04532405 10.76711
0.04268789 11.33161
0.05063228 10.47046
0.0458141 11.19945
0.03742804 11.29469
0.0482158 10.33729
0.05333931 9.799933
0.04740521 10.71718
0.05170199 11.5048
0.06083743 10.78704
0.04634324 11.0729
0.05067176 10.8767
0.04393929 10.51132
0.03805955 11.26663
0.04554747 11.51471
0.05071924 10.67011
0.04526765 11.33515
0.0556692 11.6914
0.0507659 11.89007
0.03954242 11.38254
0.04351447 11.97567
0.0431226 12.40487
0.02596514 12.38153
0.04721558 13.60115
0.04874599 13.94011
0.04683888 13.0178
0.0436105 12.73047
0.03980678 11.57365
0.04929999 11.85949
0.04315989 13.39016
0.03435437 15.52382
0.03479289 14.66275
0.05162334 13.96181
0.04564469 14.23696
0.04188447 13.57112
0.04288721 13.43507
0.0406308 14.23143
0.04553496 13.71576
0.0593601 13.56188
0.0374423 13.12014
0.03546375 14.87214
0.03641706 14.45208
0.02953284 14.14979
0.05328103 15.58216
0.04051965 17.24806
0.04174206 17.08396
0.03999374 16.17716
0.04773211 16.99496
0.04542429 16.55962
0.04015157 16.03555
0.03051042 15.40651
0.02929527 13.98245
0.02526872 14.41996
0.04530561 14.29149
0.05466277 15.40732
0.04589704 13.82119
0.04662545 13.23967
0.0300659 15.5189
0.03637093 16.12874
0.03503375 16.90354
0.03337254 17.48345
0.03688682 19.09657
0.03486088 18.64057
0.02213531 17.29017
0.03310683 18.48239
0.04355854 18.28902
0.03156259 16.54082
0.04939209 16.4656
0.03592776 16.81207
0.03498021 15.02381
0.02648377 14.43466
0.0314221 14.53833
0.02902398 12.40995
0.02824992 11.42879
0.04653057 10.61812
0.03786874 10.67287
0.04000667 11.21863
0.05491384 11.30928
0.03555521 12.2572
0.04363008 11.04684
0.03754178 9.85396
0.04962354 9.873676
0.04011311 10.76182
0.0463059 9.981029
0.02667618 9.983431
0.04140076 10.11286
0.03050979 11.9055
0.02593247 10.61288
0.03490203 12.03005
0.04023593 11.44659
0.03873628 10.84892
0.03977899 10.42597
0.04482398 10.48101
0.04716192 11.56624
0.05857405 11.37853
0.04564172 10.38095
0.03943133 10.12314
0.04208524 10.3942
0.04578158 11.04362
0.03460985 10.65131
0.05591693 10.79614
0.06413505 9.510082
0.06923552 9.168872
0.0662182 9.3019
0.06958198 9.172995
0.06762196 9.072795
0.06351594 9.814719
0.06218895 10.49264
0.06787419 9.333127
0.06978439 9.006153
0.07716084 9.393775
0.04436094 8.675223
0.06913571 8.87324
0.07906637 8.849607
0.06973669 8.825931
0.05961582 7.783985
0.0783574 8.272098
0.07370476 8.538697
0.07653355 7.620869
0.06660371 6.928475
0.07199226 6.543588
0.04247558 5.930092
0.05205277 6.108038
0.06946753 6.028116
0.04749109 6.254278
0.04379263 6.450068
0.0530547 6.432031
0.05640335 5.829796
0.04283773 5.296719
0.05814304 5.420275
0.07109754 5.773701
0.06435889 5.244526
0.07557725 5.6402
0.06199391 6.122274
0.06910263 5.846221
0.06923313 5.398754
0.05670709 4.99744
0.08191993 5.103492
0.0870616 4.833857
0.09107602 5.387534
0.08339941 5.15524
0.1186063 4.439191
0.08912926 4.357142
0.08779599 4.341518
0.111599 4.745757
0.1139863 4.610094
0.1102836 4.427196
0.09622858 4.332138
0.07960649 4.953132
0.08110755 5.003583
0.07728263 5.265618
0.07140955 5.359485
0.08010205 5.303259
0.05818997 5.277139
0.07139017 5.085712
0.0770734 5.244813
0.08790153 5.564614
0.06991488 5.327363
0.096752 4.869666
0.07003195 4.705051
0.08235425 4.634559
0.08944218 4.664451
0.06772198 4.951884
0.07464028 4.413282
0.08566742 4.762936
0.08349855 4.700958
0.06591069 4.568627
0.07240838 5.441215
0.08493806 5.659105
0.07286157 5.541328
0.08209037 5.134791
0.06890705 4.977375
0.1054231 4.366181
0.09002578 4.243787
0.08999398 4.36238
0.1036559 4.002664
0.1047474 3.655509
0.09855806 3.791743
0.09635923 4.032037
0.07917892 4.056894
0.1130031 4.255835
0.09482736 4.208729
0.1075427 4.337544
0.1253583 4.683654
0.09611004 4.290027
0.09674401 4.117077
0.1142427 3.900375
0.1598475 3.985855
0.1108654 3.914339
0.09944737 3.956098
0.08805694 3.88864
0.1301751 3.493867
0.1100854 4.082462
0.1005178 3.524253
0.148607 3.584018
0.1361793 3.814033
0.1115473 4.158692
0.1194998 4.031318
0.09565241 4.203618
0.1221769 4.402862
0.1118487 3.941963
0.1000096 3.280735
0.1097207 3.218941
0.1080792 3.255101
0.1462278 3.519771
0.1327354 3.501881
0.1177583 3.445706
0.1701601 3.642038
0.1404925 3.558816
0.1386362 3.962386
0.1122079 3.834836
0.1575558 3.65343
0.1374312 3.458794
0.1477019 3.286561
0.09987181 3.265207
0.09403702 3.635809
0.1163818 4.132254
0.08802278 3.916228
0.1026037 4.29599
0.0909808 4.608933
0.08690887 4.882222
0.08822238 3.981174
0.1047687 3.589639
