,BA,BB
15060021,34.941,34.847
15060025,53.185,52.87
15060027,33.108,35.161
15060039,53.943,53.912
15060042,38.385,39.267
15060056,52.937,53.77
15060063,31.028,30.343
15060070,29.448,29.634
15060081,52.417,53.385
15060085,52.68,51.32
15060087,29.4,29.603
15060097,57.934,57.925
15060102,51.312,51.301
15060112,47.254,46.761
15060114,51.3,51.892
15060120,31.944,33.928
15060121,53.234,53.283
15060122,51.253,51.507
15060138,34.935,36.203
15060160,54.812,53.498
15060187,41.072,40.701
15060188,38.412,40.304
15060190,44.16,45.383
15060191,54.604,55.241
15060214,55.251,59.734
15060313,49.52,49.684
15060320,52.05,51.826
15060345,53.203,53.406
15060383,49.625,49.372
15060420,53.229,53.225
15060543,52.358,52.888
15060570,47.241,46.727
15060797,48.282,47.672
15060846,51.796,51.874
15060907,34.654,33.475
15060910,35.989,35.093
15060933,52.435,52.932
15060964,51.635,50.227
15061007,51.76,51.141
15061011,53.026,52.983
15061122,51.565,51.645
15061204,51.642,49.224
15061213,53.754,53.87
15061215,54.014,53.947
15061216,49.328,50.492
15061225,52.116,52.169
15061226,54.548,56.561
15061228,32.496,33.257
15061237,52.367,53.011
15061256,52.865,52.443
15061257,38.088,37.688
15061259,29.429,29.649
15061260,53.261,53.03
15061262,50.061,50.209
15061263,52.334,49.382
15061264,50.984,51.335
15061265,53.167,53.321
15061270,44.037,44.771
15061273,53.133,53.489
15061274,50.194,51.174
15061277,55.993,56.827
15061282,51.903,52.292
15061283,47.138,46.768
15061286,51.407,50.284
15061288,53.155,53.544
15061289,53.588,53.836
15061290,54.907,54.774
15061291,51.258,50.767
15061293,33.103,35.927
15061295,32.097,30.776
15061296,40.826,40.789
15061298,51.288,49.919
15061299,51.209,52.085
15061303,54.7,54.822
15061307,33.03,33.65
15061312,51.61,50.783
15061313,54.781,55.218
15061314,49.597,50.202
15061317,49.92,49.984
15061318,45.577,48.606
15061319,53.664,53.167
15061320,53.708,53.565
15061323,51.545,52.178
15061324,53.645,54.078
15061329,42.19,41.935
15061334,49.876,50.852
15061335,51.514,51.033
15061337,47.518,46.836
15061338,29.534,29.775
15061340,29.267,29.47
15061344,52.342,52.366
15061345,53.898,53.613
15061346,53.467,53.419
15061347,34.987,35.278
15061348,47.151,46.624
15061349,50.648,50.267
15061350,51.632,51.023
15061352,32.361,32.266
15061353,47.247,46.781
15061355,47.129,46.764
15061356,51.678,51.966
15061357,42.565,41.209
15061358,53.204,52.943
15061360,47.017,46.096
15061364,47.554,46.841
15061365,53.799,53.98
15061367,53.915,54.039
15061369,53.617,53.512
15061376,53.336,53.294
15061378,51.164,50.885
15061380,34.832,35.25
15061382,51.843,51.756
15061383,47.267,46.766
15061384,29.244,29.632
15061388,48.703,48.574
15061390,32.596,32.4
15061391,32.315,32.266
15061392,53.018,54.195
15061394,49.926,49.998
15061396,49.857,49.985
15061404,32.412,32.225
15061406,47.045,46.635
15061410,53.878,54.605
15061411,48.164,48.941
15061414,32.391,32.277
15061415,40.096,39.491
15061417,32.339,32.172
15061418,32.097,32.159
15061419,29.231,29.627
15061420,53.708,53.565
15061421,52.574,52.325
15061422,55.285,55.586
15061424,28.583,28.307
15061425,53.264,53.312
15061428,53.187,53.283
15061430,53.35,53.381
15061435,38.493,38.679
15061436,51.186,51.17
15061437,51.327,51.46
15061439,51.498,51.382
15061441,28.875,28.767
15061442,48.42,49.522
15061444,48.322,46.382
15061445,28.871,28.761
15061447,51.276,49.768
15061449,46.435,45.823
15061454,46.692,46.121
15061458,53.578,53.499
15061459,32.439,32.534
15061461,53.32,53.321
15061463,54.229,54.332
15061469,52.242,52.271
15061470,51.797,51.939
15061471,51.684,51.813
15061475,53.332,52.932
15061476,35.215,37.078
15061478,29.269,29.653
15061479,54.196,54.613
15061480,28.887,28.755
15061481,54.719,55.286
15061484,44.075,44.73
15061485,50.727,50.308
15061486,31.666,32.502
15061489,31.979,31.326
15061490,32.386,32.257
15061491,32.209,32.229
15061492,32.346,32.242
15061493,34.984,35.52
15061494,35.702,35.338
15061495,34.594,34.865
15061496,34.378,34.645
15061499,54.596,55.186
15061500,50.821,50.457
15061501,35.082,34.995
15061503,53.493,53.551
15061504,52.14,52.393
15061505,51.487,50.209
15061507,48.077,48.883
15061508,48.147,49.001
15061509,51.533,51.374
15061511,51.43,51.448
15061515,49.69,49.901
15061516,34.752,34.932
15061517,47.193,46.798
15061518,53.646,53.368
15061521,36.386,38.045
15061522,31.9,30.469
15061524,35.08,35.138
15061525,48.766,49.694
15061526,29.768,29.05
15061528,33.396,34.1
15061529,51.33,51.319
15061530,48.255,49.021
15061533,47.54,47.083
15061534,34.89,34.578
15061535,33.028,33.518
15061536,46.578,47.425
15061540,54.343,54.521
15061542,54.339,55.033
15061543,53.044,53.116
15061544,28.135,28.434
15061546,27.734,28.513
15061548,48.919,49.249
15061549,43.262,42.967
15061550,28.295,27.871
15061553,53.681,54.383
15061555,51.45,51.292
15061556,51.031,50.539
15061560,56.374,57.194
15061561,44.855,43.4
15061564,54.492,55.442
15061565,48.917,48.365
15061566,29.013,28.461
15061568,52.846,55.467
15061571,50.61,50.877
15061575,44.173,44.368
15061576,51.347,51.671
15061577,42.071,41.766
15061578,42.241,41.783
15061579,29.266,28.436
15061580,47.368,46.65
15061583,51.661,52.098
15061584,50.019,50.662
15061585,51.726,51.848
15061586,51.619,51.819
15061588,50.87,50.165
15061600,50.689,52.602
15061602,49.591,49.471
15061603,29.394,29.732
15061604,53.802,54.018
15061605,55.279,56.55
15061608,51.781,51.884
15061609,29.608,29.718
15061610,47.133,46.735
15061612,32.7,31.423
15061613,51.695,52.217
15061619,32.004,31.296
15061621,35.375,35.203
15061622,47.356,47.762
15061623,53.261,52.925
15061624,30.371,30.672
15061628,51.403,51.299
15061631,34.401,34.261
15061632,51.552,52.241
15061637,53.433,53.031
15061638,53.573,53.125
15061639,50.054,49.864
15061640,33.913,32.884
15061642,53.218,53.143
15061645,32.638,32.099
15061646,49.929,50.015
15061647,53.326,53.025
15061648,49.455,49.601
15061649,52.183,50.518
15061650,53.092,52.719
15061651,48.517,49.639
15061653,53.558,53.524
15061654,51.475,52.046
15061655,56.628,57.888
15061658,52.606,52.637
15061659,51.617,52.067
15061661,51.917,52.467
15061662,46.575,46.217
15061665,53.909,54.591
15061668,53.633,54.431
15061670,49.936,49.546
15061671,49.672,50.38
15061673,40.116,38.78
15061677,32.435,32.47
15061678,32.433,32.294
15061679,38.768,38.874
15061680,49.861,49.508
15061682,53.349,53.048
15061683,46.954,46.662
15061684,53.348,54.817
15061686,47.254,46.761
15061687,49.32,46.213
15061688,47.227,46.758
15061689,32.315,32.245
15061704,53.342,53.075
15061706,52.551,53.1
15061709,52.282,51.854
15061712,46.898,46.179
15061713,53.461,53.159
15061714,39.765,39.485
15061717,43.549,44.202
15061718,46.735,46.025
15061720,40.582,38.348
15061723,35.29,34.98
15061724,30.332,29.901
15061725,40.059,39.593
15061726,35.5,35.227
15061729,28.285,28.095
15061730,28.393,27.957
15061733,33.053,33.887
15061734,32.199,32.182
15061735,40.195,39.678
15061736,28.482,27.898
15061737,28.661,28.252
15061738,32.215,32.21
15061740,37.44,38.545
15061742,54.065,54.313
15061744,54.303,54.74
15061747,49.798,49.896
15061751,51.904,51.899
15061752,37.289,38.513
15061753,32.128,32.047
15061754,53.267,54.811
15061755,48.875,46.084
15061756,48.726,46.29
15061757,38.532,38.624
15061758,51.027,50.603
15061759,51.551,51.468
