,PREDICTED,ACTUAL
15060021,35.007,28
15060025,53.369,54
15060027,33.309,28
15060039,54.13,54
15060042,38.616,28
15060056,52.896,54
15060063,31.063,28
15060070,29.643,28
15060081,51.584,54
15060085,52.557,54
15060087,29.528,28
15060097,57.714,54
15060102,51.411,54
15060112,47.259,54
15060114,51.307,54
15060120,31.229,28
15060121,53.192,54
15060122,51.461,54
15060138,34.525,28
15060160,53.803,54
15060187,41.241,28
15060188,37.725,54
15060190,44.448,54
15060191,54.652,54
15060214,54.956,54
15060313,49.212,54
15060320,52.119,54
15060345,53.401,54
15060383,49.295,54
15060420,53.311,54
15060543,52.314,54
15060570,47.39,54
15060797,48.061,54
15060846,51.841,54
15060907,34.175,28
15060910,36.377,28
15060933,52.368,54
15060964,52.179,54
15061007,52.335,54
15061011,53.244,54
15061122,51.635,54
15061204,51.632,54
15061213,53.813,54
15061215,54.05,54
15061216,49.563,54
15061225,52.024,54
15061226,54.989,54
15061228,32.406,28
15061237,52.353,54
15061256,52.514,54
15061257,38.159,28
15061259,29.555,28
15061260,53.464,54
15061262,50.058,54
15061263,52.514,54
15061264,50.971,54
15061265,52.94,54
15061270,43.761,54
15061273,52.933,54
15061274,49.966,54
15061277,55.914,54
15061282,51.923,54
15061283,47.162,54
15061286,51.356,54
15061288,53.114,54
15061289,53.898,54
15061290,54.336,54
15061291,51.153,54
15061293,33.001,28
15061295,31.771,36
15061296,40.856,28
15061298,50.839,54
15061299,51.333,28
15061303,55.149,54
15061307,33.026,28
15061312,51.519,54
15061313,54.726,54
15061314,49.85,54
15061317,49.878,54
15061318,45.583,54
15061319,53.818,54
15061320,53.627,54
15061323,51.709,54
15061324,53.415,54
15061329,42.118,28
15061334,49.484,54
15061335,52.16,54
15061337,47.447,54
15061338,29.54,28
15061340,29.323,28
15061344,52.693,54
15061345,53.949,54
15061346,53.547,54
15061347,35.132,54
15061348,47.035,54
15061349,50.487,54
15061350,51.498,54
15061352,32.253,54
15061353,47.273,54
15061355,47.139,28
15061356,51.688,54
15061357,42.535,28
15061358,53.328,54
15061360,47.096,54
15061364,47.515,54
15061365,53.989,54
15061367,53.945,54
15061369,53.544,54
15061376,53.386,54
15061378,51.811,54
15061380,34.921,28
15061382,51.972,54
15061383,47.278,28
15061384,29.417,28
15061388,48.487,54
15061390,32.489,28
15061391,32.202,28
15061392,52.257,54
15061394,49.811,54
15061396,49.812,28
15061404,32.33,28
15061406,47.092,54
15061410,54.145,54
15061411,48.188,54
15061414,32.271,28
15061415,40.107,54
15061417,32.267,28
15061418,32.046,28
15061419,29.398,28
15061420,53.627,54
15061421,52.55,54
15061422,55.132,54
15061424,28.796,28
15061425,53.395,54
15061428,53.422,54
15061430,53.456,54
15061435,38.541,28
15061436,51.391,54
15061437,51.651,54
15061439,51.613,54
15061441,29.109,28
15061442,48.511,54
15061444,48.624,54
15061445,29.086,28
15061447,51.371,54
15061449,46.404,54
15061454,46.729,54
15061458,53.615,54
15061459,32.361,28
15061461,53.413,54
15061463,54.762,54
15061469,52.64,54
15061470,51.926,54
15061471,51.662,49
15061475,53.345,54
15061476,35.396,28
15061478,29.438,28
15061479,54.102,54
15061480,29.187,28
15061481,54.725,54
15061484,43.753,45
15061485,50.879,54
15061486,31.57,28
15061489,31.882,28
15061490,32.339,28
15061491,32.143,28
15061492,32.301,28
15061493,35.154,54
15061494,35.813,28
15061495,34.857,28
15061496,34.552,28
15061499,54.615,54
15061500,50.962,54
15061501,35.156,28
15061503,53.646,54
15061504,52.279,45
15061505,51.448,49
15061507,48.16,54
15061508,48.235,28
15061509,51.635,54
15061511,51.6,54
15061515,49.671,45
15061516,34.863,28
15061517,47.313,42
15061518,53.697,54
15061521,36.578,28
15061522,31.849,28
15061524,35.188,28
15061525,48.839,54
15061526,29.58,28
15061528,33.055,28
15061529,51.536,54
15061530,48.343,54
15061533,47.273,54
15061534,34.757,54
15061535,32.874,28
15061536,46.74,28
15061540,54.432,54
15061542,54.526,54
15061543,53.387,54
15061544,27.542,28
15061546,27.719,28
15061548,48.371,54
15061549,43.404,49
15061550,28.162,28
15061553,52.796,54
15061555,51.563,42
15061556,51.071,54
15061560,56.004,54
15061561,44.78,54
15061564,53.749,54
15061565,48.517,42
15061566,29.13,28
15061568,52.832,54
15061571,49.796,54
15061575,43.828,49
15061576,51.528,49
15061577,42.105,54
15061578,42.224,28
15061579,29.403,28
15061580,47.473,42
15061583,51.707,54
15061584,49.992,54
15061585,51.9,49
15061586,51.72,54
15061588,51.158,42
15061600,50.409,54
15061602,49.984,54
15061603,29.477,28
15061604,52.515,54
15061605,55.905,54
15061608,51.899,54
15061609,29.678,28
15061610,47.13,42
15061612,33.102,28
15061613,51.82,54
15061619,31.86,28
15061621,35.328,54
15061622,47.123,54
15061623,53.411,54
15061624,30.476,28
15061628,51.462,54
15061631,34.326,28
15061632,51.658,54
15061637,53.577,53
15061638,53.706,54
15061639,50.004,49
15061640,33.842,28
15061642,53.098,54
15061645,32.694,28
15061646,49.869,54
15061647,53.475,54
15061648,49.662,53
15061649,52.214,54
15061650,53.104,54
15061651,48.555,58
15061653,53.722,54
15061654,51.569,54
15061655,56.341,54
15061658,52.519,53
15061659,51.964,49
15061661,52.031,54
15061662,46.557,28
15061665,53.984,54
15061668,53.724,54
15061670,49.836,54
15061671,49.909,54
15061673,40.183,28
15061677,32.496,28
15061678,32.269,28
15061679,38.868,28
15061680,49.881,49
15061682,53.584,49
15061683,47.026,28
15061684,53.376,54
15061686,47.259,49
15061687,49.442,54
15061688,47.289,54
15061689,32.241,28
15061704,53.481,54
15061706,51.769,54
15061709,52.298,54
15061712,46.916,54
15061713,53.658,54
15061714,39.754,28
15061717,43.938,28
15061718,46.625,49
15061720,40.595,42
15061723,35.26,28
15061724,30.604,28
15061725,40.019,28
15061726,35.869,28
15061729,28.486,28
15061730,28.525,28
15061733,33.168,54
15061734,32.125,28
15061735,40.251,54
15061736,28.696,28
15061737,28.817,28
15061738,32.203,28
15061740,37.41,28
15061742,54.133,54
15061744,54.022,54
15061747,49.771,54
15061751,52.001,62
15061752,37.382,45
15061753,32.086,28
15061754,53.427,54
15061755,48.641,54
15061756,48.682,49
15061757,38.596,28
15061758,51.654,54
15061759,51.692,54
15061760,29.104,28
15061762,34.976,28
15061765,51.945,54
15061766,54.812,54
15061767,52.927,54
15061769,50.443,54
15061771,31.81,28
15061772,53.361,54
15061773,32.004,28
15061777,38.565,28
15061778,32.261,28
15061784,32.284,28
15061785,52.689,54
15061788,35.478,54
15061790,38.872,54
15061795,34.938,28
15061797,32.285,28
15061798,53.147,54
15061800,49.651,54
15061801,51.933,54
15061808,51.911,54
15061811,53.265,54
15061813,51.053,54
15061815,51.817,54
15061826,52.904,54
15061905,53.93,58
15061906,32.497,28
15061908,41.637,28
15061909,52.251,54
15061910,51.857,54
15061911,55.109,54
15061912,52.479,54
15061915,55.001,54
15061917,53.697,54
15061918,52.125,54
15061926,52.03,54
15061927,33.516,28
15061928,34.016,28
15061929,41.765,54
15061930,51.463,28
15061933,47.294,54
15061934,29.169,28
15061935,55.014,54
15061937,52.657,54
15061939,32.477,54
15061941,51.965,54
15061942,40.896,54
15061944,46.881,54
15061945,53.344,54
15061946,34.369,28
15061948,47.282,54
15061949,52.15,54
15061951,53.503,54
15061952,28.678,28
15061953,29.802,28
15061958,45.615,54
15061960,32.042,28
15061961,29.764,28
15061962,55.11,54
15061963,32.114,28
15061965,52.325,54
15061966,31.538,28
15061967,35.383,28
15061968,38.799,54
15062036,39.262,54
15062038,53.868,54
15062039,54.391,54
15062046,52.56,54
15062050,49.841,54
15062051,53.314,54
15062067,51.49,54
15062069,35.547,28
15062071,50.052,54
15062080,46.339,54
15062092,47.546,54
15062094,29.66,28
15062097,53.765,54
15062099,52.435,54
15062100,48.672,54
15062101,43.636,28
15062102,50.958,54
15062103,41.275,54
15062105,29.809,28
15062106,31.808,28
15062107,49.04,54
15062108,32.23,28
15062109,53.801,54
15062111,43.292,28
15062112,29.746,28
15062114,28.865,28
15062117,53.326,54
15062118,53.488,54
15062122,30.916,28
15062124,51.709,45
15062126,34.163,28
15062130,49.388,54
15062136,30.758,28
15062137,31.552,28
15062138,33.049,28
15062139,39.929,54
15062142,53.808,54
15062145,36.334,28
15062146,34.381,28
15062149,40.284,28
15062150,35.61,28
15062151,33.449,28
15062152,32.284,28
15062153,32.381,54
15062331,51.47,54
15062332,51.491,54
15062333,32.817,28
15062334,51.383,54
15062335,51.482,54
