Samples,Baya.H
15061942,118
15061763,132
15061801,118
15061494,117
15061613,128
15062137,117
15061319,115
15062142,106
15060320,118
15061768,118
15061522,118
15060081,112
15061656,128
15061759,106
15061928,117
15061454,117
15061605,118
15060087,115
15061619,132
15060090,118
15061731,118
15061655,118
15061661,132
15061499,106
15061647,117
15061612,117
15061742,111
15061710,106
15062372,117
15061583,117
15061767,106
15062130,106
15061637,106
15061337,117
15062104,128
15061579,115
15061932,128
15061603,118
15060025,118
15061704,107
15061334,118
15061631,118
15060964,132
15061778,117
15061718,128
15061486,117
15060214,117
15061333,117
15061962,117
15061624,117
15061282,112
15061529,118
15061935,106
15061568,117
15061491,106
15061318,117
15061361,117
15061515,112
15062123,117
15061358,132
15061428,118
15061496,117
15061648,118
15061808,118
15061600,117
15061730,115
15061623,118
15061405,115
15061299,117
15061578,117
15061476,115
15061765,118
15062111,132
15061397,132
15061713,115
15061584,118
15061912,117
15061260,128
15062099,117
15061350,128
15060933,118
15061548,117
15061348,128
15061560,118
15061544,115
15061449,117
15062348,117
15061916,112
15062138,106
15061946,117
15061676,128
15060536,117
15061391,117
15061662,115
15061228,128
15061356,117
15061963,128
15061338,118
15062331,70
15062098,118
15062114,115
15062046,117
15062370,117
15061685,115
15061540,115
15061721,106
15062074,117
15062362,117
15061689,106
15061357,117
15061376,117
15061308,117
