Samples,PriFlor.H
15061942,323
15061763,315
15061801,302
15061494,322
15061613,320
15062137,322
15061319,312
15062142,322
15060320,327
15061768,322
15061522,322
15060081,305
15061656,309
15061759,312
15061928,327
15061454,312
15061605,319
15060087,332
15061619,322
15060090,332
15061731,320
15061655,309
15061661,319
15061499,309
15061647,305
15061612,322
15061742,327
15061710,327
15062372,303
15061583,315
15061767,303
15062130,320
15061637,322
15061337,317
15062104,312
15061579,322
15061932,323
15061603,319
15060025,305
15061704,293
15061334,327
15061631,322
15060964,321
15061778,322
15061718,305
15061486,310
15060214,321
15061333,305
15061962,320
15061624,308
15061282,322
15061529,71
15061935,329
15061568,322
15061491,322
15061318,329
15061361,322
15061515,71
15062123,310
15061358,314
15061428,320
15061496,312
15061648,322
15061808,323
15061600,326
15061730,305
15061623,308
15061405,310
15061299,319
15061578,319
15061476,312
15061765,71
15062111,322
15061397,71
15061713,309
15061584,322
15061912,323
15061260,323
15062099,327
15061350,326
15060933,312
15061548,329
15061348,322
15061560,319
15061544,324
15061449,310
15062348,320
15061916,321
15062138,322
15061946,314
15061676,316
15060536,319
15061391,329
15061662,312
15061228,312
15061356,319
15061963,322
15061338,320
15062331,327
15062098,320
15062114,322
15062046,327
15062370,312
15061685,320
15061540,322
15061721,327
15062074,304
15062362,316
15061689,329
15061357,322
15061376,329
15061308,323
