Samples,CBaya.L
15061614,54
15061337,54
15062067,69
15061752,66
15061930,69
15061566,50
15061773,54
15061575,66
15061344,71
15061282,58
15061926,69
15061906,54
15061665,54
15061397,53
15060187,54
15061534,50
15062362,54
15061521,66
15061633,54
15061659,54
15061673,50
15062356,62
15061361,54
15061729,54
15061755,50
15061496,54
15062368,69
15062339,69
15061577,54
15062136,44
15061529,66
15061396,66
15061482,66
15061814,54
15061769,54
15061610,66
15062147,69
15061358,53
15061550,54
15061271,62
15060214,54
15062074,54
15061507,69
15061383,50
15062149,53
15060042,66
15061647,54
15061477,72
15061586,66
15062347,69
15061958,77
15062346,54
15061639,54
15061757,58
15061299,54
15061653,54
15061761,54
15062146,72
15061655,66
15061329,54
15061535,54
15061578,54
15061730,50
15061627,76
15061500,50
15061717,54
15062122,66
15061435,54
15061706,54
15061624,54
15060121,58
15061423,54
15061488,54
15061916,58
15061487,53
15061281,50
15061937,71
15061493,54
15061296,66
15061649,58
15061307,54
15062133,54
15062350,54
15061338,66
15060027,54
15061011,54
15061795,50
15062358,58
15061216,66
15061300,58
15061462,72
15061516,66
15061394,66
15061453,50
15062123,54
15060110,54
15061964,54
15061542,50
15060570,54
15061785,53
15061766,66
15060021,44
15061364,76
15060050,50
15061637,69
15062369,54
15061345,69
15061966,54
15061737,54
15060112,44
15061751,49
15061567,66
