Samples,CPBrote.L
15061614,31
15061337,33
15062067,39
15061752,26
15061930,31
15061566,33
15061773,26
15061575,26
15061344,27
15061282,27
15061926,33
15061906,26
15061665,57
15061397,58
15060187,41
15061534,38
15062362,43
15061521,43
15061633,43
15061659,42
15061673,45
15062356,26
15061361,26
15061729,49
15061755,33
15061496,33
15062368,48
15062339,36
15061577,26
15062136,33
15061529,33
15061396,26
15061482,36
15061814,49
15061769,39
15061610,26
15062147,39
15061358,27
15061550,33
15061271,26
15060214,26
15062074,26
15061507,43
15061383,26
15062149,44
15060042,26
15061647,27
15061477,26
15061586,46
15062347,26
15061958,48
15062346,36
15061639,43
15061757,26
15061299,43
15061653,48
15061761,26
15062146,26
15061655,36
15061329,27
15061535,26
15061578,36
15061730,42
15061627,54
15061500,52
15061717,27
15062122,26
15061435,33
15061706,49
15061624,36
15060121,26
15061423,31
15061488,38
15061916,26
15061487,26
15061281,54
15061937,26
15061493,33
15061296,33
15061649,33
15061307,27
15062133,26
15062350,38
15061338,26
15060027,26
15061011,27
15061795,33
15062358,36
15061216,38
15061300,27
15061462,48
15061516,36
15061394,26
15061453,43
15062123,26
15060110,26
15061964,26
15061542,49
15060570,43
15061785,43
15061766,26
15060021,26
15061364,33
15060050,45
15061637,26
15062369,48
15061345,39
15061966,26
15061737,59
15060112,26
15061751,49
15061567,39
