Samples,CPTuber.C
15060025,47
15060039,28
15060056,47
15060063,29
15060070,8
15060072,40
15060081,41
15060082,42
15060085,11
15060087,11
15060090,36
15060097,35
15060101,26
15060102,29
15060114,33
15060120,42
15060122,33
15060138,39
15060160,33
15060188,40
15060190,29
15060191,41
15060215,35
15060313,45
15060320,42
15060345,42
15060383,35
15060420,37
15060536,32
15060543,32
15060797,19
15060846,32
15060907,43
15060909,35
15060910,39
15060933,39
15060964,16
15061007,33
15061122,33
15061204,11
15061213,29
15061215,28
15061225,33
15061226,41
15061228,11
15061237,39
15061256,11
15061257,39
15061258,11
15061259,8
15061260,11
15061261,41
15061262,8
15061263,16
15061264,35
15061265,29
15061270,39
15061273,39
15061274,37
15061277,41
15061279,29
15061283,28
15061286,29
15061288,35
15061289,32
15061290,42
15061291,37
15061293,57
15061295,29
15061297,8
15061298,43
15061301,32
15061302,11
15061303,42
15061305,41
15061308,8
15061312,39
15061313,35
15061314,33
15061317,33
15061318,11
15061319,41
15061320,41
15061323,37
15061324,32
15061327,37
15061330,35
15061331,35
15061333,8
15061334,32
15061335,35
15061336,23
15061340,39
15061342,29
15061346,32
15061347,36
15061348,29
15061349,32
15061350,37
15061352,47
15061353,29
15061355,19
15061356,35
15061357,8
15061360,23
15061365,32
15061367,29
15061368,24
15061369,20
15061370,37
15061376,32
15061377,47
15061378,47
15061380,37
15061382,26
15061384,11
15061385,11
15061386,16
15061388,29
15061389,11
15061390,11
15061391,16
15061392,25
15061404,11
15061405,36
15061406,28
15061410,37
15061411,26
15061414,47
15061415,37
15061417,8
15061418,47
15061419,8
15061420,47
15061421,28
15061422,16
15061424,16
15061425,32
15061428,32
15061430,37
15061434,29
15061436,47
15061437,42
15061438,8
15061439,47
15061441,42
15061442,20
15061443,47
15061444,19
15061445,42
15061447,28
15061449,43
15061454,19
15061458,39
15061459,8
15061461,42
15061463,16
15061469,36
15061470,26
15061471,36
15061475,29
15061476,22
15061478,8
15061479,28
15061480,42
15061481,47
15061484,35
15061485,42
15061486,8
15061489,16
15061490,16
15061491,11
15061492,11
15061494,8
15061495,29
15061498,8
15061499,41
15061501,36
15061503,26
15061504,26
15061505,39
15061508,42
15061509,11
15061511,8
15061514,37
15061515,29
15061517,29
15061518,29
15061520,28
15061522,47
15061523,16
15061524,11
15061525,36
15061526,19
15061528,32
15061530,16
15061533,16
15061536,8
15061537,29
15061538,11
15061539,35
15061540,41
15061543,32
15061544,19
15061546,8
15061548,29
15061549,11
15061551,41
15061553,37
15061555,39
15061556,42
15061557,35
15061560,35
15061561,42
15061564,56
15061565,35
15061568,42
15061571,37
15061576,35
15061579,16
15061580,19
15061583,26
15061584,39
15061585,16
15061588,29
15061600,29
15061601,8
15061602,35
15061603,8
15061604,34
15061605,42
15061608,26
15061609,19
15061612,41
15061613,33
15061619,11
15061621,32
15061622,47
15061623,32
15061626,8
15061628,36
15061629,41
15061630,11
15061631,11
15061632,29
15061638,35
15061640,8
15061641,28
15061642,25
15061645,8
15061646,29
15061648,11
15061650,42
15061651,28
15061654,26
15061656,36
15061658,36
15061661,36
15061662,16
15061666,36
15061667,28
15061668,35
15061669,47
15061670,32
15061671,28
15061676,32
15061677,11
15061678,11
15061679,29
15061680,28
15061682,35
15061683,35
15061684,28
15061685,32
15061686,16
15061687,8
15061688,19
15061689,11
15061690,8
15061702,42
15061704,19
15061707,43
15061709,47
15061710,8
15061712,11
15061713,47
15061714,6
15061718,11
15061719,33
15061720,32
15061721,28
15061722,19
15061723,35
15061724,22
15061725,34
15061726,34
15061731,43
15061733,37
15061734,34
15061735,36
15061736,42
15061738,11
15061740,11
15061742,35
15061744,40
15061747,33
15061753,43
15061754,47
15061756,16
15061758,19
15061759,45
15061760,33
15061762,16
15061763,22
15061764,35
15061765,11
15061767,11
15061768,33
15061771,11
15061772,8
15061776,47
15061777,19
15061778,11
15061784,8
15061788,16
15061789,41
15061790,35
15061797,35
15061798,28
15061799,34
15061800,42
15061801,29
15061808,32
15061811,16
15061813,42
15061815,28
15061826,29
15061905,28
15061907,42
15061908,29
15061909,11
15061910,26
15061911,41
15061912,41
15061915,47
15061917,29
15061918,26
15061927,8
15061928,11
15061929,35
15061932,42
15061933,16
15061934,41
15061935,37
15061939,42
15061941,35
15061942,46
15061944,42
15061945,35
15061946,22
15061948,56
15061949,8
15061951,37
15061952,28
15061953,16
15061954,35
15061957,32
15061960,8
15061961,19
15061962,35
15061963,11
15061965,36
15061967,19
15061968,19
15061969,41
15062036,26
15062038,28
15062039,30
15062046,41
15062050,35
15062051,35
15062052,39
15062053,35
15062063,19
15062069,11
15062071,32
15062080,47
15062081,19
15062092,29
15062094,8
15062097,28
15062098,28
15062099,22
15062100,42
15062101,37
15062102,36
15062103,47
15062104,36
15062105,16
15062106,11
15062107,26
15062108,8
15062109,28
15062111,33
15062112,42
15062114,47
15062115,42
15062117,32
15062118,32
15062119,8
15062124,11
15062126,11
15062130,35
15062137,16
15062138,8
15062139,29
15062142,41
15062143,32
15062144,16
15062145,11
15062150,11
15062151,42
15062152,11
15062153,32
15062331,26
15062332,36
15062333,16
15062334,32
15062335,35
15062337,35
15062338,37
15062344,29
15062348,29
15062349,11
15062351,22
15062353,47
15062354,35
15062357,16
15062359,47
15062360,41
15062361,29
15062363,28
15062366,28
15062367,35
15062370,8
15062371,35
15062372,16
