Samples,CPTuber.H
15060025,85
15060039,21
15060056,85
15060063,17
15060070,313
15060072,42
15060081,86
15060082,96
15060085,328
15060087,328
15060090,346
15060097,83
15060101,342
15060102,7
15060114,10
15060120,96
15060122,10
15060138,17
15060160,10
15060188,69
15060190,5
15060191,86
15060215,96
15060313,83
15060320,96
15060345,96
15060383,83
15060420,18
15060536,84
15060543,14
15060797,5
15060846,14
15060907,355
15060909,93
15060910,17
15060933,17
15060964,359
15061007,10
15061122,10
15061204,328
15061213,17
15061215,21
15061225,10
15061226,86
15061228,328
15061237,17
15061256,328
15061257,17
15061258,328
15061259,313
15061260,328
15061261,86
15061262,313
15061263,359
15061264,83
15061265,7
15061270,17
15061273,17
15061274,12
15061277,86
15061279,17
15061283,21
15061286,17
15061288,16
15061289,14
15061290,96
15061291,18
15061293,97
15061295,17
15061297,313
15061298,21
15061301,14
15061302,328
15061303,96
15061305,86
15061308,313
15061312,17
15061313,83
15061314,10
15061317,10
15061318,328
15061319,21
15061320,86
15061323,74
15061324,14
15061327,12
15061330,16
15061331,53
15061333,313
15061334,14
15061335,83
15061336,333
15061340,17
15061342,17
15061346,14
15061347,346
15061348,7
15061349,84
15061350,18
15061352,85
15061353,17
15061355,5
15061356,53
15061357,313
15061360,333
15061365,14
15061367,17
15061368,40
15061369,338
15061370,12
15061376,14
15061377,85
15061378,85
15061380,18
15061382,342
15061384,328
15061385,328
15061386,359
15061388,17
15061389,328
15061390,328
15061391,359
15061392,28
15061404,328
15061405,346
15061406,21
15061410,18
15061411,342
15061414,85
15061415,18
15061417,313
15061418,85
15061419,313
15061420,85
15061421,21
15061422,3
15061424,3
15061425,14
15061428,14
15061430,18
15061434,17
15061436,85
15061437,96
15061438,313
15061439,85
15061441,96
15061442,338
15061443,85
15061444,5
15061445,96
15061447,21
15061449,355
15061454,5
15061458,21
15061459,313
15061461,96
15061463,359
15061469,346
15061470,342
15061471,346
15061475,17
15061476,344
15061478,313
15061479,21
15061480,0
15061481,85
15061484,16
15061485,96
15061486,313
15061489,3
15061490,3
15061491,328
15061492,328
15061494,313
15061495,7
15061498,313
15061499,86
15061501,65
15061503,342
15061504,342
15061505,17
15061508,96
15061509,328
15061511,313
15061514,18
15061515,17
15061517,7
15061518,7
15061520,22
15061522,85
15061523,3
15061524,328
15061525,346
15061526,5
15061528,14
15061530,3
15061533,359
15061536,313
15061537,17
15061538,328
15061539,83
15061540,86
15061543,14
15061544,5
15061546,313
15061548,7
15061549,328
15061551,86
15061553,12
15061555,21
15061556,96
15061557,16
15061560,16
15061561,96
15061564,45
15061565,16
15061568,96
15061571,12
15061576,93
15061579,3
15061580,5
15061583,342
15061584,21
15061585,359
15061588,17
15061600,17
15061601,95
15061602,16
15061603,313
15061604,8
15061605,96
15061608,94
15061609,5
15061612,86
15061613,10
15061619,318
15061621,14
15061622,85
15061623,25
15061626,313
15061628,83
15061629,86
15061630,318
15061631,318
15061632,17
15061638,83
15061640,313
15061641,345
15061642,28
15061645,313
15061646,17
15061648,318
15061650,96
15061651,345
15061654,342
15061656,346
15061658,346
15061661,346
15061662,359
15061666,83
15061667,22
15061668,83
15061669,85
15061670,14
15061671,21
15061676,14
15061677,328
15061678,328
15061679,17
15061680,21
15061682,83
15061683,16
15061684,22
15061685,14
15061686,3
15061687,313
15061688,5
15061689,318
15061690,313
15061702,0
15061704,5
15061707,355
15061709,85
15061710,313
15061712,318
15061713,85
15061714,88
15061718,318
15061719,10
15061720,14
15061721,22
15061722,5
15061723,16
15061724,70
15061725,8
15061726,8
15061731,355
15061733,74
15061734,8
15061735,83
15061736,96
15061738,328
15061740,318
15061742,83
15061744,69
15061747,10
15061753,355
15061754,85
15061756,3
15061758,5
15061759,83
15061760,10
15061762,3
15061763,344
15061764,83
15061765,318
15061767,328
15061768,10
15061771,318
15061772,313
15061776,85
15061777,5
15061778,318
15061784,313
15061788,359
15061789,86
15061790,83
15061797,83
15061798,21
15061799,8
15061800,96
15061801,17
15061808,84
15061811,359
15061813,96
15061815,21
15061826,17
15061905,22
15061907,96
15061908,17
15061909,318
15061910,342
15061911,21
15061912,86
15061915,85
15061917,17
15061918,342
15061927,313
15061928,328
15061929,83
15061932,96
15061933,359
15061934,86
15061935,18
15061939,96
15061941,83
15061942,9
15061944,96
15061945,83
15061946,344
15061948,45
15061949,313
15061951,18
15061952,21
15061953,359
15061954,16
15061957,14
15061960,313
15061961,5
15061962,83
15061963,318
15061965,346
15061967,5
15061968,5
15061969,86
15062036,342
15062038,22
15062039,83
15062046,86
15062050,83
15062051,16
15062052,17
15062053,16
15062063,5
15062069,318
15062071,41
15062080,85
15062081,5
15062092,17
15062094,313
15062097,27
15062098,22
15062099,344
15062100,96
15062101,12
15062102,83
15062103,85
15062104,83
15062105,3
15062106,328
15062107,342
15062108,313
15062109,22
15062111,349
15062112,0
15062114,85
15062115,96
15062117,14
15062118,14
15062119,313
15062124,318
15062126,328
15062130,16
15062137,3
15062138,313
15062139,7
15062142,86
15062143,14
15062144,3
15062145,318
15062150,318
15062151,0
15062152,328
15062153,14
15062331,342
15062332,346
15062333,3
15062334,84
15062335,16
15062337,16
15062338,18
15062344,7
15062348,17
15062349,318
15062351,344
15062353,85
15062354,83
15062357,3
15062359,85
15062360,86
15062361,7
15062363,22
15062366,345
15062367,83
15062370,313
15062371,83
15062372,359
