Samples,CPTuber.L
15061614,39
15061337,30
15062067,80
15061752,27
15061930,50
15061566,29
15061773,30
15061575,39
15061344,42
15061282,50
15061926,28
15061906,29
15061665,74
15061397,50
15060187,30
15061534,28
15062362,76
15061521,35
15061633,79
15061659,42
15061673,37
15062356,29
15061361,34
15061729,30
15061755,30
15061496,39
15062368,39
15062339,76
15061577,30
15062136,30
15061529,30
15061396,29
15061482,80
15061814,30
15061769,34
15061610,28
15062147,42
15061358,80
15061550,27
15061271,30
15060214,76
15062074,80
15061507,38
15061383,35
15062149,35
15060042,50
15061647,76
15061477,29
15061586,80
15062347,28
15061958,76
15062346,80
15061639,30
15061757,30
15061299,43
15061653,75
15061761,45
15062146,45
15061655,76
15061329,28
15061535,34
15061578,30
15061730,27
15061627,60
15061500,80
15061717,28
15062122,29
15061435,41
15061706,84
15061624,43
15060121,28
15061423,35
15061488,30
15061916,27
15061487,30
15061281,42
15061937,28
15061493,30
15061296,29
15061649,30
15061307,30
15062133,35
15062350,30
15061338,29
15060027,35
15061011,80
15061795,30
15062358,28
15061216,30
15061300,80
15061462,76
15061516,38
15061394,50
15061453,29
15062123,75
15060110,28
15061964,50
15061542,27
15060570,76
15061785,75
15061766,76
15060021,29
15061364,30
15060050,80
15061637,75
15062369,34
15061345,42
15061966,29
15061737,81
15060112,30
15061751,43
15061567,76
