Samples,CPulpa.C
15061614,6
15061337,18
15062067,6
15061752,26
15061930,3
15061566,6
15061773,18
15061575,18
15061344,18
15061282,6
15061926,3
15061906,6
15061665,18
15061397,26
15060187,35
15061534,35
15062362,18
15061521,35
15061633,6
15061659,6
15061673,6
15062356,26
15061361,18
15061729,18
15061755,26
15061496,6
15062368,26
15062339,26
15061577,26
15062136,35
15061529,18
15061396,6
15061482,6
15061814,6
15061769,6
15061610,6
15062147,6
15061358,18
15061550,26
15061271,3
15060214,6
15062074,3
15061507,6
15061383,18
15062149,18
15060042,6
15061647,6
15061477,6
15061586,3
15062347,18
15061958,18
15062346,26
15061639,6
15061757,26
15061299,6
15061653,26
15061761,26
15062146,35
15061655,18
15061329,35
15061535,18
15061578,6
15061730,18
15061627,6
15061500,3
15061717,18
15062122,6
15061435,18
15061706,18
15061624,6
15060121,6
15061423,6
15061488,6
15061916,18
15061487,6
15061281,6
15061937,3
15061493,26
15061296,26
15061649,18
15061307,18
15062133,6
15062350,26
15061338,6
15060027,6
15061011,26
15061795,35
15062358,18
15061216,18
15061300,10
15061462,10
15061516,5
15061394,26
15061453,18
15062123,6
15060110,6
15061964,18
15061542,18
15060570,26
15061785,6
15061766,18
15060021,35
15061364,18
15060050,6
15061637,18
15062369,18
15061345,18
15061966,18
15061737,18
15060112,18
15061751,6
15061567,26
