Samples,CSBrote.C
15060025,7
15060039,7
15060056,7
15060063,7
15060070,7
15060072,5
15060081,5
15060082,4
15060085,5
15060087,5
15060090,7
15060097,4
15060101,7
15060102,7
15060114,5
15060120,7
15060122,7
15060138,7
15060160,5
15060188,7
15060190,7
15060191,7
15060215,7
15060313,7
15060320,4
15060345,7
15060383,7
15060420,7
15060536,7
15060543,7
15060797,7
15060846,4
15060907,7
15060909,4
15060910,7
15060933,7
15060964,7
15061007,7
15061122,7
15061204,4
15061213,4
15061215,4
15061225,7
15061226,4
15061228,7
15061237,7
15061256,7
15061257,4
15061258,5
15061259,4
15061260,4
15061261,7
15061262,4
15061263,7
15061264,4
15061265,7
15061270,7
15061273,5
15061274,7
15061277,7
15061279,7
15061283,5
15061286,7
15061288,4
15061289,4
15061290,7
15061291,4
15061293,4
15061295,7
15061297,7
15061298,4
15061301,7
15061302,4
15061303,4
15061305,4
15061308,7
15061312,4
15061313,4
15061314,7
15061317,4
15061318,4
15061319,5
15061320,4
15061323,7
15061324,4
15061327,7
15061330,4
15061331,7
15061333,7
15061334,7
15061335,7
15061336,4
15061340,7
15061342,7
15061346,4
15061347,7
15061348,7
15061349,7
15061350,4
15061352,7
15061353,7
15061355,4
15061356,7
15061357,4
15061360,4
15061365,7
15061367,4
15061368,7
15061369,7
15061370,7
15061376,7
15061377,4
15061378,7
15061380,4
15061382,7
15061384,7
15061385,4
15061386,7
15061388,4
15061389,4
15061390,4
15061391,5
15061392,7
15061404,7
15061405,4
15061406,7
15061410,4
15061411,4
15061414,4
15061415,7
15061417,5
15061418,4
15061419,4
15061420,7
15061421,7
15061422,4
15061424,7
15061425,7
15061428,4
15061430,4
15061434,7
15061436,4
15061437,7
15061438,5
15061439,4
15061441,7
15061442,4
15061443,4
15061444,4
15061445,4
15061447,4
15061449,7
15061454,4
15061458,7
15061459,7
15061461,7
15061463,4
15061469,4
15061470,4
15061471,7
15061475,7
15061476,4
15061478,4
15061479,4
15061480,7
15061481,5
15061484,4
15061485,4
15061486,7
15061489,4
15061490,4
15061491,7
15061492,4
15061494,4
15061495,7
15061498,7
15061499,7
15061501,7
15061503,7
15061504,7
15061505,7
15061508,4
15061509,4
15061511,4
15061514,7
15061515,7
15061517,7
15061518,4
15061520,4
15061522,4
15061523,4
15061524,7
15061525,7
15061526,4
15061528,5
15061530,4
15061533,7
15061536,7
15061537,4
15061538,4
15061539,7
15061540,4
15061543,4
15061544,4
15061546,7
15061548,7
15061549,4
15061551,4
15061553,7
15061555,7
15061556,4
15061557,4
15061560,7
15061561,4
15061564,4
15061565,7
15061568,4
15061571,7
15061576,4
15061579,4
15061580,4
15061583,7
15061584,4
15061585,4
15061588,4
15061600,7
15061601,7
15061602,7
15061603,7
15061604,7
15061605,7
15061608,4
15061609,7
15061612,7
15061613,7
15061619,7
15061621,4
15061622,7
15061623,7
15061626,7
15061628,7
15061629,7
15061630,7
15061631,4
15061632,7
15061638,7
15061640,7
15061641,7
15061642,4
15061645,7
15061646,7
15061648,4
15061650,4
15061651,4
15061654,4
15061656,5
15061658,7
15061661,7
15061662,4
15061666,4
15061667,5
15061668,7
15061669,7
15061670,4
15061671,7
15061676,7
15061677,7
15061678,4
15061679,5
15061680,5
15061682,4
15061683,7
15061684,7
15061685,7
15061686,4
15061687,7
15061688,7
15061689,7
15061690,4
15061702,7
15061704,4
15061707,7
15061709,5
15061710,7
15061712,4
15061713,4
15061714,7
15061718,7
15061719,7
15061720,7
15061721,7
15061722,4
15061723,7
15061724,7
15061725,7
15061726,4
15061731,7
15061733,7
15061734,7
15061735,4
15061736,4
15061738,4
15061740,4
15061742,4
15061744,7
15061747,7
15061753,7
15061754,4
15061756,7
15061758,7
15061759,7
15061760,7
15061762,7
15061763,7
15061764,7
15061765,4
15061767,4
15061768,7
15061771,4
15061772,7
15061776,7
15061777,7
15061778,7
15061784,7
15061788,7
15061789,4
15061790,4
15061797,7
15061798,7
15061799,7
15061800,4
15061801,4
15061808,4
15061811,4
15061813,4
15061815,7
15061826,4
15061905,7
15061907,7
15061908,5
15061909,5
15061910,7
15061911,7
15061912,7
15061915,7
15061917,7
15061918,4
15061927,4
15061928,7
15061929,7
15061932,4
15061933,4
15061934,4
15061935,4
15061939,7
15061941,4
15061942,4
15061944,7
15061945,7
15061946,7
15061948,7
15061949,4
15061951,4
15061952,4
15061953,4
15061954,4
15061957,7
15061960,4
15061961,7
15061962,4
15061963,4
15061965,4
15061967,7
15061968,7
15061969,4
15062036,5
15062038,5
15062039,7
15062046,7
15062050,7
15062051,7
15062052,7
15062053,7
15062063,4
15062069,7
15062071,7
15062080,7
15062081,5
15062092,4
15062094,7
15062097,7
15062098,4
15062099,4
15062100,4
15062101,4
15062102,4
15062103,4
15062104,4
15062105,4
15062106,7
15062107,4
15062108,4
15062109,4
15062111,7
15062112,4
15062114,7
15062115,4
15062117,7
15062118,4
15062119,4
15062124,7
15062126,7
15062130,7
15062137,4
15062138,4
15062139,4
15062142,4
15062143,4
15062144,7
15062145,7
15062150,4
15062151,4
15062152,4
15062153,4
15062331,5
15062332,5
15062333,4
15062334,4
15062335,7
15062337,7
15062338,7
15062344,7
15062348,4
15062349,7
15062351,7
15062353,4
15062354,4
15062357,4
15062359,4
15062360,4
15062361,7
15062363,7
15062366,4
15062367,4
15062370,4
15062371,7
15062372,7
