Samples,CSBrote.H
15061614,318
15061337,41
15062067,41
15061752,318
15061930,318
15061566,41
15061773,318
15061575,318
15061344,318
15061282,318
15061926,41
15061906,318
15061665,41
15061397,318
15060187,318
15061534,318
15062362,41
15061521,318
15061633,41
15061659,318
15061673,318
15062356,318
15061361,318
15061729,318
15061755,318
15061496,318
15062368,318
15062339,318
15061577,41
15062136,346
15061529,318
15061396,41
15061482,41
15061814,41
15061769,318
15061610,41
15062147,318
15061358,318
15061550,318
15061271,318
15060214,318
15062074,41
15061507,41
15061383,318
15062149,318
15060042,52
15061647,41
15061477,318
15061586,344
15062347,41
15061958,41
15062346,318
15061639,318
15061757,344
15061299,318
15061653,318
15061761,41
15062146,318
15061655,41
15061329,41
15061535,318
15061578,41
15061730,318
15061627,318
15061500,41
15061717,41
15062122,318
15061435,318
15061706,318
15061624,41
15060121,318
15061423,41
15061488,41
15061916,41
15061487,318
15061281,318
15061937,41
15061493,318
15061296,318
15061649,318
15061307,41
15062133,318
15062350,318
15061338,318
15060027,318
15061011,318
15061795,318
15062358,41
15061216,318
15061300,41
15061462,318
15061516,344
15061394,318
15061453,41
15062123,41
15060110,344
15061964,41
15061542,318
15060570,318
15061785,318
15061766,318
15060021,318
15061364,344
15060050,318
15061637,318
15062369,318
15061345,41
15061966,318
15061737,318
15060112,318
15061751,41
15061567,41
