Samples,CSBrote.L
15061614,96
15061337,94
15062067,94
15061752,96
15061930,95
15061566,94
15061773,96
15061575,96
15061344,96
15061282,96
15061926,94
15061906,96
15061665,94
15061397,96
15060187,96
15061534,96
15062362,94
15061521,96
15061633,94
15061659,96
15061673,96
15062356,96
15061361,96
15061729,96
15061755,96
15061496,96
15062368,96
15062339,95
15061577,94
15062136,95
15061529,96
15061396,94
15061482,94
15061814,94
15061769,96
15061610,94
15062147,96
15061358,96
15061550,96
15061271,96
15060214,95
15062074,94
15061507,94
15061383,96
15062149,96
15060042,94
15061647,94
15061477,96
15061586,95
15062347,94
15061958,94
15062346,96
15061639,96
15061757,95
15061299,96
15061653,96
15061761,94
15062146,96
15061655,94
15061329,94
15061535,96
15061578,94
15061730,96
15061627,96
15061500,94
15061717,94
15062122,95
15061435,96
15061706,96
15061624,94
15060121,95
15061423,94
15061488,94
15061916,94
15061487,96
15061281,96
15061937,94
15061493,95
15061296,95
15061649,96
15061307,94
15062133,96
15062350,96
15061338,96
15060027,95
15061011,95
15061795,96
15062358,94
15061216,96
15061300,94
15061462,96
15061516,95
15061394,96
15061453,94
15062123,94
15060110,95
15061964,94
15061542,95
15060570,96
15061785,96
15061766,95
15060021,95
15061364,95
15060050,95
15061637,96
15062369,96
15061345,94
15061966,96
15061737,96
15060112,95
15061751,94
15061567,94
