Samples,CTallo.H
15061614,117
15061337,117
15062067,117
15061752,134
15061930,359
15061566,359
15061773,359
15061575,132
15061344,117
15061282,117
15061926,117
15061906,359
15061665,117
15061397,117
15060187,359
15061534,117
15062362,117
15061521,359
15061633,359
15061659,132
15061673,359
15062356,138
15061361,117
15061729,359
15061755,117
15061496,359
15062368,117
15062339,117
15061577,117
15062136,23
15061529,117
15061396,359
15061482,117
15061814,359
15061769,117
15061610,138
15062147,117
15061358,117
15061550,359
15061271,117
15060214,117
15062074,117
15061507,117
15061383,359
15062149,359
15060042,359
15061647,117
15061477,117
15061586,117
15062347,117
15061958,117
15062346,117
15061639,132
15061757,359
15061299,23
15061653,117
15061761,117
15062146,359
15061655,117
15061329,359
15061535,359
15061578,23
15061730,359
15061627,117
15061500,117
15061717,359
15062122,23
15061435,359
15061706,117
15061624,23
15060121,117
15061423,117
15061488,359
15061916,117
15061487,23
15061281,117
15061937,117
15061493,117
15061296,359
15061649,117
15061307,359
15062133,23
15062350,117
15061338,359
15060027,359
15061011,117
15061795,359
15062358,359
15061216,117
15061300,117
15061462,117
15061516,359
15061394,117
15061453,359
15062123,117
15060110,359
15061964,117
15061542,117
15060570,117
15061785,117
15061766,117
15060021,359
15061364,117
15060050,117
15061637,132
15062369,359
15061345,117
15061966,359
15061737,359
15060112,117
15061751,124
15061567,117
