Prefix,HCL_component,Traits,Models,Predictive_ability
CBaya,C,CBaya.C,BA,0.021
CBaya,C,CBaya.C,BA,0.029
CBaya,C,CBaya.C,BA,0.126
CBaya,C,CBaya.C,BA,0.102
CBaya,C,CBaya.C,BB,0.031
CBaya,C,CBaya.C,BB,0.044
CBaya,C,CBaya.C,BB,0.073
CBaya,C,CBaya.C,BB,0.123
CBaya,C,CBaya.C,BC,-0.014
CBaya,C,CBaya.C,BC,0.039
CBaya,C,CBaya.C,BC,0.047
CBaya,C,CBaya.C,BC,0.052
CBaya,C,CBaya.C,BL,0.11
CBaya,C,CBaya.C,BL,0.134
CBaya,C,CBaya.C,BL,-0.018
CBaya,C,CBaya.C,BL,0.01
CBaya,C,CBaya.C,BRR,0.006
CBaya,C,CBaya.C,BRR,0.017
CBaya,C,CBaya.C,BRR,0.066
CBaya,C,CBaya.C,BRR,0.079
CBaya,C,CBaya.C,GBLUP,0.105
CBaya,C,CBaya.C,GBLUP,0.075
CBaya,C,CBaya.C,GBLUP,0.081
CBaya,C,CBaya.C,GBLUP,0.118
CBaya,C,CBaya.C,EGBLUP,0.043
CBaya,C,CBaya.C,EGBLUP,0.025
CBaya,C,CBaya.C,EGBLUP,0.125
CBaya,C,CBaya.C,EGBLUP,0.145
CBaya,C,CBaya.C,RKHS,0.097
CBaya,C,CBaya.C,RKHS,0.119
CBaya,C,CBaya.C,RKHS,0.144
CBaya,C,CBaya.C,RKHS,0.096
CBaya,C,CBaya.C,Lasso,NA
CBaya,C,CBaya.C,Lasso,NA
CBaya,C,CBaya.C,Lasso,NA
CBaya,C,CBaya.C,Lasso,NA
CBaya,C,CBaya.C,RR,0.114
CBaya,C,CBaya.C,RR,0.088
CBaya,C,CBaya.C,RR,0.084
CBaya,C,CBaya.C,RR,0.026
CBaya,C,CBaya.C,SVM,0.111
CBaya,C,CBaya.C,SVM,0.071
CBaya,C,CBaya.C,SVM,-0.006
CBaya,C,CBaya.C,SVM,0.054
CBaya,C,CBaya.C,RF,0.061
CBaya,C,CBaya.C,RF,0.024
CBaya,C,CBaya.C,RF,0.018
CBaya,C,CBaya.C,RF,0.022
CBaya,H,CBaya.H,BA,0.037
CBaya,H,CBaya.H,BA,0.014
CBaya,H,CBaya.H,BA,0.046
CBaya,H,CBaya.H,BA,-0.017
CBaya,H,CBaya.H,BB,0.023
CBaya,H,CBaya.H,BB,0.068
CBaya,H,CBaya.H,BB,0.086
CBaya,H,CBaya.H,BB,0.096
CBaya,H,CBaya.H,BC,-0.047
CBaya,H,CBaya.H,BC,-0.085
CBaya,H,CBaya.H,BC,0.019
CBaya,H,CBaya.H,BC,0.02
CBaya,H,CBaya.H,BL,0.043
CBaya,H,CBaya.H,BL,0.041
CBaya,H,CBaya.H,BL,0.05
CBaya,H,CBaya.H,BL,0.036
CBaya,H,CBaya.H,BRR,0.109
CBaya,H,CBaya.H,BRR,0.095
CBaya,H,CBaya.H,BRR,-0.06
CBaya,H,CBaya.H,BRR,-0.012
CBaya,H,CBaya.H,GBLUP,0.101
CBaya,H,CBaya.H,GBLUP,0.046
CBaya,H,CBaya.H,GBLUP,0.123
CBaya,H,CBaya.H,GBLUP,0.14
CBaya,H,CBaya.H,EGBLUP,-0.012
CBaya,H,CBaya.H,EGBLUP,0.013
CBaya,H,CBaya.H,EGBLUP,0.15
CBaya,H,CBaya.H,EGBLUP,0.129
CBaya,H,CBaya.H,RKHS,0.097
CBaya,H,CBaya.H,RKHS,0.112
CBaya,H,CBaya.H,RKHS,0.076
CBaya,H,CBaya.H,RKHS,0.081
CBaya,H,CBaya.H,Lasso,NA
CBaya,H,CBaya.H,Lasso,0.059
CBaya,H,CBaya.H,Lasso,0.014
CBaya,H,CBaya.H,Lasso,-0.017
CBaya,H,CBaya.H,RR,0.054
CBaya,H,CBaya.H,RR,NA
CBaya,H,CBaya.H,RR,0.083
CBaya,H,CBaya.H,RR,0.085
CBaya,H,CBaya.H,SVM,0.094
CBaya,H,CBaya.H,SVM,0.046
CBaya,H,CBaya.H,SVM,0.037
CBaya,H,CBaya.H,SVM,0.011
CBaya,H,CBaya.H,RF,0.06
CBaya,H,CBaya.H,RF,-0.011
CBaya,H,CBaya.H,RF,-0.061
CBaya,H,CBaya.H,RF,-0.105
CBaya,L,CBaya.L,BA,-0.038
CBaya,L,CBaya.L,BA,0.026
CBaya,L,CBaya.L,BA,0.061
CBaya,L,CBaya.L,BA,0.066
CBaya,L,CBaya.L,BB,0.062
CBaya,L,CBaya.L,BB,0.147
CBaya,L,CBaya.L,BB,0.02
CBaya,L,CBaya.L,BB,0.056
CBaya,L,CBaya.L,BC,0.117
CBaya,L,CBaya.L,BC,0.142
CBaya,L,CBaya.L,BC,0.141
CBaya,L,CBaya.L,BC,0.183
CBaya,L,CBaya.L,BL,0.066
CBaya,L,CBaya.L,BL,0.063
CBaya,L,CBaya.L,BL,0.104
CBaya,L,CBaya.L,BL,0.06
CBaya,L,CBaya.L,BRR,0.101
CBaya,L,CBaya.L,BRR,0.062
CBaya,L,CBaya.L,BRR,0.065
CBaya,L,CBaya.L,BRR,0.07
CBaya,L,CBaya.L,GBLUP,0.125
CBaya,L,CBaya.L,GBLUP,0.168
CBaya,L,CBaya.L,GBLUP,0.097
CBaya,L,CBaya.L,GBLUP,NA
CBaya,L,CBaya.L,EGBLUP,0.094
CBaya,L,CBaya.L,EGBLUP,0.113
CBaya,L,CBaya.L,EGBLUP,-0.021
CBaya,L,CBaya.L,EGBLUP,0.024
CBaya,L,CBaya.L,RKHS,0.128
CBaya,L,CBaya.L,RKHS,0.072
CBaya,L,CBaya.L,RKHS,0.064
CBaya,L,CBaya.L,RKHS,0.104
CBaya,L,CBaya.L,Lasso,NA
CBaya,L,CBaya.L,Lasso,0.025
CBaya,L,CBaya.L,Lasso,0.034
CBaya,L,CBaya.L,Lasso,NA
CBaya,L,CBaya.L,RR,0.128
CBaya,L,CBaya.L,RR,NA
CBaya,L,CBaya.L,RR,0.027
CBaya,L,CBaya.L,RR,0.053
CBaya,L,CBaya.L,SVM,0.018
CBaya,L,CBaya.L,SVM,-0.01
CBaya,L,CBaya.L,SVM,0.089
CBaya,L,CBaya.L,SVM,0.052
CBaya,L,CBaya.L,RF,0.027
CBaya,L,CBaya.L,RF,0.144
CBaya,L,CBaya.L,RF,0.083
CBaya,L,CBaya.L,RF,-0.018
CPBrote,C,CPBrote.C,BA,0.55
CPBrote,C,CPBrote.C,BA,0.533
CPBrote,C,CPBrote.C,BA,0.484
CPBrote,C,CPBrote.C,BA,0.532
CPBrote,C,CPBrote.C,BB,0.569
CPBrote,C,CPBrote.C,BB,0.535
CPBrote,C,CPBrote.C,BB,0.553
CPBrote,C,CPBrote.C,BB,0.503
CPBrote,C,CPBrote.C,BC,0.545
CPBrote,C,CPBrote.C,BC,0.596
CPBrote,C,CPBrote.C,BC,0.502
CPBrote,C,CPBrote.C,BC,0.54
CPBrote,C,CPBrote.C,BL,0.528
CPBrote,C,CPBrote.C,BL,0.595
CPBrote,C,CPBrote.C,BL,0.524
CPBrote,C,CPBrote.C,BL,0.525
CPBrote,C,CPBrote.C,BRR,0.559
CPBrote,C,CPBrote.C,BRR,0.582
CPBrote,C,CPBrote.C,BRR,0.513
CPBrote,C,CPBrote.C,BRR,0.53
CPBrote,C,CPBrote.C,GBLUP,0.509
CPBrote,C,CPBrote.C,GBLUP,0.556
CPBrote,C,CPBrote.C,GBLUP,0.477
CPBrote,C,CPBrote.C,GBLUP,0.559
CPBrote,C,CPBrote.C,EGBLUP,0.55
CPBrote,C,CPBrote.C,EGBLUP,0.51
CPBrote,C,CPBrote.C,EGBLUP,0.545
CPBrote,C,CPBrote.C,EGBLUP,0.514
CPBrote,C,CPBrote.C,RKHS,0.543
CPBrote,C,CPBrote.C,RKHS,0.528
CPBrote,C,CPBrote.C,RKHS,0.54
CPBrote,C,CPBrote.C,RKHS,0.576
CPBrote,C,CPBrote.C,Lasso,0.437
CPBrote,C,CPBrote.C,Lasso,0.494
CPBrote,C,CPBrote.C,Lasso,0.541
CPBrote,C,CPBrote.C,Lasso,0.513
CPBrote,C,CPBrote.C,RR,0.517
CPBrote,C,CPBrote.C,RR,0.502
CPBrote,C,CPBrote.C,RR,0.547
CPBrote,C,CPBrote.C,RR,0.566
CPBrote,C,CPBrote.C,SVM,0.612
CPBrote,C,CPBrote.C,SVM,0.531
CPBrote,C,CPBrote.C,SVM,0.523
CPBrote,C,CPBrote.C,SVM,0.572
CPBrote,C,CPBrote.C,RF,0.58
CPBrote,C,CPBrote.C,RF,0.622
CPBrote,C,CPBrote.C,RF,0.471
CPBrote,C,CPBrote.C,RF,0.586
CPBrote,H,CPBrote.H,BA,0.621
CPBrote,H,CPBrote.H,BA,0.618
CPBrote,H,CPBrote.H,BA,0.659
CPBrote,H,CPBrote.H,BA,0.621
CPBrote,H,CPBrote.H,BB,0.672
CPBrote,H,CPBrote.H,BB,0.579
CPBrote,H,CPBrote.H,BB,0.653
CPBrote,H,CPBrote.H,BB,0.6
CPBrote,H,CPBrote.H,BC,0.626
CPBrote,H,CPBrote.H,BC,0.584
CPBrote,H,CPBrote.H,BC,0.58
CPBrote,H,CPBrote.H,BC,0.625
