,BA,BB,BC,BL,BRR,GBLUP,EGBLUP,RKHS,LASSO,RR,SVM,RF
15060025,116.369,116.426,116.345,116.405,116.316,116.431,116.33616,116.392,116.442,116.453,116.966,117.017
15060039,116.233,116.293,116.164,116.285,116.072,116.317,116.06794,116.158,116.425,116.325,115.416,115.689
15060056,116.655,116.577,116.747,116.575,116.897,116.51,116.85556,116.662,116.542,116.556,117.857,117.291
15060063,116.382,116.403,116.283,116.428,116.16,116.434,116.14922,116.308,116.414,116.464,115.143,115.426
15060070,116.626,116.614,116.662,116.607,116.695,116.607,116.72004,116.702,116.603,116.59,116.857,116.769
15060072,116.311,116.378,116.262,116.354,116.253,116.349,116.13175,116.26,116.459,116.351,115.143,115.643
15060081,116.279,116.375,116.208,116.349,116.109,116.35,116.06041,116.174,116.431,116.396,112.143,113.909
15060082,116.564,116.556,116.544,116.551,116.506,116.571,116.5161,116.534,116.487,116.56,116.142,116.19
15060085,116.551,116.565,116.547,116.536,116.512,116.541,116.44209,116.477,116.575,116.544,116.727,116.237
15060087,116.627,116.616,116.661,116.608,116.693,116.607,116.71424,116.702,116.603,116.591,116.737,116.022
15060090,116.132,116.243,116.074,116.184,116.035,116.173,116.02247,116.089,116.431,116.206,117.119,117.108
15060097,116.388,116.379,116.384,116.377,116.427,116.343,116.28743,116.34,116.448,116.349,116.143,115.741
15060101,116.173,116.273,116.098,116.263,116.043,116.248,115.97781,116.059,116.431,116.273,115.143,115.097
15060102,116.66,116.614,116.733,116.618,116.746,116.618,116.76947,116.702,116.57,116.598,117.143,117.165
15060114,116.594,116.574,116.623,116.562,116.654,116.566,116.70916,116.622,116.564,116.571,117.143,116.991
15060120,116.337,116.42,116.272,116.417,116.153,116.413,116.09522,116.285,116.425,116.448,115.143,115.21
15060122,116.138,116.25,116.084,116.191,116.05,116.178,116.03566,116.082,116.431,116.207,115.948,116.061
15060138,116.552,116.556,116.549,116.556,116.56,116.531,116.50608,116.554,116.586,116.549,116.143,116.075
15060160,116.129,116.228,116.073,116.17,116.113,116.118,116.28529,116.2,116.414,116.16,116.857,115.857
15060188,116.576,116.57,116.598,116.562,116.642,116.548,116.62293,116.592,116.586,116.542,116.858,116.746
15060190,116.453,116.508,116.466,116.496,116.407,116.486,116.38133,116.435,116.442,116.512,115.143,115.393
15060191,115.897,116.121,115.711,116.103,115.451,116.163,115.30443,115.678,116.37,116.191,115.858,115.532
15060215,116.604,116.578,116.635,116.563,116.676,116.572,116.71505,116.617,116.564,116.573,116.958,116.681
15060313,116.314,116.376,116.259,116.356,116.205,116.361,115.91878,116.147,116.487,116.39,115.143,115.273
15060320,116.393,116.483,116.338,116.486,116.192,116.488,116.21355,116.335,116.492,116.512,116.365,116.432
15060345,116.804,116.712,116.873,116.745,116.919,116.7,116.91985,116.855,116.559,116.68,117.091,116.053
15060383,116.311,116.374,116.254,116.355,116.19,116.358,115.90956,116.149,116.487,116.391,115.143,115.163
15060420,116.813,116.714,116.888,116.75,116.942,116.7,116.93237,116.858,116.559,116.682,117.11,117.104
15060536,116.476,116.474,116.461,116.47,116.49,116.436,116.61196,116.489,116.503,116.471,116.857,116.699
15060543,116.655,116.571,116.714,116.569,116.807,116.555,116.79472,116.655,116.62,116.562,116.858,116.893
15060797,116.633,116.586,116.694,116.57,116.826,116.613,116.76353,116.647,116.47,116.571,116.857,116.758
15060846,116.133,116.243,116.074,116.185,116.033,116.172,116.02506,116.086,116.431,116.208,116.857,115.962
15060907,116.484,116.472,116.472,116.47,116.509,116.44,116.65144,116.492,116.503,116.473,116.857,116.691
