,BA,BB,BC,BL,BRR,GBLUP,EGBLUP,RKHS,LASSO,RR,SVM,RF
15060025,60.747,60.563,60.857,60.478,60.912,60.623,60.77669,60.79,60.561,60.356,61.312,66.554
15060039,59.568,59.777,59.621,59.594,59.589,59.505,59.3471,59.276,58.885,59.586,52.418,54.373
15060056,59.902,59.367,60.216,59.643,60.529,59.625,60.64801,59.705,60.376,59.467,65.231,63.253
15060063,60.584,60.221,61.07,59.873,61.524,60.236,62.50095,60.984,60.614,59.824,70.232,66.178
15060070,59.405,59.725,59.216,59.622,59.24,59.696,59.05786,59.314,59.851,59.708,54.766,53.872
15060072,58.98,59.479,59.08,58.741,59.01,59.16,62.36434,60.26,59.653,58.895,70.232,65.874
15060081,59.649,59.666,59.52,59.719,59.202,59.613,59.55007,59.703,59.633,59.659,57.599,58.486
15060082,58.518,59.284,58.237,59.149,57.992,59.065,57.32296,58.134,58.882,59.409,46.73,49.243
15060085,60.485,60.296,60.72,59.967,60.916,60.418,61.02174,60.465,61.104,59.874,58.769,61.202
15060087,59.367,59.712,59.159,59.605,59.152,59.696,58.99863,59.311,59.851,59.702,54.716,53.301
15060090,58.359,58.511,58.419,58.533,58.367,58.33,58.23974,58.28,58.228,58.566,57.804,61.55
15060097,58.738,58.854,58.823,58.62,59.01,58.23,59.3184,58.96,58.853,58.571,58.769,59.317
15060101,59.557,59.594,59.518,59.538,59.701,59.81,59.71562,59.733,59.141,59.8,56.048,55.711
15060102,60.655,60.195,61.092,60.04,61.172,60.18,61.4522,60.852,61.478,59.88,64.664,59.788
15060114,56.218,56.714,55.941,57.049,55.731,56.405,55.55542,56.089,56.513,56.995,54.767,54.825
15060120,60.584,60.612,61.214,59.934,61.306,60.049,62.35258,61.154,61.952,59.809,71.77,69.906
15060122,58.302,58.505,58.347,58.506,58.271,58.288,57.85904,58.205,58.228,58.563,48.623,48.87
15060138,58.685,59.055,57.952,59.292,57.643,59.183,57.42339,58.421,57.734,59.525,44.767,50.117
15060160,57.957,58.138,57.865,58.147,57.578,57.711,57.70181,58.263,58.175,58.099,57.867,57.738
15060188,59.194,59.534,59.025,59.366,58.75,59.382,58.8024,59.214,59.735,59.517,58.42,58.525
15060190,61.828,60.875,62.692,60.926,63.068,61.067,63.03921,61.909,61.051,60.491,70.232,66.686
15060191,63.079,62.142,63.976,61.65,64.46,62.155,64.37361,63.097,63.813,61.229,68.23,67.413
15060215,56.27,56.718,55.92,57.058,55.707,56.452,55.56201,56.086,56.513,57.011,54.77,54.019
15060313,55.191,55.907,54.151,56.711,53.734,55.981,52.10876,54.675,54.463,56.724,49.234,50.275
15060320,61.211,60.514,61.675,60.471,62.13,60.416,62.00999,61.318,61.43,60.117,65.232,64.05
15060345,61.245,60.926,61.548,60.842,61.697,61.018,61.6885,61.52,61.551,60.522,65.611,67.144
15060383,55.145,55.889,54.106,56.69,53.668,55.973,52.1537,54.701,54.221,56.734,52.235,51.226
15060420,61.271,61.043,61.609,60.85,61.713,61.029,61.65475,61.539,61.593,60.528,63.389,59.324
15060536,57.194,58.388,56.803,58.118,56.35,58.041,56.04885,57.438,58.779,58.401,54.768,55.131
15060543,60.91,60.069,61.444,60.193,61.704,59.778,62.16967,61.157,60.312,59.837,62.646,60.72
15060797,58.455,58.756,58.085,58.969,57.775,58.344,57.28619,58.411,59.59,59.068,54.769,55.902
15060846,58.361,58.541,58.444,58.521,58.364,58.313,58.23129,58.355,58.228,58.568,54.895,56.38
15060907,57.051,58.204,56.607,58.039,56.199,57.951,55.84373,57.376,58.738,58.366,54.767,55.232
15060909,59.145,59.389,59.268,59.333,59.22,59.201,58.61408,58.809,59.207,59.361,54.764,55.622
15060910,55.536,56.286,54.547,56.933,54.014,56.276,53.11968,55.178,54.889,56.954,46.614,48.9
15060933,60.95,60.073,61.48,60.201,61.737,59.779,62.23765,61.202,60.312,59.852,65.23,63.637
15060964,57.945,58.523,57.567,58.648,57.378,58.578,56.931,57.772,57.013,58.95,53.769,54.14
15061007,57.981,58.501,57.569,58.655,57.372,58.592,56.93651,57.779,57.013,58.957,54.008,54.339
15061122,58.355,58.534,58.392,58.532,58.328,58.357,58.14396,58.292,58.294,58.59,53.454,52.946
15061204,57.143,57.655,56.385,58.111,55.93,57.893,54.63295,57.249,55.574,58.419,50.768,53.82
15061213,59.567,59.782,59.611,59.575,59.575,59.488,59.48982,59.334,58.885,59.588,61.349,62.536
15061215,59.595,59.775,59.64,59.595,59.626,59.486,59.47067,59.302,58.885,59.59,57.219,57.908
15061225,56.433,56.82,56.167,57.118,55.996,56.403,55.82246,56.223,57.025,57.016,65.234,61.496
15061226,58.91,59.239,58.763,59.055,58.764,59.221,58.95614,59.094,59.269,59.252,58.769,58.639
15061228,59.083,59.082,59.199,59.172,59.097,59.218,58.87058,59.05,58.776,59.262,58.417,58.829
15061237,60.985,60.097,61.528,60.204,61.832,59.774,62.35967,61.229,60.356,59.845,68.351,69.004
15061256,58.757,58.919,58.577,59.296,58.364,59.161,57.91386,58.662,57.587,59.364,54.769,54.855
15061257,60.327,59.855,60.579,59.894,60.736,59.647,61.47507,60.257,59.224,59.652,65.229,63.501
15061258,59.451,59.507,59.324,59.403,59.355,59.58,59.53929,59.724,59.644,59.556,56.38,56.241
15061259,59.39,59.716,59.194,59.612,59.202,59.703,59.03746,59.307,59.851,59.7,54.934,51.322
15061260,60.73,60.552,60.821,60.477,60.859,60.611,60.72874,60.769,60.561,60.349,58.767,59.591
15061261,60.774,60.559,60.875,60.495,60.928,60.612,60.77606,60.8,60.561,60.358,62.442,66.038
15061262,59.583,59.592,59.565,59.55,59.737,59.801,59.76328,59.73,59.141,59.798,57.233,59.928
15061263,59.659,59.638,59.698,59.632,59.817,59.953,59.54425,59.64,58.726,59.837,58.769,60.476
15061264,58.841,58.896,58.788,58.982,58.735,59.139,58.8885,59.362,58.128,59.368,54.768,56.003
15061265,60.106,60.369,60.325,60.091,60.3,60.216,60.18741,60.203,60.091,59.916,58.787,61.537
15061270,61.2,60.846,61.704,60.725,61.745,60.888,61.66833,61.442,62.101,60.435,62.775,59.759
15061273,60.14,60.369,60.346,60.096,60.329,60.211,60.20817,60.198,60.091,59.915,57.024,58.279
15061274,57.604,58.326,57.025,58.514,56.854,58.656,55.87502,57.239,57.093,58.999,44.771,48.364
15061277,57.805,57.973,57.376,58.589,57.275,58.886,57.66562,58.271,57.358,58.704,57.234,57.907
15061279,57.956,58.632,57.392,58.978,57.252,58.907,57.28061,58.068,57.683,59.36,53.971,54.302
15061283,58.639,58.891,58.328,59.127,58.358,58.988,58.40136,58.801,57.943,59.346,56.49,61.997
15061286,59.503,59.718,59.296,59.745,59.222,59.928,59.02813,59.335,60.289,59.742,54.769,56.043
15061288,59.565,59.797,59.567,59.569,59.532,59.524,59.41223,59.316,58.885,59.589,57.856,58.152
15061289,59.585,59.784,59.61,59.601,59.582,59.537,59.42258,59.305,58.885,59.596,57.653,61.641
15061290,61.002,60.58,61.768,60.075,61.983,60.191,64.39269,60.796,61.816,59.876,71.234,67.323
15061291,58.898,59.096,58.743,59.293,58.694,59.685,59.19934,59.371,59.163,59.521,57.846,59.071
15061293,60.26,59.959,60.414,59.892,60.811,59.924,60.9581,60.436,59.738,59.766,65.235,64.103
15061295,60.915,60.344,61.314,60.223,61.578,60.361,62.39228,60.9,59.833,59.945,70.234,66.734
15061297,58.725,58.916,58.539,59.285,58.325,59.159,57.86344,58.653,57.587,59.359,54.744,54.776
15061298,59.744,59.644,59.786,59.765,59.747,59.789,59.82575,59.719,59.347,59.718,62.436,62.178
15061301,59.698,59.636,59.753,59.757,59.706,59.758,59.78528,59.642,59.347,59.703,58.237,58.603
15061302,59.871,59.621,60.004,59.869,60.03,59.836,60.0168,59.987,59.871,59.802,62.077,61.85
15061303,59.262,59.417,59.396,59.368,59.346,59.243,58.80914,58.853,59.207,59.38,57.75,61.879
15061305,60.674,60.237,60.852,60.183,60.948,60.262,60.907,60.56,61.504,59.988,65.232,64.081
15061308,59.348,59.467,59.289,59.469,59.27,59.54,59.13706,59.307,59.542,59.55,55.654,57.351
15061312,58.927,59.091,58.782,59.31,58.724,59.678,59.27421,59.399,59.163,59.524,59.489,63.695
15061313,63.104,62.145,64.016,61.672,64.511,62.196,64.43036,63.094,63.813,61.242,68.231,67.522
15061314,58.931,59.202,58.83,59.243,58.983,59.374,59.50988,59.775,59.661,59.486,66.088,68.378
15061317,59.587,59.59,59.574,59.555,59.743,59.781,59.79008,59.765,59.141,59.794,59.43,61.917
