SAMPLES,GEBVs(BC),ACTUAL
15061614,55.962,54
15061337,58.471,54
15062067,55.879,69
15061752,59.482,66
15061930,58.387,69
15061566,59.345,50
15061773,61.112,54
15061575,61.442,66
15061344,57.703,71
15061282,55.896,58
15061926,55.926,69
15061906,59.651,54
15061665,59.485,54
15061397,59.376,53
15060187,57.544,54
15061534,60.669,50
15062362,58.484,54
15061521,58.83,66
15061633,58.042,54
15061659,58.323,54
15061673,59.342,50
15062356,60.649,62
15061361,58.475,54
15061729,59.451,54
15061755,58.567,50
15061496,59.613,54
15062368,61.519,69
15062339,57.941,69
15061577,59.159,54
15062136,61.102,44
15061529,61.001,66
15061396,59.743,66
15061482,59.33,66
15061814,56.689,54
15061769,59.701,54
15061610,58.472,66
15062147,58.169,69
15061358,60.913,53
15061550,59.329,54
15061271,59.352,62
15060214,60.527,54
15062074,60.293,54
15061507,61.025,69
15061383,58.479,50
15062149,58.1,53
15060042,59.153,66
15061647,60.863,54
15061477,61.659,72
15061586,58.39,66
15062347,63.294,69
15061958,61.533,77
15062346,61.592,54
15061639,56.866,54
15061757,59.328,58
15061299,55.972,54
15061653,61.541,54
15061761,59.681,54
15062146,60.691,72
15061655,57.66,66
15061329,59.187,54
15061535,59.426,54
15061578,59.133,54
15061730,59.37,50
15061627,60.856,76
15061500,59.349,50
15061717,62.582,54
15062122,59.996,66
15061435,59.313,54
15061706,57.953,54
15061624,59.427,54
15060121,63.333,58
15061423,58.568,54
15061488,59.389,54
15061916,58.459,58
15061487,60.471,53
15061281,59.655,50
15061937,60.283,71
15061493,59.637,54
15061296,60.981,66
15061649,57.967,58
15061307,59.139,54
15062133,59.622,54
15062350,60.021,54
15061338,59.406,66
15060027,59.151,54
15061011,60.873,54
15061795,60.592,50
15062358,59.37,58
15061216,59.054,66
15061300,61.895,58
15061462,61.755,72
15061516,61.403,66
15061394,59.741,66
15061453,61.796,50
15062123,63.741,54
15060110,59.34,54
15061964,59.719,54
15061542,63.688,50
15060570,57.971,54
15061785,60.554,53
15061766,63.742,66
15060021,60.679,44
15061364,58.509,76
15060050,58.444,50
15061637,60.884,69
15062369,58.165,54
15061345,61.552,69
15061966,60.422,54
15061737,59.384,54
15060112,58.483,44
15061751,58.409,49
15061567,61.584,66
