,PREDICTED,ACTUAL
15060025,60.846,66
15060039,59.539,50
15060056,60.112,66
15060063,60.656,71
15060070,59.344,54
15060072,59.086,71
15060081,59.54,58
15060082,58.554,44
15060085,60.573,58
15060087,59.31,50
15060090,58.285,66
15060097,58.893,58
15060101,59.532,53
15060102,60.868,54
15060114,56.092,54
15060120,60.82,71
15060122,58.243,44
15060138,58.368,44
15060160,57.81,58
15060188,59.027,58
15060190,62.122,71
15060191,63.486,69
15060215,56.076,54
15060313,54.85,50
15060320,61.387,66
15060345,61.364,71
15060383,54.797,53
15060420,61.41,58
15060536,57.021,54
15060543,60.936,54
15060797,58.496,54
15060846,58.289,54
15060907,56.84,54
15060909,59.283,54
15060910,55.256,44
15060933,60.972,66
15060964,57.91,53
15061007,57.917,54
15061122,58.258,50
15061204,56.795,50
15061213,59.534,63
15061215,59.566,54
15061225,56.274,66
15061226,58.71,58
15061228,58.982,58
15061237,60.987,76
15061256,58.803,54
15061257,60.217,66
15061258,59.484,54
15061259,59.326,44
15061260,60.831,58
15061261,60.875,69
15061262,59.558,58
15061263,59.575,58
15061264,58.684,54
15061265,60.243,66
15061270,61.413,54
15061273,60.265,54
15061274,57.51,44
15061277,57.643,58
15061279,57.906,54
15061283,58.607,66
15061286,59.622,54
15061288,59.513,58
15061289,59.535,66
15061290,61.039,72
15061291,58.837,54
15061293,60.361,66
15061295,61.054,71
15061297,58.786,54
15061298,59.72,66
15061301,59.698,54
15061302,60.16,66
15061303,59.384,66
15061305,60.744,66
15061308,59.345,54
15061312,58.872,69
15061313,63.519,69
15061314,59.023,76
15061317,59.566,66
15061318,58.932,54
15061319,60.871,72
15061320,58.633,72
15061323,56.054,54
15061324,58.649,54
15061327,60.867,54
15061330,57.668,62
15061331,58.648,54
15061333,59.371,54
15061334,60.437,66
15061335,59.831,66
15061336,59.644,54
15061340,59.389,54
15061342,58.539,69
15061346,61.394,54
15061347,59.591,54
15061348,58.568,58
15061349,59.802,58
15061350,58.845,58
15061352,59.352,66
15061353,58.549,54
15061355,58.499,54
15061356,58.274,54
15061357,59.183,54
15061360,58.546,54
15061365,59.574,54
15061367,59.58,69
15061368,63.004,69
15061369,62.905,66
15061370,61.399,54
15061376,61.416,54
15061377,60.855,54
15061378,59.897,54
15061380,59.576,54
15061382,56.113,50
15061384,59.34,54
15061385,59.332,54
15061386,62.958,66
15061388,59.638,58
15061389,59.423,66
15061390,59.416,54
15061391,59.358,54
15061392,58.606,54
15061404,59.436,66
15061405,56.055,50
15061406,58.572,54
15061410,59.398,54
15061411,60.941,50
15061414,59.369,66
15061415,58.298,53
15061417,59.411,58
15061418,59.379,66
15061419,59.34,54
15061420,58.633,54
15061421,60.798,66
15061422,58.589,54
15061424,59.571,54
15061425,61.314,54
15061428,61.4,66
15061430,61.351,54
15061434,58.264,44
15061436,59.386,50
15061437,61.51,71
15061438,59.342,54
15061439,61.513,54
15061441,61.362,66
15061442,60.932,66
15061443,59.416,71
15061444,61.306,62
15061445,61.379,54
15061447,58.687,53
15061449,58.121,69
15061454,58.152,54
15061458,61.424,66
15061459,59.353,50
15061461,61.389,69
15061463,59.28,54
15061469,57.863,58
15061470,58.264,66
15061471,58.221,54
15061475,60.85,71
15061476,59.859,71
15061478,59.33,54
15061479,58.624,66
15061480,61.348,54
15061481,63.522,54
15061484,61.381,72
15061485,59.443,69
15061486,59.981,54
15061489,59.379,66
15061490,59.358,66
15061491,59.354,69
15061492,59.362,54
15061494,59.024,54
15061495,59.638,72
15061498,59.451,54
15061499,63.531,69
15061501,61.183,50
15061503,58.887,66
15061504,56.091,54
15061505,59.591,66
15061508,60.903,66
15061509,60.821,66
15061511,60.836,50
15061514,60.836,66
15061515,59.55,58
15061517,58.528,54
15061518,58.943,66
15061520,59.555,50
15061522,59.647,66
15061523,59.537,72
15061524,58.945,62
15061525,60.929,72
15061526,59.148,54
15061528,59.687,66
15061530,60.902,66
15061533,60.901,53
15061536,60.999,69
15061537,59.554,71
15061538,59.305,54
15061539,59.351,54
15061540,63.448,72
15061543,59.491,66
15061544,59.246,50
15061546,59.285,54
15061548,60.661,54
15061549,57.805,53
15061551,59.391,69
15061553,58.774,54
15061555,60.758,54
15061556,59.39,54
15061557,60.808,50
15061560,59.243,66
15061561,57.825,54
15061564,58.688,53
15061565,54.682,44
15061568,58.347,54
15061571,62.483,69
15061576,58.226,54
15061579,61.233,72
15061580,58.651,66
15061583,56.11,54
15061584,59.468,66
15061585,58.254,53
15061588,59.402,54
15061600,58.918,54
15061601,58.595,44
15061602,59.037,53
15061603,59.328,66
15061604,59.078,58
15061605,57.735,66
15061608,58.247,53
15061609,59.381,54
15061612,58.679,54
15061613,56.094,58
