,BA,BB,BC,BL,BRR,GBLUP,EGBLUP,RKHS,LASSO,RR,SVM,RF
15060025,24.607,25.002,24.457,24.481,24.391,25.265,24.30383,24.352,26.024,24.732,21.454,21.176
15060039,43.382,42.982,43.308,43.368,43.323,43.524,43.09201,43.417,42.955,43.148,51.758,51.423
15060056,26.051,24.969,25.466,26.029,25.944,25.372,26.39537,26.849,25.77,25.968,21.453,26.609
15060063,48.952,50.491,49.771,49.117,48.992,49.3,49.00629,48.599,50.114,48.5,55.547,49.343
15060070,25.608,25.874,25.522,25.586,25.496,26.131,25.2477,25.224,27.273,26.037,21.454,22.1
15060072,42.832,42.295,43.976,43.926,43.683,45.227,46.97406,46,39.563,45.192,48.456,45.884
15060081,22.412,23.259,21.903,22.057,21.935,21.903,24.40764,23.889,24.756,21.708,21.457,23.748
15060082,27.005,26.736,26.332,26.52,26.573,27.78,26.71708,26.637,25.592,27.459,21.449,24.142
15060085,23.832,24.083,23.691,23.742,23.612,24.358,24.01619,24.741,24.836,25.046,21.456,22.737
15060087,25.288,25.647,25.22,25.255,25.24,26.131,25.23992,25.069,27.115,25.851,21.712,22.796
15060090,31.969,31.892,31.842,31.872,31.856,32.439,32.06706,32.395,31.473,31.774,27.587,24.129
15060097,42.838,41.783,42.286,42.117,42.305,39.922,34.11045,34.296,38.844,41.81,27.455,32.216
15060101,25.621,25.298,25.421,25.6,25.585,25.136,25.43753,25.027,25.099,25.071,21.45,22.121
15060102,24.724,25.02,24.548,24.725,24.507,25.122,25.03303,25.186,24.261,24.589,21.454,21.738
15060114,36.152,36.621,36.368,36.279,36.228,36.329,36.48367,36.461,37.446,36.223,39.541,39.652
15060120,36.779,36.597,37.018,36.989,36.748,37.379,35.99839,36.347,35.914,36.897,35.705,44.06
15060122,32.638,32.47,32.553,32.595,32.552,33.371,32.04829,32.767,35.327,32.723,31.551,30.048
15060138,31.575,30.618,31.896,31.588,31.386,30.571,29.82258,29.03,33.527,31.392,21.461,25.363
15060160,32.389,32.715,33.321,33.626,33.053,29.786,26.30901,28.403,28.148,30.71,21.457,26.776
15060188,26.93,26.922,26.636,26.919,26.541,24.117,26.7905,25.328,27.965,25.215,21.453,23.689
15060190,27.488,27.92,27.352,27.584,27.694,25.903,27.53452,27.451,24.662,27.663,21.456,25.935
15060191,22.024,21.929,21.939,21.605,21.827,21.648,22.26166,21.817,21.865,21.69,21.455,20.732
