SAMPLES,GEBVs(RF),ACTUAL
15061614,31.692,33
15061337,28.815,26
15062067,41.633,53
15061752,23.853,20
15061930,28.015,33
15061566,25.088,26
15061773,25.757,20
15061575,21.366,20
15061344,39.239,28
15061282,28.1,28
15061926,30.716,34
15061906,25.801,20
15061665,45.846,46
15061397,21.308,42
15060187,27.57,42
15061534,23.271,40
15062362,21.682,40
15061521,29.908,42
15061633,37.089,40
15061659,31.165,39
15061673,37.295,57
15062356,23.126,20
15061361,27.644,20
15061729,26.289,57
15061755,37.479,26
15061496,20.006,26
15062368,57.156,58
15062339,36.891,39
15061577,21.519,20
15062136,50.027,26
15061529,22.928,26
15061396,23.544,20
15061482,47.442,47
15061814,50.644,57
15061769,36.599,57
15061610,28.099,20
15062147,55.119,53
15061358,20.877,28
15061550,26.738,26
15061271,46.436,20
15060214,36.957,20
15062074,21.373,20
15061507,34.073,40
15061383,25.463,20
15062149,55.274,53
15060042,29.135,20
15061647,24.179,28
15061477,24.1,20
15061586,29.957,66
15062347,20.161,20
15061958,34.604,58
15062346,29.056,49
15061639,51.146,58
15061757,25.346,20
15061299,33.271,40
15061653,56.143,58
15061761,23.346,20
15062146,24.955,20
15061655,37.172,55
15061329,22.047,28
15061535,21.571,20
15061578,23.756,55
15061730,27.067,39
15061627,44.816,49
15061500,45.458,55
15061717,25.369,28
15062122,30.934,20
15061435,25.981,26
15061706,39.617,57
15061624,21.818,55
15060121,20.178,20
15061423,40.713,33
15061488,37.859,40
15061916,28.86,20
15061487,28.94,20
15061281,43.659,49
15061937,21.406,20
15061493,20.022,26
15061296,28.257,26
15061649,36.559,26
15061307,26.921,28
15062133,22.337,20
15062350,26.207,40
15061338,24.05,20
15060027,23.808,20
15061011,23.11,26
15061795,23.395,26
15062358,21.556,55
15061216,36.529,40
15061300,37.282,28
15061462,31.351,45
15061516,50.647,47
15061394,22.559,20
15061453,36.484,40
15062123,21.25,20
15060110,22.263,20
15061964,22.885,20
15061542,21.252,57
15060570,36.86,58
15061785,37.935,58
15061766,21.173,20
15060021,23.527,20
15061364,24.355,26
15060050,30.046,57
15061637,20.925,20
15062369,55.487,58
15061345,56.68,57
15061966,28.99,20
15061737,28.398,48
15060112,23.718,20
15061751,32.377,42
15061567,34.755,57
