,PREDICTED,ACTUAL
15060025,21.37,20
15060039,51.505,57
15060056,26.192,20
15060063,49.351,57
15060070,22.047,20
15060072,46.277,47
15060081,24.378,20
15060082,23.727,20
15060085,22.441,20
15060087,22.83,20
15060090,24.339,20
15060097,31.838,26
15060101,22.27,20
15060102,21.856,20
15060114,39.572,41
15060120,42.678,55
15060122,30.549,33
15060138,24.8,20
15060160,26.665,20
15060188,24.088,20
15060190,25.136,20
15060191,20.799,20
15060215,34.198,33
15060313,27.517,7
15060320,53.015,53
15060345,51.858,53
15060383,42.559,50
15060420,38.106,20
15060536,51.559,59
15060543,57.046,59
15060797,30.532,28
15060846,28.893,20
15060907,41.422,35
15060909,34.474,20
15060910,53.17,58
15060933,56.866,59
15060964,39.029,40
15061007,38.739,40
15061122,45.024,57
15061204,27.748,20
15061213,46.692,47
15061215,46.233,45
15061225,39.318,40
15061226,38.457,40
15061228,26.731,20
15061237,56.573,58
15061256,21.635,20
15061257,43.602,47
15061258,22.996,20
15061259,21.619,20
15061260,21.303,20
15061261,25.885,34
15061262,22.53,20
15061263,39.067,42
15061264,23.652,20
15061265,21.291,20
15061270,21.35,20
15061273,21.101,20
15061274,50.991,53
15061277,28.133,20
15061279,24.803,26
15061283,29.466,28
15061286,33.423,16
15061288,34.622,26
15061289,47.13,46
15061290,26.911,20
15061291,51.116,57
15061293,30.732,28
15061295,24.99,20
15061297,21.607,20
15061298,26.743,26
15061301,26.707,26
15061302,26.135,28
15061303,54.056,55
15061305,24.507,20
15061308,37.871,28
15061312,46.716,40
15061313,21.081,20
15061314,46.161,53
15061317,25.57,26
15061318,23.737,20
15061319,23.01,20
15061320,47.825,57
15061323,29.04,26
15061324,27.788,20
15061327,24.066,20
15061330,49.576,57
15061331,32.591,34
15061333,29.498,28
15061334,43.199,49
15061335,32.604,28
15061336,25.832,20
15061340,25.045,28
15061342,28.03,28
15061346,55.003,58
15061347,20.039,20
15061348,24.859,20
15061349,27.885,26
15061350,52.245,58
15061352,14.798,4
15061353,27.736,28
15061355,22.467,20
15061356,39.618,49
15061357,21.021,20
15061360,22.729,20
15061365,39.876,39
15061367,42.039,39
15061368,20.054,20
15061369,20.133,20
15061370,54.76,58
15061376,57.098,58
15061377,35.436,58
15061378,34.589,40
15061380,20.027,20
15061382,40.186,45
15061384,23.884,28
15061385,22.506,20
15061386,20.066,20
15061388,43.632,53
15061389,34.289,45
15061390,23.02,20
15061391,18.6,4
15061392,38.723,40
15061404,26.169,20
15061405,27.263,20
15061406,21.655,20
15061410,46.16,47
15061411,27.813,20
15061414,38.234,39
15061415,55.907,57
15061417,34.963,33
15061418,32.052,33
15061419,22.425,20
15061420,47.825,42
15061421,24.519,20
15061422,46.583,53
15061424,31.184,35
15061425,52.072,58
15061428,57.093,58
15061430,56.813,57
15061434,54.112,53
15061436,44.351,40
15061437,30.88,26
15061438,27.276,26
15061439,31.081,28
15061441,36.477,35
15061442,38.974,40
15061443,48.332,53
15061444,23.939,20
15061445,36.999,40
15061447,31.416,28
15061449,23.791,20
15061454,32.632,40
15061458,56.912,58
15061459,27.89,26
15061461,57.74,58
15061463,27.925,26
15061469,39.014,40
15061470,31.763,33
15061471,27.537,26
15061475,24.167,20
15061476,25.643,26
15061478,21.074,20
15061479,40.263,41
15061480,36.849,40
15061481,21.027,20
15061484,21.11,20
15061485,47.004,47
15061486,29.599,26
15061489,22.317,26
15061490,44.789,58
15061491,46.33,58
15061492,43.307,42
15061494,24.574,26
15061495,20.033,20
15061498,30.448,26
15061499,22.499,26
15061501,52.836,60
15061503,27.736,16
15061504,35.98,39
15061505,50.596,57
15061508,39.293,40
15061509,25.076,26
15061511,22.838,20
15061514,22.55,20
15061515,24.311,26
15061517,28.997,31
15061518,40.748,40
15061520,33.649,38
15061522,26.348,20
15061523,23.649,20
15061524,24.44,26
15061525,36.354,42
15061526,26.171,26
15061528,20.488,20
15061530,39.949,45
15061533,26.371,26
15061536,25.213,20
15061537,31.204,39
15061538,29.423,39
15061539,30.491,40
15061540,21.356,20
15061543,31.755,26
15061544,27.729,26
15061546,26.12,26
15061548,46.045,57
15061549,22.978,20
15061551,51.774,58
15061553,28.486,26
15061555,23.904,20
15061556,47.951,48
15061557,20.774,20
15061560,28.47,26
15061561,36.069,40
15061564,48.574,55
15061565,46.657,58
15061568,42.472,49
15061571,49.31,57
15061576,27.772,26
15061579,30.083,26
15061580,22.436,20
15061583,37.734,39
15061584,50.08,57
15061585,27.887,26
15061588,33.132,20
15061600,39.268,43
15061601,21.947,20
15061602,31.348,34
15061603,25.746,28
15061604,49.235,54
15061605,44.793,49
15061608,29.798,33
15061609,21.242,20
15061612,25.813,26
15061613,28.952,26
15061619,46.588,53
15061621,46.733,43
15061622,21.971,20
15061623,21.937,20
15061626,23.269,20
15061628,30.484,40
15061629,28.586,20
15061630,22.178,20
15061631,25.125,28
15061632,44.674,54
15061638,25.464,26
15061640,24.658,20
15061641,49.298,48
15061642,25.396,20
15061645,26.937,28
15061646,22.088,20
15061648,34.129,20
15061650,31.862,26
15061651,31.804,26
15061654,29.956,26
15061656,39.182,42
15061658,30.108,26
15061661,36.207,40
15061662,25.416,26
15061666,31.37,34
15061667,21.066,20
15061668,52.086,57
15061669,54.049,58
15061670,51.581,55
15061671,45.236,57
15061676,27.209,26
15061677,32.338,26
15061678,25.375,26
15061679,23.457,20
15061680,51.473,55
15061682,21.58,20
15061683,27.011,26
15061684,32.201,28
15061685,23.277,28
15061686,23.611,20
15061687,38.398,40
15061688,30.992,35
15061689,43.071,47
15061690,27.154,26
15061702,26.885,28
15061704,25.942,28
15061707,28.939,26
15061709,50.098,47
15061710,22.219,20
15061712,25.377,26
15061713,21.261,20
15061714,54.81,53
15061718,23.703,20
15061719,25.46,28
15061720,53.286,53
15061721,47.33,43
15061722,48.689,57
15061723,49.216,53
15061724,38.234,42
15061725,55.855,57
15061726,52.015,54
15061731,38.234,41
15061733,43.458,45
15061734,46.84,57
15061735,55.634,57
15061736,28.55,28
15061738,46.801,53
15061740,24.578,20
15061742,20.785,20
15061744,39.264,42
15061747,24.571,26
15061753,36.627,41
15061754,43.357,48
15061756,37.193,40
15061758,36.004,40
15061759,34.345,40
15061760,34.004,39
15061762,20.199,20
15061763,22.93,20
15061764,21.998,20
15061765,21.479,20
15061767,20.248,20
15061768,43.218,49
15061771,41.546,40
15061772,20.136,20
15061776,35.463,26
15061777,22.905,20
15061778,51.104,58
15061784,30.364,20
15061788,22.571,20
15061789,48.927,55
15061790,38.936,55
15061797,23.144,4
15061798,37.821,35
15061799,24.013,20
15061800,30.09,26
15061801,45.066,47
15061808,44.782,47
15061811,23.516,26
15061813,44.167,48
15061815,46.526,58
15061826,42.891,47
15061905,52.153,58
15061907,18.863,4
15061908,43.531,57
15061909,22.428,20
15061910,27.031,20
15061911,53.574,57
15061912,49.613,53
15061915,52.813,52
15061917,50.703,46
15061918,33.843,33
15061927,40.862,44
15061928,31.403,35
15061929,25.886,20
15061932,47.899,45
15061933,24.011,20
15061934,23.57,20
15061935,53.895,57
15061939,16.252,4
15061941,52.755,55
15061942,27.735,26
15061944,50.051,57
15061945,55.757,58
15061946,20.021,20
15061948,31.795,46
15061949,24.082,20
15061951,57.525,58
15061952,25.98,26
15061953,24.136,20
15061954,56.694,57
15061957,52.394,58
15061960,25.497,20
15061961,23.336,20
15061962,53.485,55
15061963,41.792,38
15061965,22.774,20
15061967,24.248,20
15061968,26.289,28
15061969,35.317,26
15062036,29.598,26
15062038,53.609,53
15062039,38.32,33
15062046,48.883,53
15062050,26.857,20
15062051,52.893,50
15062052,42.374,28
15062053,45.437,45
15062063,21.813,20
15062069,22.647,20
15062071,22.02,20
15062080,39.676,46
15062081,23.705,20
15062092,31.055,28
15062094,24.718,26
15062097,20.828,20
15062098,54.782,58
15062099,38.985,40
15062100,48.713,55
15062101,21.112,20
15062102,44.678,49
15062103,39.72,42
15062104,21.26,20
15062105,20.896,20
15062106,25.433,20
15062107,31.528,26
15062108,34.299,26
15062109,49.774,48
15062111,23.931,20
15062112,21.634,20
15062114,37.925,39
15062115,39.167,42
15062117,56.441,57
15062118,56.977,57
15062119,21.557,20
15062124,30.208,26
15062126,21.99,20
15062130,47.202,47
15062137,50.729,55
15062138,25.62,28
15062139,56.052,58
15062142,51.562,57
15062143,20.948,20
15062144,28.399,35
15062145,27.382,28
15062150,25.889,20
15062151,24.441,20
15062152,29.454,20
15062153,50.789,58
15062331,44.931,58
15062332,25.826,20
15062333,23.462,20
15062334,24.467,20
15062335,50.085,60
15062337,52.362,50
15062338,55.338,57
15062344,26.86,20
15062348,47.479,43
15062349,23.642,28
15062351,20.027,20
15062353,53.229,53
15062354,56.943,57
15062357,21.039,20
15062359,37.452,26
15062360,48.87,57
15062361,24.519,26
15062363,50.122,57
15062366,30.831,26
15062367,33.478,26
15062370,20.908,20
15062371,33.823,39
15062372,28.726,28
