probIn scale
0.02722793 12.81402
0.02633184 12.06646
0.02902869 11.85335
0.02794276 11.28345
0.04174633 11.96304
0.03914943 11.22889
0.03503619 11.10091
0.05251184 12.06528
0.04017254 13.32834
0.04564145 12.07255
0.05534101 11.80597
0.0449032 11.41386
0.05049545 10.97065
0.05306628 11.08691
0.04034058 11.01148
0.0541932 12.45868
0.04941395 12.65326
0.05233487 10.50459
0.06357436 10.68908
0.06586287 11.90072
0.07157462 12.78201
0.04407623 14.52879
0.03333964 12.82526
0.04767297 11.48136
0.04279351 11.60375
0.04271596 11.89937
0.04234961 11.60068
0.03808976 11.39056
0.03954595 12.44599
0.03861043 12.42445
0.05989072 12.65392
0.04529277 11.96689
0.03621027 12.32097
0.0555093 12.37235
0.03613716 12.41437
0.03283337 12.06165
0.03504595 11.3461
0.03397738 12.54248
0.05009232 12.54348
0.06072838 11.83809
0.06452605 12.3431
0.061416 12.15774
0.0737983 12.41672
0.06245108 10.95274
0.0683071 10.0156
0.07192697 10.77481
0.07803308 10.07911
0.07745918 9.447851
0.0718703 9.870332
0.06963235 9.140668
0.05313207 8.441862
0.04626702 7.696665
0.05463732 8.595803
0.05018462 7.965662
0.06904082 8.285891
0.09107319 8.006753
0.09375157 8.462451
0.07740644 7.865114
0.06257578 7.607726
0.06635946 6.980993
0.05920376 7.153589
0.08797866 7.616441
0.06619315 7.617342
0.08499853 8.203433
0.08083141 8.332995
0.0989727 7.974936
0.1020205 8.243571
0.0803923 8.546073
0.07217662 9.210482
0.09250012 9.009108
0.08254097 8.072296
0.09089504 9.157763
0.06342992 9.480063
0.0646495 9.148377
0.07421553 8.929012
0.08931903 9.020835
0.06425343 9.235411
0.05514228 10.30313
0.06443088 10.1835
0.05640196 9.571362
0.06923369 9.557429
0.0670189 9.164671
0.08840206 8.98783
0.06373195 8.467099
0.05297247 8.490088
0.05983406 8.102467
0.06298619 8.836832
0.06618522 8.688731
0.08795787 9.097833
0.07163589 8.30935
0.07407092 8.60035
0.04339894 8.663714
0.08929412 8.683669
0.07181859 8.405463
0.07657645 7.733692
0.08544313 8.058425
0.08091538 7.833868
0.0747711 6.847848
0.06507168 6.540122
0.05804882 6.449058
0.07756285 6.687778
0.07374856 6.698361
0.09053327 6.214989
0.0703517 6.029619
0.07378675 6.009304
0.0862795 5.583511
0.08446354 4.977218
0.1337488 4.878025
0.08412784 5.366929
0.1066325 5.127604
0.08894823 5.770969
0.1211643 5.42914
0.09154432 5.555365
0.09839779 5.671536
0.08345874 5.663139
0.08712855 5.266123
0.1073657 5.291837
0.116338 4.891605
0.0861036 4.788928
0.09348979 4.481809
0.1151687 4.73695
0.1239775 4.249375
0.1062384 4.285333
0.1134563 4.455862
0.0725221 4.547869
0.09941192 4.605408
0.09858947 4.81487
0.08962938 4.906577
0.09263357 4.442634
0.09050831 5.040278
0.09179315 4.899571
0.1197023 4.715019
0.1039684 5.213133
0.07819421 4.631764
0.08212803 5.109044
0.09973896 5.032361
0.1226014 4.525081
0.1288122 4.086645
0.1091844 4.148611
0.1206156 4.170352
0.1108168 4.129596
0.1170871 4.424472
0.1147279 4.26522
0.1027819 3.780018
0.1369986 3.875006
0.1258055 3.627841
0.1146867 3.641605
0.1277773 3.645769
0.08765036 3.962435
0.1015702 3.824824
0.1213397 3.818629
0.1132666 3.838743
0.1165665 3.533863
0.08768146 3.389437
0.09125294 3.688412
0.09507662 3.663935
0.07471462 3.875214
0.07458827 4.349021
0.07380562 4.13464
0.1156566 4.396704
0.111528 4.595404
0.1180944 4.467719
0.126679 4.913186
0.1479853 5.436495
0.164873 5.482638
0.1270744 5.278066
0.1336054 5.270977
0.1723651 5.061315
0.1541312 4.863385
0.1435881 4.689883
0.1559078 5.172489
0.1450271 5.55544
0.1647817 5.026168
0.1874303 5.139275
0.1525372 5.753695
0.1411205 5.997248
0.1295075 5.715867
0.1173689 5.828876
0.1304647 5.373703
0.1352938 5.262136
0.1515857 5.157804
0.1378277 4.652841
0.1528001 4.053515
0.1485845 4.025513
