,BA,BB,BC,BL,BRR,GBLUP,EGBLUP,RKHS,LASSO,RR,SVM,RF
15060025,309.821,310.715,309.824,309.733,309.717,310.471,309.70677,309.738,312.047,310.023,307.493,307.374
15060039,325.938,325.93,326.168,325.898,325.872,325.997,325.87289,325.786,324.97,325.611,325.787,327.063
15060056,310.798,310.126,310.803,310.735,310.741,309.819,310.723,311.123,311.959,311.235,308.26,311.045
15060063,329.973,330.503,330.663,330.045,330.182,330.75,330.88714,329.42,324.289,328.81,337.738,330.451
15060070,307.954,307.869,307.995,307.921,307.938,308.552,307.86361,308.12,308.887,308.565,307.841,307.152
15060072,324.602,322.899,324.594,324.769,324.798,325.049,326.57151,325.538,317.628,324.896,323.257,324.48
15060081,309.32,309.25,309.179,309.343,309.153,309.635,309.51574,309.136,311.55,309.41,308.261,309.608
15060082,311.571,310.97,311.557,311.186,311.415,312.538,311.7985,312.014,313.04,311.994,308.261,310.126
15060085,308.924,308.59,308.429,308.72,308.689,309.514,308.88163,309.654,310.505,310.285,308.258,308.422
15060087,308.076,308.187,308.128,308.042,308.086,308.552,308.08467,308.128,309.041,308.634,307.498,306.999
15060090,315.551,315.975,315.713,315.545,315.606,316.224,315.79969,316.01,316.724,315.758,314.598,312.14
15060097,333.29,332.595,333.453,333.385,333.601,333.085,335.02557,331.598,328.691,333.644,335.74,331.374
15060101,309.577,309.602,309.484,309.459,309.5,309.248,309.30499,309.2,310.782,309.368,308.262,308.399
15060102,309.411,309.191,309.085,309.234,309.224,309.693,309.32844,309.194,309.837,309.346,308.261,307.864
15060114,312.948,313.096,312.959,313.177,312.913,313.058,313.07655,313.342,313.627,313.139,318.736,317.757
15060120,316.983,316.822,317.344,317.011,317.187,317.181,316.90727,316.385,314.934,316.939,315.649,319.95
15060122,315.94,316.518,316.159,315.971,316.116,316.994,316.10636,316.452,316.873,316.359,322.74,319.575
15060138,313.078,313.745,312.815,313.465,312.97,312.603,312.49604,312.125,312.344,313.516,308.262,309.379
15060160,316.395,314.787,315.795,317.395,316.407,314.27,312.05298,312.606,315.849,315.622,308.263,312.101
15060188,310.319,309.237,309.929,310.394,310.397,307.884,310.00695,309.134,310.143,309.258,308.264,308.163
15060190,309.823,309.156,309.432,309.738,309.633,309.651,309.42762,309.874,310.718,310.061,308.261,310.868
15060191,307.956,307.845,307.935,307.943,307.944,307.449,308.34267,308.168,309.361,307.761,308.263,307.831
15060215,313.679,313.602,313.581,313.785,313.647,313.337,313.65006,313.676,313.627,313.849,322.09,318.287
15060313,328.304,329.776,329.007,328.583,328.881,329.376,329.23047,328.682,327.193,328.584,330.634,325.519
15060320,328.075,328.006,328.61,327.963,328.506,327.145,328.01413,328.231,326.012,326.266,335.447,338.278
15060345,333.752,333.774,333.912,333.559,333.766,333.768,333.67621,334.13,332.064,332.972,338.562,337.82
15060383,328.217,329.842,328.928,328.496,328.768,329.487,329.4324,328.798,327.193,328.465,336.737,332.578
