probIn scale
0.01686142 9.009432
0.02689947 9.277051
0.04012705 10.03994
0.03769244 9.651865
0.02944846 10.02823
0.02904203 9.244591
0.03456994 10.75024
0.02925601 10.6612
0.02371949 11.1827
0.03587331 10.33418
0.02502266 11.68042
0.01493252 11.7757
0.02511188 11.12508
0.03349568 10.13013
0.02793733 10.53779
0.03783618 9.644598
0.02702715 9.351758
0.03085584 9.251722
0.02931201 10.17961
0.03016359 9.829835
0.01633735 9.026691
0.02521612 10.01793
0.0292569 10.92451
0.03478012 11.54396
0.02607697 10.52837
0.02552827 9.48628
0.04320832 9.674901
0.04080738 8.474713
0.02828494 9.258929
0.02462487 9.809133
0.01987661 10.82392
0.02542273 11.26596
0.02798076 10.8506
0.02903155 12.36223
0.03226248 11.454
0.02318265 12.25395
0.03308108 11.68004
0.04234838 11.18762
0.02880509 11.34479
0.03735928 10.14539
0.03958764 10.6565
0.03342389 10.00572
0.02797157 9.711463
0.02823518 9.717413
0.02500674 10.10362
0.03302333 9.174893
0.03211297 8.908334
0.03972843 9.099039
0.02528958 8.154226
0.02850378 7.931874
0.02568547 7.650008
0.04236669 8.711517
0.03934398 8.215487
0.03877386 8.920338
0.04359337 9.098386
0.03393511 9.121072
0.02322666 9.530626
0.02952927 9.711181
0.03874484 9.063547
0.02992098 9.326173
0.03287186 9.275716
0.04397687 8.053678
0.03815274 8.009578
0.05730642 6.834159
0.02647851 7.541451
0.03274538 7.607933
0.03694799 7.562703
0.03581322 7.542719
0.04562266 7.496176
0.03769651 7.484051
0.03356539 8.259268
0.0206791 8.426123
0.04017573 8.120892
0.03376889 8.570065
0.0408592 7.661962
0.02853724 8.256979
0.02685111 7.987211
0.03145211 8.384525
0.03952513 8.444476
0.03331701 9.384316
0.03337078 8.726509
0.0345589 8.502602
0.023667 8.311671
0.02627581 9.060505
0.02559637 9.245558
0.02199096 9.771051
0.02827588 8.455993
0.02927946 8.794939
0.03169364 9.5252
0.03205379 10.17886
0.0353689 9.771171
0.02967915 8.988486
0.02481602 8.994984
0.04007319 9.512322
0.04845318 8.972589
0.03502462 10.07505
0.01952457 9.66286
0.02147196 9.777497
0.02010284 8.861842
0.02848048 9.627402
0.02257236 9.48656
0.02480172 8.870772
0.0310788 8.589111
0.02230954 8.457565
0.02276784 9.236131
0.02555306 8.446922
0.03537052 8.686222
0.02690083 8.678357
0.02847791 7.406115
0.02460501 7.397123
0.02524063 6.800498
0.03448295 7.159149
0.02949967 6.550046
0.03049008 6.268627
0.03029854 6.158678
0.03625886 5.7697
0.04347778 5.192678
0.05727341 4.881036
0.03558815 5.751965
0.04062139 5.93406
0.05798846 5.430653
0.05848568 4.796076
0.04682414 4.864008
0.05295674 4.932242
0.05752981 4.358118
