probIn scale
0.01951514 5.967445
0.0129429 5.565373
0.0243551 5.428031
0.01023654 5.917747
0.01429205 6.301985
0.006700526 6.539681
0.008879055 5.848405
0.01072736 6.256657
0.0112987 6.382795
0.01665427 5.8904
0.02232381 5.789838
0.02160664 6.048994
0.01254632 6.163897
0.01490448 6.043679
0.02288101 6.099783
0.01256707 6.031468
0.01566577 6.221542
0.01501013 5.23881
0.0156446 4.823832
0.02644206 4.542721
0.02741698 4.413713
0.03104699 4.053264
0.02048832 4.155986
0.02142533 3.847359
0.01205736 4.054465
0.01851123 3.966616
0.01673055 4.098553
0.01691441 3.964128
0.0156941 4.026331
0.0140804 3.70435
0.01690455 4.16337
0.008967817 4.183504
0.03624538 4.24667
0.02928346 4.588769
0.02469219 4.140581
0.02314436 4.189378
0.03825778 4.761469
0.02319782 4.530714
0.01339724 4.50769
0.006091096 4.787545
0.01005785 5.135696
0.01176532 5.422764
0.01455045 5.689315
0.01243521 5.40189
0.01711676 5.787264
0.01926365 5.824732
0.02797992 5.09363
0.02815371 4.636959
0.01043729 4.521035
0.01455845 4.176424
0.009315891 4.535856
0.01067569 4.465942
0.01282372 4.249744
0.02907838 4.132236
0.02831536 3.819896
0.01278579 3.510416
0.01269204 3.804067
0.01845111 4.119274
0.01755365 4.293317
0.01298755 3.545799
0.03333111 3.732027
0.02072114 3.912883
0.01448706 3.794102
0.01031588 3.767318
0.0187776 3.500012
0.01317385 3.253916
0.01439191 3.560267
0.01465185 3.549088
0.01842499 3.150333
0.01518997 3.303989
0.01735628 3.330115
0.01740388 3.422135
0.020994 3.057862
0.02263666 2.77014
0.028246 2.601438
0.02199477 2.921606
0.02876466 2.972087
0.01371125 2.888307
0.03193025 3.167642
0.0261163 3.914743
0.03105479 3.867227
0.02293585 4.088542
0.02614658 4.100087
0.02571354 4.109645
0.02652204 3.914781
0.01952487 3.872208
0.02883928 3.548139
0.01982948 3.481091
0.02024333 3.088227
0.03321167 3.099774
0.02614458 2.950583
0.02790893 2.65292
0.03256941 2.98126
0.05288772 2.788398
0.04023721 2.950829
0.04247497 2.834857
0.03843416 2.73327
0.0461846 2.597814
0.03599128 2.571587
0.02791624 2.613446
0.03988935 2.389583
0.03449867 2.401547
0.03012843 2.349952
0.03348113 2.23338
0.02839845 2.139909
0.0208329 2.280667
0.03558421 2.191497
0.01901845 2.454938
0.04284315 2.471057
0.01432004 2.640898
0.03066675 3.227261
0.02338811 3.336025
0.03273385 3.357405
0.04071802 3.447095
0.04223853 3.614248
0.04383145 3.311179
0.02508398 3.37313
0.02777511 3.43702
0.01643349 3.28643
0.03216003 3.124647
0.03461926 2.856353
0.0121132 2.86046
0.02070393 2.841461
0.02574649 3.082173
0.02165608 2.916737
0.0121819 3.131849
0.01847233 3.443103
0.01314104 3.347477
0.01874141 3.191538
0.01019887 3.318383
0.01760976 3.214999
0.005017281 3.494918
0.007304637 3.961576
0.01828625 4.14638
0.007656177 4.07074
0.009651871 3.813178
0.02055946 3.755135
0.01773111 3.528108
0.01759605 3.637388
0.03128535 3.460865
0.01768848 3.521873
0.02806647 3.515924
0.02449471 3.522078
0.02596454 3.434134
0.04179009 3.358165
0.0286165 3.669943
0.02768035 4.05791
0.02903392 4.032026
0.02540452 3.847585
0.02332881 3.706511
0.05133522 3.521875
0.02497842 3.538037
0.0119038 3.508734
0.01537594 3.785787
0.01487102 3.604591
0.01780633 3.407282
0.01443971 3.578399
0.01936346 3.110799
0.02010154 3.001839
0.02212191 2.708796
0.03187824 2.685008
0.04496637 2.870983
0.01737375 2.575625
0.04066608 2.508946
0.03488369 2.408613
0.05353988 2.626674
0.03912644 2.62769
0.02525445 2.602731
0.05901361 2.344206
0.03288599 2.004025
0.03525045 2.242256
0.04115862 2.501964
0.0356015 2.475212
0.03345504 2.56381
0.02799654 2.680771
0.01909502 2.487055
0.02732618 2.46113
0.0197257 2.528818
0.01647162 2.860994
0.01152226 2.654285
0.02304696 3.158565
0.02060525 2.859815
0.02257662 2.699183
0.01849469 2.692397
0.01321401 2.476853
0.007541463 2.493096
0.01251246 2.393411
0.00966031 2.143534
0.02091748 2.043957
0.04261983 1.959799
0.05332281 2.012892
0.042747 2.175217
0.03070632 2.007719
0.02287161 2.218508
0.02759654 2.262052
0.01549493 2.433733
0.02020702 2.134766
0.03781963 2.065034
0.0226717 2.137188
0.03952895 1.949913
0.03749105 2.186701
0.038959 2.034143
0.0362991 1.950766
0.06344012 2.194971
0.05049267 2.201687
0.03795212 2.324355
0.04396607 2.484074
0.04047309 2.6875
0.02474185 2.668639
0.04988196 2.473808
0.04431166 2.205801
0.03217044 2.357464
0.02941331 2.244433
0.05726352 2.060803
0.05377352 2.102362
0.05519089 1.9402
0.06899942 1.773411
0.05006182 1.921695
0.04522536 1.993633
0.06688271 1.905655
0.0511386 1.99429
0.05921564 2.046275
0.06295863 1.89686
0.06113864 1.920792
0.03303577 1.801872
0.04945819 1.792245
0.06153157 1.935424
0.05768754 2.029083
0.05235301 2.050762
0.0426529 2.226637
0.04044386 2.365665
0.02778919 2.221933
0.02982414 2.037781
0.04603319 2.1806
0.02697578 2.159913
0.02152969 2.094816
0.02906363 2.291243
0.04299285 2.454221
0.03562205 2.314151
0.05329012 2.137836
0.06065207 2.069533
0.03961199 2.246326
0.02392157 2.01382
0.02236347 2.313367
0.02741426 2.702337
0.03098096 2.516713
0.03262827 2.494274
0.03309017 2.563567
0.02708244 2.495032
0.01339577 2.501374
0.01055685 2.474271
