SAMPLES,GEBVs(BC),ACTUAL
15061614,48.789,49
15061337,48.539,57
15062067,43.116,57
15061752,46.181,57
15061930,48.689,57
15061566,50.679,57
15061773,45.178,41
15061575,48.17,42
15061344,49.814,49
15061282,48.978,58
15061926,48.936,55
15061906,49.191,45
15061665,49.514,58
15061397,50.589,58
15060187,47.788,57
15061534,51.003,49
15062362,48.412,42
15061521,49.42,43
15061633,45.48,57
15061659,48.59,58
15061673,48.447,49
15062356,51.013,48
15061361,48.481,58
15061729,46.609,45
15061755,49.584,31
15061496,47.318,58
15062368,50.723,57
15062339,46.615,55
15061577,50.953,58
15062136,50.51,55
15061529,45.655,49
15061396,50.978,58
15061482,47.854,60
15061814,50.317,58
15061769,48.964,40
15061610,48.48,39
15062147,47.362,34
15061358,43.791,40
15061550,46.563,41
15061271,49.635,58
15060214,48.117,39
15062074,47.73,31
15061507,47.251,55
15061383,48.424,57
15062149,47.376,58
15060042,49.258,57
15061647,43.681,45
15061477,48.692,58
15061586,48.67,36
15062347,45.937,45
15061958,48.966,36
15062346,49.038,42
15061639,50.4,43
15061757,49.904,57
15061299,49.008,43
15061653,50.737,55
15061761,50.813,58
15062146,51.069,40
15061655,48.516,36
15061329,51.02,39
15061535,47.31,57
15061578,50.955,43
15061730,46.508,45
15061627,47.061,36
15061500,47.751,55
15061717,44.3,45
15062122,50.065,33
15061435,49.907,58
15061706,48.049,57
15061624,50.191,40
15060121,46.009,45
15061423,47.165,49
15061488,52.533,58
15061916,48.386,39
15061487,46.71,39
15061281,50.224,60
15061937,47.777,39
15061493,47.282,58
15061296,48.546,49
15061649,47.405,39
15061307,49.368,43
15062133,47.289,58
15062350,47.77,49
15061338,50.768,49
15060027,47.934,39
15061011,43.78,58
15061795,51.075,58
15062358,52.564,58
15061216,47.132,49
15061300,50.284,58
15061462,46.383,40
15061516,52.752,60
15061394,50.92,39
15061453,50.238,58
15062123,50.378,45
15060110,50.639,55
15061964,50.884,49
15061542,50.31,46
15060570,46.665,39
15061785,46.944,36
15061766,50.226,58
15060021,51.069,43
15061364,48.451,58
15060050,48.783,49
15061637,43.771,58
15062369,47.372,58
15061345,50.84,55
15061966,46.671,58
15061737,46.626,58
15060112,48.443,58
15061751,48.716,45
15061567,48.818,40
