probIn scale
0.0182578 4.140843
0.02785296 3.980826
0.0357216 3.790519
0.03483894 3.335709
0.02710713 3.572643
0.02578895 3.600706
0.03385321 3.462936
0.01901986 3.685275
0.02290374 3.624416
0.01625204 3.630276
0.01120373 3.762656
0.02397958 3.442525
0.02832941 3.081999
0.01898419 3.151431
0.01774297 3.187413
0.02999486 2.960015
0.01802574 2.77347
0.02893994 2.685346
0.02963142 2.466
0.02477514 2.525249
0.02362238 2.758409
0.01988077 2.826774
0.02146406 2.99726
0.0161985 2.87677
0.0229209 2.84005
0.0247593 2.806612
0.02371076 2.423979
0.05023883 2.400625
0.02531706 2.578964
0.03817596 2.746018
0.03074051 2.625633
0.02358588 2.747921
0.03827914 2.814161
0.0458889 2.582708
0.03693597 2.565527
0.03521989 2.464772
0.04602817 2.547744
0.03896317 2.595819
0.03019989 2.540613
0.05003098 2.641345
0.04180076 2.37441
0.06483923 2.384586
0.05532262 2.381249
0.04535457 2.203807
0.04298252 2.157168
0.03194492 2.124948
0.04438548 2.224519
0.03063748 2.236774
0.02789341 2.155043
0.03832264 2.367196
0.04813448 2.396533
0.05468192 2.313881
0.04825028 2.085436
0.04735733 2.166127
0.04508169 2.248289
0.06234746 2.114793
0.03346628 2.176299
0.03710798 2.369355
0.02794408 2.48814
0.02254838 2.157016
0.01920661 1.954179
0.03267326 1.938872
0.03252041 1.919546
0.05219491 1.793524
0.04222828 1.987928
0.04620295 2.03189
0.0352943 2.066559
0.05660656 2.035936
0.06045494 1.902563
0.06836575 1.891498
0.06168645 1.850607
0.0613121 1.997723
0.04336352 1.982297
0.03591742 1.897189
0.05836543 1.985249
0.04606283 2.362537
0.04708712 2.307715
0.04579564 2.350672
0.03854031 2.199043
0.02271694 2.412157
0.03853774 2.415696
0.02723483 2.400309
0.05149224 2.122791
0.03936998 2.240674
0.04945955 2.388214
0.05728478 2.55299
0.0504173 2.81253
0.03667688 2.724829
0.04486645 2.714637
0.04120811 2.466431
0.06213184 2.894807
0.06885442 2.544426
0.04730342 2.549882
0.04211098 2.346307
0.06158911 2.065589
0.03587816 2.137001
0.03386451 2.160253
0.0459612 2.097628
0.04175173 2.105001
0.06096183 2.072879
0.06468042 2.296948
0.067465 2.467134
0.0617292 2.333577
0.04355936 2.162483
0.07954873 2.260985
0.05155316 2.391413
0.05083028 2.479227
0.06381275 2.512484
0.04654628 2.389463
0.07085454 2.370997
0.05348226 2.384954
0.0433329 2.285239
0.04429059 2.38899
0.05579709 2.46364
0.04542958 2.212536
0.04358354 2.263303
