SAMPLES,GEBVs(RKHS),ACTUAL
15061614,318.403,320
15061337,320.942,317
15062067,311.606,327
15061752,314.768,327
15061930,323.293,327
15061566,321.366,317
15061773,317.862,314
15061575,315.757,316
15061344,320.309,320
15061282,318.406,322
15061926,318.56,329
15061906,316.239,305
15061665,318.766,322
15061397,321.32,322
15060187,320.1,322
15061534,320.51,320
15062362,320.831,316
15061521,321.112,319
15061633,316.086,317
15061659,323.315,322
15061673,318.679,320
15062356,320.514,315
15061361,320.874,322
15061729,320.065,305
15061755,317.291,315
15061496,316.657,312
15062368,321.7,317
15062339,318.94,329
15061577,316.255,322
15062136,323.356,329
15061529,318.197,305
15061396,319.999,312
15061482,318.964,332
15061814,323.109,322
15061769,319.448,326
15061610,320.864,321
15062147,318.343,316
15061358,312.112,314
15061550,319.905,314
15061271,320.045,312
15060214,318.659,321
15062074,314.662,304
15061507,321.437,329
15061383,320.86,317
15062149,318.343,322
15060042,321.282,327
15061647,312.042,305
15061477,321.543,312
15061586,323.409,319
15062347,310.379,305
15061958,318.921,319
15062346,318.446,316
15061639,323.135,319
15061757,321.126,317
15061299,318.703,319
15061653,321.716,328
15061761,319.968,322
15062146,320.628,309
15061655,317.42,309
15061329,316.247,321
15061535,316.781,317
15061578,316.219,319
15061730,320.048,305
15061627,319.516,309
15061500,318.878,329
15061717,316.842,305
15062122,319.878,324
15061435,321.193,322
15061706,318.871,316
15061624,320.823,308
15060121,310.43,305
15061423,318.888,320
15061488,323.813,322
15061916,320.85,321
15061487,318.397,319
15061281,323.577,332
15061937,314.762,321
15061493,316.684,312
15061296,319.381,320
15061649,318.61,308
15061307,316.14,319
15062133,316.656,322
15062350,320.603,320
15061338,321.319,320
15060027,321.397,321
15061011,312.053,312
15061795,320.544,322
15062358,323.93,322
15061216,318.747,319
15061300,320.975,322
15061462,318.258,309
15061516,323.063,332
15061394,319.964,321
15061453,320.957,322
15062123,320.074,310
15060110,321.326,329
15061964,320.007,312
15061542,320.059,323
15060570,318.953,319
15061785,318.238,309
15061766,319.937,312
15060021,320.576,331
15061364,320.821,322
15060050,323.464,320
15061637,312.156,322
15062369,318.389,312
15061345,321.695,329
15061966,318.312,312
15061737,320.032,322
15060112,320.853,318
15061751,323.412,310
15061567,318.825,326
