probIn scale
0.02511471 7.802346
0.0345638 7.715563
0.02351474 7.846879
0.01824901 7.330289
0.01643631 7.285661
0.01771067 7.041167
0.01786701 6.868298
0.01480429 6.661067
0.01576987 6.812969
0.0243613 6.832825
0.03316105 6.99905
0.02753781 7.064464
0.02928981 6.715642
0.0240675 6.316166
0.02517748 6.226697
0.02517753 6.326665
0.02210666 6.503207
0.03418488 6.141159
0.02282166 5.880048
0.03476041 6.084306
0.009448019 5.23107
0.01141084 5.038505
0.006686479 4.70576
0.01462387 4.564527
0.02586242 4.779034
0.02256775 4.440545
0.03034511 4.411672
0.02047998 5.342906
0.02238772 5.324514
0.02879379 5.554385
0.04226199 4.926455
0.03236267 4.554104
0.02898755 4.950055
0.03698268 5.437481
0.02133309 5.733855
0.02443016 5.111434
0.04932915 5.104645
0.02210764 5.070323
0.02393983 4.331312
0.02548541 4.682669
0.03117154 4.482237
0.02376474 4.605037
0.03016512 4.734555
0.02087025 4.867627
0.03538393 5.077068
0.03518751 5.522392
0.03356283 5.874241
0.02843046 5.516546
0.03109479 5.29644
0.02642001 5.342363
0.02148657 5.494253
0.01077763 5.817582
0.01428989 6.084614
0.02387263 5.547118
0.0317716 5.682552
0.009166701 6.413764
0.0245402 6.51183
0.0188874 6.032624
0.01492285 6.300544
0.006623363 6.311127
0.01231968 6.340821
0.02999151 6.968472
0.0247532 6.196389
0.02964876 5.828248
0.02795811 5.598096
0.01866841 5.207981
0.02612811 5.020871
0.03120647 5.268493
0.041137 5.790186
0.04164394 5.039622
0.03193462 5.600947
0.03060753 5.842315
0.04133618 5.777246
0.02309819 6.048525
0.03608551 5.011699
0.02980096 5.639099
0.04129558 6.27823
0.03734548 6.20221
0.03206402 5.565573
0.0373376 5.169007
0.03015031 4.558353
0.02908204 4.555376
0.02954183 4.877063
0.01660149 5.736572
0.02476394 5.535057
0.0187286 5.854784
0.03467329 6.020973
0.03735044 6.130089
0.02626356 6.4662
0.03172393 6.470761
0.03464659 6.680872
0.04293724 7.200059
0.04018158 7.477849
0.02129947 6.515745
0.0419611 6.836654
0.02331342 7.16171
0.03790314 6.5976
0.03239038 6.596621
0.0197921 6.484917
0.0235533 6.056561
0.01807671 5.486803
0.03236246 5.286841
0.02231938 5.943293
0.02126329 6.0886
0.03375118 5.794947
0.03598823 5.27706
0.04075316 5.139592
0.03192358 5.26622
0.01931755 5.011388
0.02007012 5.151323
0.01177929 5.490346
0.02028738 5.460251
0.01681461 5.009102
0.02834529 4.790274
0.02093602 4.109686
0.0371894 4.093337
0.0364772 4.168228
0.01723249 4.697213
0.02693326 4.430339
0.01742542 4.667352
0.01665948 4.529034
0.02567863 4.500792
0.03830658 4.629209
0.02934536 4.175126
0.03490257 4.088171
0.02033573 3.851955
0.02853251 3.417407
0.04125416 3.26916
0.01992704 3.680327
0.0254624 3.389242
0.04770196 3.090932
0.04058548 2.927285
0.03926227 2.839087
0.06787966 3.045626
0.06962954 3.003657
0.05512079 2.963305
0.04355982 2.897884
0.03248123 2.885235
0.03878924 2.596818
0.06328221 2.617966
0.03875492 2.545057
0.02305815 2.824887
0.03893846 2.705621
0.05261579 2.811837
0.04050312 2.96726
0.02588468 3.06797
0.0334042 3.243461
0.02110956 3.234739
0.02821805 3.458547
0.0437984 3.413167
0.04073718 3.667597
0.03284843 4.132834
0.02845434 4.260147
0.01428093 4.170177
0.02872739 3.98351
0.03080593 3.873192
0.0457277 3.675656
0.03553382 3.882444
0.02769366 4.276862
0.04097953 4.133915
0.02287934 4.309748
0.02801212 4.032378
0.03167159 4.085879
0.04608076 4.641098
0.04069777 4.561214
0.04619246 4.539144
0.03194307 4.356478
0.05067771 4.499564
0.04387917 4.685046
0.03476145 4.435178
0.05814373 4.142497
0.04323417 3.970486
0.04321222 3.867458
0.07033647 3.484449
0.04537413 3.773756
0.04704929 3.98361
0.04172041 4.042524
0.03325546 3.878732
0.02805074 4.127516
0.008782977 4.26959
0.0336453 4.0313
0.02492879 4.41604
0.02887608 4.489141
0.02737545 4.492376
0.02289602 4.710547
0.02635885 4.544651
0.04637861 4.443652
0.0251974 4.68223
0.02344571 4.943844
0.02581072 4.914061
0.02255991 4.673783
0.0277056 4.874133
0.02097475 4.843695
0.0509019 4.533792
0.03958477 4.301134
0.03329884 4.348448
0.03729773 4.016083
0.03313894 3.817176
0.03628236 3.668388
0.04857713 3.794069
0.02082378 3.576442
0.03633956 4.042572
0.03474796 4.359431
0.0308894 4.032691
0.05797414 4.076238
0.04637355 3.673524
0.03262591 3.464093
0.0436063 3.492543
0.04317282 3.404652
0.04990008 3.417731
0.05009119 3.421687
0.03732697 3.57703
0.04720466 3.558083
0.0573692 3.582434
0.08370693 3.501097
0.09471239 3.09609
0.0786307 3.284077
0.07278546 3.278662
0.106278 3.472456
0.07342334 3.610931
0.06324575 3.620015
0.08870773 4.326359
0.04919103 4.182318
0.03901879 3.832769
0.06120719 3.466378
0.04872113 3.373344
0.04632621 3.774551
0.03094333 3.573435
0.0406231 3.36421
0.05056359 3.317425
0.05222556 3.295127
0.06146858 3.517254
0.04892569 3.562257
0.03964545 3.475881
0.07830542 3.324601
0.07681169 3.559637
0.04872342 3.515056
0.03951261 3.361563
0.04696541 3.154537
0.04463345 3.143622
0.0456564 3.382086
0.03534236 3.564097
0.06223449 3.576963
0.04503446 3.693141
0.04308386 4.323713
0.03848485 4.507026
0.03597841 4.259227
0.04971738 4.072342
0.04218777 3.999664
0.04338366 3.897185
0.0382973 4.004431
0.03870937 3.963531
0.03896995 3.60958
0.05186155 3.732979
0.0413381 3.798877
0.05528247 3.798909
0.04009945 3.810018
0.03967955 4.024757
0.03019126 3.546052
0.02412211 3.625686
0.02850332 3.57944
0.04303357 3.491596
0.03456223 3.737038
0.03834922 3.909575
0.02023423 4.410253
0.02135173 4.203194
0.02631419 3.915741
0.04218309 3.899956
0.0422515 3.487749
0.03827565 3.607729
0.04814799 3.452474
0.03672998 3.494957
0.03559943 3.44995
0.0468089 2.944794
0.05368515 2.879803
0.05124238 3.044177
0.04502178 3.092519
0.04264858 3.484467
0.04719862 3.491634
0.0440993 3.373691
0.05930862 3.092182
0.05050051 2.89574
0.05230322 2.855818
0.06690224 3.047664
0.04242029 3.178398
0.05345172 3.459581
0.04014338 3.517458
0.05649259 4.05839
0.04474045 4.256973
0.04594026 4.273019
0.03949699 4.2759
0.03808667 4.400215
0.02869176 4.843793
0.03998876 5.286577
0.03098744 4.868751
0.04709318 4.944617
0.02487162 4.823091
0.03834444 4.563979
0.05647509 4.736268
0.04509859 4.452535
0.03088398 5.025891
0.02838494 5.003728
0.02323734 5.370684
0.03410942 5.808752
0.01879805 5.537408
0.01912747 5.872229
0.01245695 5.92497
0.0158535 5.931649
0.0196527 6.420635
0.0229158 6.37688
0.02273717 6.493224
0.01629048 7.02177
0.03116038 7.413618
0.03266083 6.749738
0.01776138 6.614374
0.01615246 7.0862
0.02227157 6.606854
0.02226081 6.700156
0.03047838 5.697806
0.02475139 5.815623
0.02493047 6.306913
0.02101369 5.797581
0.02396883 5.761064
0.02426421 5.492718
0.02746727 5.262261
0.01656313 4.522823
0.0373945 4.689116
0.03431643 4.978558
0.03396576 5.251311
0.04241978 4.954845
0.02667682 5.139695
0.03021437 5.429637
0.02554381 4.630176
0.02819554 4.534625
0.01352301 4.752774
0.03036798 4.659478
0.02150581 4.451721
0.0291115 4.039995
0.01357759 4.161541
0.02728818 4.647386
0.02634948 4.08879
0.02960744 3.977788
0.03569911 4.183596
0.03083994 4.048015
0.0288301 4.236385
0.03243376 4.478027
0.0271805 4.489458
0.03155607 4.385367
0.02661505 4.342874
0.03414199 4.832279
0.03219521 4.876424
0.03192632 4.941718
0.01467432 5.283806
0.02725819 5.889326
0.01774345 6.089956
0.02204025 6.146648
0.03686869 6.294129
0.04813282 5.632201
0.03650475 4.893604
0.04122355 5.274962
0.02978874 5.933526
0.02709557 5.285646
0.03076978 5.871701
0.02522909 6.212988
0.03028991 6.128086
0.01922536 6.110046
0.02451762 5.653503
0.03195631 5.553547
0.02073606 5.773119
0.03612819 6.754253
0.03106483 7.225712
0.02731538 7.062152
0.03180747 6.539507
0.02688088 6.283215
0.02392995 6.808421
0.02433968 6.754612
0.03171775 7.159913
0.02580602 7.490028
0.02247565 7.109636
0.02166644 7.079759
0.03678227 7.796436
0.03882766 8.480934
0.02459111 9.022982
0.03235853 9.487026
0.01366132 9.925788
0.03080953 11.57034
0.02170314 11.96476
0.03065645 12.31323
0.0141811 12.60422
0.01384573 12.28467
0.02885341 11.83464
0.02621641 11.04129
0.02755342 11.03267
0.02347328 10.36566
0.02821148 10.90446
0.01821643 11.0373
0.03260873 10.91842
0.02061545 10.19154
0.008397341 11.31904
0.0149376 11.16155
0.01788322 10.02496
0.01852676 10.12932
0.02417419 10.06389
0.01702822 8.467946
0.01631081 8.898567
0.02406468 8.377765
0.01339734 8.261118
0.02321728 8.008831
0.01382432 7.579253
0.02493399 7.578209
0.01866765 8.05174
0.01821046 7.577353
0.01754288 7.132506
0.02414903 8.026293
0.02427502 7.84572
0.01660057 6.942094
0.02156075 6.390425
0.0385532 5.83186
0.01887937 5.291584
0.01838881 5.384724
0.02156821 5.30675
0.03287743 5.530429
0.03572026 5.130169
0.02961612 5.442735
0.02582086 5.61622
0.02537967 5.34112
0.03228211 4.936741
0.03875355 5.055404
0.02995268 5.047215
0.03132077 5.061008
0.03637677 4.514282
0.03938159 4.540255
0.03399499 4.337246
0.02727658 4.172177
0.01984077 3.957062
0.02944081 3.911245
0.03297393 3.928114
0.04049675 4.113409
0.03072907 4.164246
0.03899911 4.295813
0.02253222 4.255111
0.02281083 4.205625
0.0360545 3.922786
0.01774564 4.295904
0.02002607 3.947782
0.02134392 4.224466
0.02244006 3.918937
0.0358166 3.802447
0.02833791 3.594018
0.02997892 3.797837
0.02433445 3.929599
0.02944427 3.565061
0.03334952 3.639966
0.03717422 3.59426
0.03115098 3.565529
0.03923411 3.432188
0.04434784 3.745066
0.03257964 3.572
0.05240008 3.682469
0.03112081 3.787755
0.0363849 3.79875
0.04210596 3.607559
0.0459855 3.889552
0.04105244 3.975442
0.03897292 4.12357
0.02637112 4.124649
0.05698429 4.180943
0.02486135 4.253653
0.04030128 4.338629
0.04391077 4.939603
0.04216282 5.10969
0.03108263 5.05307
0.01763467 4.785091
0.02318894 4.415752
0.01646001 4.284347
0.02660851 4.508896
0.01534453 4.378609
0.01463451 4.13222
0.02099448 3.843857
0.03675989 3.954689
0.02443462 3.987193
0.02681082 3.946171
0.03724639 4.634464
0.03467805 4.570274
0.03575685 4.39988
0.04614202 4.266436
0.032047 4.477771
0.02616976 4.076
0.03412363 3.979826
0.02583353 4.423114
0.02563687 5.075016
0.02879705 5.648194
0.03203917 4.649536
0.02175296 5.309085
0.01539903 4.797123
0.0252111 5.10416
0.02575418 4.901021
0.01878798 4.791991
0.02132762 4.405299
0.02704858 4.017465
