SAMPLES,GEBVs(GBLUP),ACTUAL
15061614,49.189,54
15061337,43.775,49
15062067,59.905,45
15061752,41.446,45
15061930,52.198,45
15061566,45.957,49
15061773,45.785,67
15061575,48.063,41
15061344,48.204,54
15061282,49.157,43
15061926,49.28,36
15061906,48.221,52
15061665,49.76,43
15061397,45.848,33
15060187,43.682,39
15061534,44.368,54
15062362,43.877,41
15061521,49.803,61
15061633,51.536,49
15061659,52.434,43
15061673,46.165,54
15062356,44.414,59
15061361,43.808,43
15061729,48.511,52
15061755,47.452,63
15061496,41.313,33
15062368,48.216,49
15062339,45.706,36
15061577,43.834,43
15062136,45.338,36
15061529,44.759,61
15061396,48.006,43
15061482,49.623,41
15061814,46.953,43
15061769,49.698,63
15061610,43.808,36
15062147,46.485,33
15061358,53.774,48
15061550,48.26,67
15061271,43.025,43
15060214,53.066,36
15062074,47.744,70
15061507,39.068,36
15061383,43.808,49
15062149,46.671,43
15060042,49.237,45
15061647,53.739,52
15061477,43.61,43
15061586,52.456,67
15062347,50.685,52
15061958,46.951,67
15062346,49.477,41
15061639,46.785,61
15061757,46.738,49
15061299,48.686,61
15061653,48.216,52
15061761,48.216,54
15062146,44.56,43
15061655,49.96,66
15061329,43.826,36
15061535,41.908,49
15061578,43.83,61
15061730,48.555,52
15061627,47.95,66
15061500,49.683,36
15061717,50.467,52
15062122,46.499,31
15061435,46.885,43
15061706,52.209,43
15061624,45.838,38
15060121,50.64,52
15061423,52.329,54
15061488,44.879,43
15061916,43.618,36
15061487,47.036,42
15061281,44.761,41
15061937,47.87,36
15061493,41.41,43
15061296,50.032,54
15061649,51.631,54
15061307,48.729,61
15062133,41.531,43
15062350,42.425,54
15061338,45.788,54
15060027,45.486,36
15061011,53.699,43
15061795,44.446,43
15062358,44.951,43
15061216,45.318,57
15061300,45.337,43
15061462,37.718,43
15061516,43.291,41
15061394,47.828,43
15061453,45.602,43
15062123,48.236,58
15060110,45.927,36
15061964,48.086,43
15061542,48.329,57
15060570,45.611,42
15061785,48.707,66
15061766,48.555,33
15060021,44.516,37
15061364,43.839,43
15060050,52.09,54
15061637,53.727,43
15062369,46.445,43
15061345,48.185,36
15061966,46.868,43
15061737,48.705,43
15060112,43.808,41
15061751,52.254,58
15061567,47.391,63
