,PREDICTED,ACTUAL
15060025,34.984,47
15060039,29.21,28
15060056,45.795,47
15060063,30.207,29
15060070,10.573,8
15060072,38.792,40
15060081,39.791,41
15060082,40.796,42
15060085,12.207,11
15060087,9.924,11
15060090,34.53,36
15060097,34.815,35
15060101,27.207,26
15060102,14.636,29
15060114,31.791,33
15060120,40.796,42
15060122,33.075,33
15060138,37.795,39
15060160,32.851,33
15060188,38.793,40
15060190,30.206,29
15060191,39.8,41
15060215,33.797,35
15060313,41.005,45
15060320,43.59,42
15060345,35.659,42
15060383,36.207,35
15060420,34.716,37
15060536,33.206,32
15060543,33.207,32
15060797,20.207,19
15060846,30.789,32
15060907,41.794,43
15060909,36.203,35
15060910,37.791,39
15060933,37.798,39
15060964,24.621,16
15061007,31.799,33
15061122,32.966,33
15061204,12.206,11
15061213,29.905,29
15061215,29.208,28
15061225,31.795,33
15061226,39.795,41
15061228,12.211,11
15061237,37.797,39
15061256,9.793,11
15061257,37.796,39
15061258,26.692,11
15061259,12.232,8
15061260,31.973,11
15061261,34.864,41
15061262,25.041,8
15061263,17.203,16
15061264,33.799,35
15061265,30.205,29
15061270,34.219,39
15061273,33.842,39
15061274,35.796,37
15061277,39.789,41
15061279,27.79,29
15061283,26.79,28
15061286,30.201,29
15061288,33.795,35
15061289,30.795,32
15061290,40.791,42
15061291,37.61,37
15061293,55.796,57
15061295,30.205,29
15061297,9.203,8
15061298,39.866,43
15061301,33.207,32
15061302,9.793,11
15061303,40.792,42
15061305,39.794,41
15061308,12.598,8
15061312,37.794,39
15061313,36.934,35
15061314,29.859,33
15061317,31.794,33
15061318,12.209,11
15061319,35.094,41
15061320,42.206,41
15061323,35.791,37
15061324,33.209,32
15061327,35.796,37
15061330,33.793,35
15061331,33.791,35
15061333,9.206,8
15061334,30.796,32
15061335,36.203,35
15061336,24.204,23
15061340,16.912,39
15061342,26.852,29
15061346,33.206,32
15061347,30.311,36
15061348,26.57,29
15061349,30.796,32
15061350,37.241,37
15061352,13.171,47
15061353,26.197,29
15061355,24.391,19
15061356,33.795,35
15061357,9.206,8
15061360,25.062,23
15061365,30.794,32
15061367,30.209,29
15061368,17.471,24
15061369,18.794,20
15061370,35.026,37
15061376,33.841,32
15061377,34.79,47
15061378,39.725,47
15061380,26.457,37
15061382,27.202,26
15061384,12.205,11
15061385,12.315,11
15061386,16.968,16
15061388,27.795,29
15061389,12.204,11
15061390,12.517,11
15061391,12.395,16
15061392,26.206,25
15061404,11.901,11
15061405,33.415,36
15061406,25.546,28
15061410,38.206,37
15061411,27.203,26
15061414,12.781,47
15061415,33.616,37
15061417,11.905,8
15061418,13.987,47
15061419,11.962,8
15061420,42.206,47
15061421,29.206,28
15061422,17.205,16
15061424,27.014,16
15061425,33.206,32
15061428,33.205,32
15061430,34.291,37
15061434,30.207,29
15061436,45.795,47
15061437,43.206,42
15061438,12.794,8
15061439,45.795,47
15061441,40.957,42
15061442,25.845,20
15061443,45.795,47
15061444,20.204,19
15061445,40.792,42
