,BA,BB,BC,BL,BRR,GBLUP,EGBLUP,RKHS,LASSO,RR,SVM,RF
15060025,80,80.429,79.785,78.52,80.61,79.469,80.95653,80.361,77.858,80.687,71.319,129.625
15060039,34.751,24.336,35.515,36.867,33.874,40.838,32.05368,38.769,51.933,34.765,34.692,25.713
15060056,129.363,123.527,132.101,132.046,139.362,131.213,123.98742,124.466,132.57,131.11,98.724,109.487
15060063,73.337,50.409,72.361,72.81,68.296,59.877,75.75549,78.499,103.54,59.534,30.689,66.07
15060070,176.156,173.117,176.018,174.493,176.049,167.677,176.07648,176.699,159.4,174.963,299.276,293.197
15060072,64.113,73.08,65.36,75.22,65.372,83.599,46.76312,65.116,109.855,55.315,32.745,55.127
15060081,82.768,87.643,83.641,84.467,84.926,82.85,96.01639,98.235,75.7,89.459,99.758,92.127
15060082,117.142,105.158,119.455,119.141,117.747,115.186,121.06983,117.437,137.367,115.355,104.875,114.655
15060085,234.734,217.36,231.492,232.264,234.09,202.021,246.50255,225.161,139.991,232.655,314.356,298.944
15060087,175.198,172.816,175.253,173.942,175.06,167.677,175.44187,177.013,159.4,174.576,302.44,301.328
15060090,174.927,173.366,174.986,171.986,173.784,173.374,181.46797,179.523,162.695,177.052,142.71,234.437
15060097,36.357,39.345,38.327,40.511,35.356,32.52,50.46281,76.954,66.582,41.651,96.732,92.344
15060101,120.441,113.114,121.39,120.197,120.311,121.121,117.15716,110.905,108.609,118.701,75.65,214.765
15060102,205.171,201.992,202.196,201.583,201.705,196.635,197.95896,197.788,159.745,206.351,274.205,117.073
15060114,179.761,175.346,180.244,179.185,180.762,182.068,182.0979,179.031,163.017,181.581,56.899,78.27
15060120,104.981,102.922,108.719,105.192,107.268,103.97,107.04122,111.97,126.212,108.806,98.273,102.576
15060122,171.868,167.687,172.212,168.548,170.632,166.909,173.2979,172.374,155.3,170.081,23.726,79.811
15060138,83,84.343,83.473,86.699,82.377,89.326,89.48036,84.375,105.859,76.727,30.713,61.307
15060160,119.456,107.005,122.673,128.616,117.309,142.508,89.04967,109.282,121.531,124.663,23.705,85.626
15060188,137.17,133.16,137.688,139.71,138.765,138.543,144.40034,145.472,151.578,134.472,82.652,96.178
15060190,51.648,54.464,52.187,55.187,55.371,67.075,60.69172,66.921,124.495,55.684,18.744,40.94
15060191,92.688,88.407,93.129,92.644,93.233,90.823,89.3414,96.043,92.592,90.081,96.939,86.128
15060215,176.607,175.422,177.576,176.826,177.675,178.012,182.82018,180.857,163.017,179.999,109.688,147.218
15060313,69.543,83.342,69.779,69.84,67.767,65.746,66.98891,78.429,72.49,59.032,69.357,75.409
15060320,102.232,113.952,103.547,102.631,101.623,114.187,101.60993,103.082,146.855,104.316,95.381,91.159
15060345,47.098,59.119,47.23,48.893,46.442,52.871,45.50965,45.73,78.887,45.024,36.643,62.169
15060383,70.388,83.154,70.557,70.786,68.093,65.39,67.86532,78.41,79.312,60.044,69.254,77.558
15060420,48.545,58.321,48.26,49.471,47.315,50.278,45.75764,45.89,78.887,45.557,31.634,23.95
15060536,160.818,167.45,159.326,158.352,164.267,149.933,178.41172,168.246,153.059,170.579,97.676,152.853
15060543,48.301,49.799,49.364,52.653,49.707,58.717,46.90167,54.127,90.012,41.028,27.74,22.715
15060797,126.28,152.234,124.424,126.111,124.941,139.647,103.47636,108.509,176.102,105.879,18.654,56.672
15060846,173.208,171.187,173.99,171.402,173.118,168.916,178.9163,177.845,155.3,175.456,115.051,105.037
15060907,165.433,169.284,164.206,163.028,169.673,153.999,192.56826,177.647,153.059,182.218,341.29,250.824
15060909,64.103,65.26,63.65,62.479,64.279,73.475,70.42814,70.788,57.06,65.456,79.258,78.437
15060910,51.491,74.524,49.485,53.349,47.107,50.401,45.84088,60.567,102.909,41.93,27.421,41.322
15060933,46.279,49.009,47.116,50.814,47.465,57.212,44.22163,53.344,90.012,39.614,27.692,25.332
15060964,172.962,148.011,176.132,170.852,171.464,156.381,173.60194,167.231,133.083,179.701,176.143,234.543
15061007,172.941,147.506,175.241,171.097,171.167,159.437,171.47478,165.956,133.083,179.405,95.557,127.177
15061122,172.561,170.232,173.598,169.918,172.172,169.39,177.05419,176.584,155.3,174.346,88.384,95.53
15061204,231.107,248.944,233.677,222.191,233.385,219.139,253.62411,209.95,195.402,244.502,314.329,265.195
