,PREDICTED,ACTUAL
15060025,49.831,76
15060039,42.568,34
15060056,59.584,76
15060063,42.455,35
15060070,34.745,29
15060072,55.051,70
15060081,59.409,80
15060082,63.441,80
15060085,36.662,30
15060087,34.649,30
15060090,54.389,42
15060097,71.447,75
15060101,47.27,50
15060102,41.097,30
15060114,47.608,43
15060120,67.301,80
15060122,53.761,43
15060138,43.525,43
15060160,50.466,43
15060188,45.721,66
15060190,45.146,41
15060191,71.551,80
15060215,47.243,51
15060313,61.202,77
15060320,66.578,80
15060345,45.41,80
15060383,61.296,75
15060420,45.732,42
15060536,63.105,81
15060543,44.928,38
15060797,38.506,27
15060846,53.499,38
15060907,61.996,51
15060909,67.039,82
15060910,44.97,43
15060933,44.735,43
15060964,42.307,28
15061007,41.959,43
15061122,53.713,43
15061204,41.667,30
15061213,42.237,35
15061215,42.43,34
15061225,47.312,43
15061226,65.044,80
15061228,42.111,30
15061237,44.521,43
15061256,36.622,30
15061257,49.574,43
15061258,50.276,30
15061259,34.554,29
15061260,49.759,30
15061261,50.262,80
15061262,47.054,34
15061263,40.744,28
15061264,53.963,75
15061265,45.964,30
15061270,40.921,43
15061273,46.2,43
15061274,43.501,41
15061277,69.868,80
15061279,38.941,35
15061283,36.433,34
15061286,42.477,35
15061288,42.519,40
15061289,42.651,38
15061290,68.582,80
15061291,44.805,42
15061293,47.397,65
15061295,42.547,35
15061297,36.636,29
15061298,44.743,54
15061301,44.709,38
15061302,37.59,30
15061303,66.968,80
15061305,53.744,80
15061308,38.987,29
15061312,44.863,43
15061313,71.712,75
15061314,36.808,43
15061317,47.316,43
15061318,39.876,30
15061319,50.114,44
15061320,72.057,80
15061323,48.238,74
15061324,47.536,38
15061327,49.867,41
15061330,45.807,40
15061331,52.896,60
15061333,43.445,29
15061334,41.694,38
15061335,57.694,75
15061336,38.901,29
15061340,34.724,43
15061342,36.287,35
15061346,45.126,38
15061347,35.52,42
15061348,36.294,30
15061349,59.538,81
15061350,44.713,42
15061352,39.637,76
15061353,36.249,35
15061355,35.996,27
15061356,54.131,60
15061357,40.227,29
15061360,36.046,29
15061365,42.153,38
15061367,42.112,35
15061368,39.401,53
15061369,39.326,47
15061370,45.324,41
15061376,45.418,38
15061377,50.024,76
15061378,57.592,76
15061380,35.064,42
15061382,47.619,50
15061384,34.587,30
15061385,34.556,30
15061386,39.364,28
15061388,40.389,35
15061389,39.166,30
15061390,39.804,30
15061391,39.02,28
15061392,48.289,45
15061404,39.396,30
15061405,46.93,42
15061406,36.06,34
15061410,64.496,42
15061411,44.384,50
15061414,39.086,76
15061415,48.787,42
15061417,39.318,29
15061418,39.393,76
15061419,34.602,29
15061420,72.057,76
15061421,49.671,34
15061422,36.975,30
15061424,50.205,30
15061425,45.271,38
15061428,45.328,38
15061430,45.377,42
15061434,48.31,35
15061436,71.704,76
15061437,59.892,80
15061438,39.335,29
15061439,60.021,76
15061441,62.272,80
15061442,44.524,47
15061443,71.558,76
15061444,38.78,27
15061445,62.145,80
15061447,37.192,34
15061449,35.374,51
15061454,35.005,27
15061458,45.348,48
15061459,39.134,29
15061461,45.325,80
15061463,37.693,28
15061469,41.699,42
15061470,54.299,50
15061471,53.639,42
15061475,50.081,35
15061476,37.471,27
15061478,34.511,29
15061479,37.654,34
15061480,61.95,45
15061481,71.754,76
15061484,41.013,40
15061485,71.211,80
15061486,52.934,29
15061489,39.259,30
15061490,39.285,30
15061491,38.994,30
15061492,39.051,30
15061494,33.085,29
15061495,35.028,30
15061498,37.952,29
15061499,71.741,80
15061501,46.412,69
15061503,37.656,50
15061504,47.192,50
15061505,42.795,43
15061508,44.488,80
15061509,41.276,30
15061511,41.264,29
15061514,50.071,42
15061515,47.264,35
15061517,36.341,30
15061518,37.411,30
15061520,50.956,39
15061522,52.748,76
15061523,34.258,30
15061524,32.741,30
