probIn scale
0.01412095 10.10926
0.02126353 9.067017
0.01564931 10.00792
0.02333633 10.70776
0.01711559 11.39292
0.01672632 12.22374
0.02917123 12.25618
0.02936836 13.12185
0.02567313 13.19157
0.03578647 13.59508
0.02261942 14.39401
0.02242751 14.85799
0.02528159 14.35769
0.01866239 13.26167
0.0200557 13.10252
0.02260529 12.45008
0.02246498 12.1216
0.01669831 13.38204
0.01620921 14.2616
0.0202729 15.57117
0.02381189 15.97775
0.0276925 16.4719
0.02450591 18.31986
0.02190643 18.66766
0.02005365 17.64422
0.02329921 17.97056
0.02184295 19.76705
0.02473082 20.55705
0.01438857 20.21631
0.02003052 20.31773
0.01922349 21.37726
0.01923336 19.05676
0.0286091 19.56386
0.02984044 18.89827
0.03613101 20.04636
0.0281653 18.80619
0.02199693 19.36009
0.02617096 21.5842
0.02365406 23.27535
0.01507106 24.63216
0.01623569 26.76762
0.01729321 29.04804
0.01653443 29.71321
0.03199257 30.57483
0.0179737 32.05752
0.01290989 35.77053
0.02572585 31.00678
0.01483576 35.04499
0.01890297 37.73643
0.01368901 41.81714
0.01468048 45.63987
0.01146107 47.62136
0.01575611 41.31289
0.01200033 46.43427
0.0175253 49.84707
0.01234628 47.4671
0.014815 46.11453
0.0255503 45.01402
0.006580503 45.84418
0.006601135 42.84284
0.01292787 41.43757
0.01321075 46.76087
0.01249429 48.32724
0.01200521 51.07628
0.009088462 45.21647
0.01107309 43.66411
0.01443397 46.58569
0.01659116 48.24161
0.01497317 47.66619
0.01939874 47.25425
0.01501134 47.38073
0.008555847 49.50872
0.007692801 45.47242
0.01356463 46.82901
0.01205658 49.39431
0.01831365 48.20074
0.01171154 43.00088
0.00985243 42.72703
0.008669565 41.94043
0.01022873 44.58103
0.01004109 46.47717
0.01850823 48.70321
0.01499939 47.74402
0.0121395 48.50581
0.01374839 51.04119
0.007835373 46.73144
0.01127105 47.04447
0.01278593 46.76554
0.01722663 52.41047
0.01206424 49.66325
0.008127933 49.50951
0.01062497 48.02325
0.01670184 48.96424
0.01100982 48.29041
0.01251562 52.101
0.01586917 53.24623
0.01290711 46.13877
0.0137125 48.22758
0.005816028 47.56177
0.01388008 50.85529
0.01801053 46.09119
0.01430599 43.14145
0.007231117 44.51155
0.008801682 46.45066
0.009648722 46.32931
0.01754015 50.15645
0.01220863 53.20082
0.01044659 51.68876
0.01591551 51.39799
0.01688942 52.27811
0.006914775 44.4637
0.01006019 37.58133
0.01350382 40.22194
0.01210576 38.67376
0.009523468 41.06868
0.01384113 37.86877
0.01436932 39.53195
0.01738846 37.38528
0.01571299 36.48072
0.01453342 35.25712
0.007291849 37.91367
0.007280218 36.79667
0.01317272 39.13111
0.008588708 43.43901
0.01290005 48.83787
0.008491583 45.76438
0.01159187 42.9249
0.008014862 42.75208
0.005170012 44.5597
0.004836967 47.00286
0.01007244 51.59321
0.00559955 50.44894
0.01460415 54.97935
0.0114447 50.91899
0.00660472 51.06547
0.01226395 54.90117
0.007292448 54.85175
0.01019833 50.79934
0.006168984 53.09567
0.01019548 50.55001
0.007045954 51.48515
0.008781892 52.98978
0.01095611 53.13449
0.0102828 54.20681
0.008617352 49.74225
0.01105589 45.20575
0.01106483 47.66438
0.005932239 40.64182
0.00257442 39.72821
0.004140467 37.73199
0.01779796 37.90092
0.02079589 38.70284
0.01325569 39.27619
0.02008763 36.91117
0.029938 37.49055
0.02470013 39.08244
0.01410152 36.6688
0.01299217 35.12881
0.02239915 33.71395
0.02353903 34.43763
0.01262246 31.49231
0.0232592 29.6668
0.01795628 29.67715
0.01672228 31.17209
0.02295988 31.93223
0.01303431 32.28854
0.02350627 30.87978
0.01007842 31.28132
0.01018512 33.00125
0.01734779 35.07389
0.01373436 35.51006
0.01474352 36.67713
0.01522562 37.83902
0.009912465 38.53137
0.01813327 36.60701
0.01723942 33.58575
0.02525994 32.70916
0.02220526 30.71603
0.02844427 35.65675
0.02522078 36.00705
0.02295165 37.50794
0.022773 40.16085
0.02514712 45.70447
0.01447629 45.75329
0.01205429 45.4742
0.0130169 48.8215
0.01677253 47.70223
0.0190297 55.69792
0.02619458 59.78247
0.0123148 63.16208
0.01795931 56.62445
0.01713861 58.72793
0.01997774 59.45447
0.008774563 56.06526
0.01481962 56.89694
0.02512232 56.80621
0.02073575 57.42422
0.01691505 59.03653
0.01682205 60.50531
0.01787302 58.95702
0.01509934 62.63102
0.01218955 65.61014
0.01264617 63.95867
0.02007116 66.11069
0.01320855 65.26832
