Models,Predictive_ability
BA,0.378
BA,0.331
BA,0.32
BA,0.395
BB,0.307
BB,0.365
BB,0.273
BB,0.322
BC,0.318
BC,0.335
BC,0.293
BC,0.266
BL,0.286
BL,0.345
BL,0.364
BL,0.39
BRR,0.345
BRR,0.345
BRR,0.303
BRR,0.347
GBLUP,0.41
GBLUP,0.323
GBLUP,0.362
GBLUP,0.364
EGBLUP,0.383
EGBLUP,0.421
EGBLUP,0.418
EGBLUP,0.326
RKHS,0.296
RKHS,0.255
RKHS,0.356
RKHS,0.314
Lasso,0.297
Lasso,0.302
Lasso,0.199
Lasso,0.226
RR,0.258
RR,0.324
RR,0.319
RR,0.359
SVM,0.389
SVM,0.352
SVM,0.326
SVM,0.376
RF,0.339
RF,0.342
RF,0.434
RF,0.393
