probIn scale
0.02379225 1.327842
0.01023285 1.380059
0.01726082 1.556688
0.0185318 1.458324
0.01860207 1.57604
0.04975849 1.494405
0.04458103 1.490948
0.02808821 1.610525
0.0355323 1.623063
0.03714137 1.501112
0.03688964 1.547245
0.02217181 1.624516
0.02782175 1.785744
0.02908875 1.700968
0.01654698 1.697655
0.01942549 1.978836
0.01730259 1.961848
0.02228976 2.081291
0.01637399 2.096959
0.02006597 2.160284
0.01854756 2.21684
0.02103561 2.710653
0.02473358 2.763049
0.02634855 3.046384
0.01830118 2.952401
0.02287276 3.310954
0.01211761 3.264698
0.0148679 3.170581
0.02382212 2.925763
0.02013437 2.897866
0.02276197 2.921719
0.009651369 2.874743
0.01563247 3.283496
0.0122369 3.16486
0.01540945 3.313135
0.01836614 3.293467
0.01835125 3.501699
0.009301613 3.448818
0.01519183 3.451431
0.02292988 3.344557
0.02268611 3.048881
0.02059787 3.115315
0.02562263 2.817302
0.02928656 2.72853
0.02113728 2.726565
0.01971166 2.646882
0.02330901 2.617504
0.01707074 2.315959
0.02974188 2.377028
0.005192974 2.443788
0.01324764 2.344878
0.02031554 2.208673
0.01265821 2.309395
0.01068846 2.394672
0.0157297 2.300097
0.01315127 2.297522
0.0266359 2.246736
0.01550523 2.099738
0.02377036 2.006711
0.02732693 1.955311
0.02114609 1.912295
0.02334341 1.940493
0.01342951 1.88505
0.01132534 1.661234
0.01330025 1.649638
0.01639375 1.437475
0.01308424 1.626353
0.0153524 1.689638
0.03366628 1.784091
0.02437585 1.576052
0.01787858 1.536908
0.0166438 1.568548
0.01628963 1.642788
0.01828666 1.454229
0.04478416 1.433904
0.03537637 1.535261
0.02466482 1.480946
0.03100327 1.470478
0.0312862 1.391833
0.04277772 1.357382
0.05088764 1.467178
0.03192408 1.353707
0.03673131 1.178459
0.03134359 1.141744
0.01581039 1.094389
0.02186198 1.196855
0.02706822 1.286429
0.0331448 1.304769
0.02516456 1.245699
0.02187464 1.26018
0.02953667 1.121212
0.03010186 1.080014
0.03107555 1.042142
0.0376208 1.082576
0.03411708 1.176464
0.04911887 1.10796
0.03601613 1.0093
0.03388304 1.029852
0.02837425 1.006434
0.03104384 0.9799122
0.03075992 1.076692
0.03852585 1.216135
0.03281701 1.139157
0.02544079 1.210093
0.0283926 1.158436
0.03067811 1.277627
0.03956416 1.236211
0.02163459 1.186851
0.03032218 1.12856
0.01778235 1.079965
0.03245079 1.095322
0.0540709 0.9568723
0.03856478 0.9649051
0.04733376 0.9608241
0.04046101 0.9295325
0.02901077 1.027005
0.02853806 1.02679
0.0661391 1.057985
0.03041869 1.009579
0.04572608 0.9557237
0.0504183 0.9882218
0.04127842 1.007553
0.02405924 0.9342623
0.02152746 0.9957823
0.03550524 1.004627
0.04503899 0.989403
0.06521418 1.00916
0.06518212 0.9965866
0.05718785 0.9934539
0.04643214 0.9269783
0.0505747 0.9317362
0.05861396 0.9213863
0.05425546 0.906471
0.05494875 0.8680078
0.03992186 0.8496315
0.03576898 0.8305474
0.03212877 0.9468008
0.04515072 0.9494063
0.04106452 0.9073639
0.06016833 0.8741618
0.0499157 0.7756211
0.04387144 0.8162993
0.0253798 0.7208918
0.02816262 0.7298253
0.02391781 0.8106927
0.0336916 0.7816493
0.04382395 0.7593915
0.05829344 0.691929
0.05918148 0.6694034
0.04997304 0.6754454
0.04312216 0.6567937
0.0317524 0.7166365
0.05178184 0.643107
0.05052578 0.6949587
0.03807734 0.8053013
0.01226622 0.7665405
0.02440437 0.770536
0.03584589 0.7912092
0.02705903 0.7699254
0.04496257 0.8303129
0.04872103 0.905864
0.05942808 0.8482683
0.05946698 0.7964965
0.07706023 0.8542914
0.06447938 0.9380205
0.05905624 0.8758504
0.05349308 0.9227775
0.04508237 0.9050112
0.06254067 0.813409
0.06311927 0.7723195
0.06520433 0.8086498
0.08383928 0.7194402
0.0896198 0.7600264
0.08111265 0.7304412
0.06801614 0.770429
0.07654463 0.7415889
0.07700616 0.6629933
0.1102274 0.6685452
0.09109862 0.6847976
0.06811838 0.6703819
0.07354282 0.6605321
0.05950195 0.7066309
0.0567872 0.6867157
0.03882788 0.683962
0.03585601 0.728049
0.04436546 0.7433685
0.04513725 0.7233777
0.04274664 0.7422988
0.04614537 0.6588109
0.05580887 0.6167372
0.05944291 0.7008829
0.04050016 0.783537
0.05006446 0.8654687
0.02063961 0.8060051
0.03474392 0.7766125
0.04802288 0.8019723
0.04555269 0.8251356
0.04445166 0.8070656
0.03471365 0.7362896
0.04396004 0.7560011
0.03748905 0.6869433
0.04605983 0.6917724
0.05264872 0.6769056
0.05749652 0.7118686
0.05376744 0.7157986
0.05940837 0.7040475
0.04738803 0.7679179
0.05311841 0.8125453
0.0341087 0.8427477
0.03001031 0.8685728
0.05181422 0.861014
0.05892197 0.9026981
0.05212195 0.8841828
0.03282703 0.8714392
0.05634344 0.7910478
0.06125788 0.700727
0.05789571 0.7599136
0.04575444 0.7563835
0.05228294 0.7352034
0.04158331 0.7352388
0.05112973 0.7042879
0.04554565 0.7148564
0.06271869 0.6941814
0.06044224 0.7534375
0.06546793 0.7608692
0.06272197 0.7476006
0.03737804 0.7677603
0.03909919 0.8004015
0.03869617 0.7382066
0.03632331 0.7530336
0.053966 0.6605853
0.05233704 0.6284136
0.05661069 0.6330929
0.04149531 0.613533
0.06618893 0.6170128
0.03959628 0.5942588
0.02885193 0.5541961
0.03970236 0.5801375
0.044857 0.4970118
0.04409418 0.4943849
0.0366683 0.4819656
0.06683908 0.4606292
0.0435298 0.4523869
0.04403804 0.4881812
0.05296857 0.5408936
0.04775599 0.5517756
0.08783899 0.5524798
0.06030562 0.561566
0.07928612 0.5826503
0.06024447 0.5936694
0.07131928 0.6402567
0.0638502 0.6866645
0.06026296 0.7943569
0.06483269 0.753095
0.04896752 0.7838019
0.06382541 0.7214038
0.03409562 0.6454712
0.02469432 0.6087941
0.04201624 0.5753443
0.03505347 0.5741535
0.04449265 0.4844722
0.03392249 0.5460809
0.05890141 0.5720753
0.06531855 0.5030834
0.05776121 0.4699946
0.07265481 0.4585575
0.07240566 0.4472111
0.1093444 0.4576163
0.09189978 0.4773628
0.05446809 0.4424988
0.04891346 0.4371335
0.033406 0.4788678
0.04821128 0.4265971
0.0492403 0.5018775
0.04842913 0.5486286
0.04670702 0.5749932
0.03953346 0.5381334
0.07103896 0.4994749
0.05284284 0.5317336
0.05279216 0.5338816
0.05691629 0.5113629
0.06044899 0.5003337
0.05050006 0.487488
0.06879025 0.4485465
0.06975526 0.4351258
0.0993171 0.432044
0.06505174 0.439714
0.09172085 0.4200622
0.05513018 0.423357
0.04376374 0.411179
0.08036679 0.4052685
0.04297727 0.4411732
0.04005857 0.4735677
0.04468563 0.4830863
0.04293967 0.4704647
0.06375457 0.4333177
0.05681143 0.4052467
0.05231377 0.3841868
0.06089777 0.3810539
0.04032345 0.4078112
0.05333621 0.3845989
0.06396356 0.4133967
0.06438813 0.3654402
0.05935071 0.3675216
0.03995934 0.3101548
0.03610183 0.3568133
0.04168772 0.3354373
0.04621305 0.3568123
0.04528536 0.3476844
0.05740103 0.3210173
0.04604319 0.3425548
0.0202566 0.3092353
0.04047771 0.3060401
0.06613038 0.3136107
0.04839581 0.3079982
0.05278269 0.3128317
0.05601681 0.2981485
0.043461 0.3059873
0.0692725 0.2631464
0.06636328 0.2792176
0.07409613 0.2830454
0.06674544 0.2951204
0.1166395 0.2963597
0.09467483 0.3503184
0.1455269 0.3226004
0.09596053 0.3171662
0.1157073 0.3201248
0.1098979 0.312268
0.08903689 0.3363637
0.08626889 0.3102885
0.0686366 0.3137272
0.05359564 0.3166425
0.104155 0.3119665
0.09298358 0.3212921
0.06914443 0.2902799
0.1155913 0.264342
0.07049678 0.256868
0.05053151 0.2722362
0.087289 0.2738296
0.1029252 0.2663589
0.0881153 0.2777033
0.1023682 0.2950702
0.1187852 0.2720834
0.1051773 0.2805116
0.1117334 0.2786052
0.1337776 0.2649371
0.1126713 0.2567147
0.1460767 0.2890787
0.1879989 0.2831417
0.1984661 0.287417
0.1654144 0.2832816
0.1723658 0.2881208
0.1604288 0.270831
0.1282722 0.3027384
0.1184151 0.312277
0.1020066 0.3147669
0.09879424 0.2616868
0.1012103 0.3016098
0.123543 0.2913745
0.120359 0.285694
0.148911 0.2615427
0.1297208 0.2761006
0.1136507 0.2695093
0.149704 0.256825
0.1534957 0.283379
0.1367465 0.2371711
0.113654 0.2293413
0.1434752 0.2366855
0.1876582 0.2441248
0.1889427 0.2223752
0.127718 0.2398784
0.1317506 0.2553891
0.1331609 0.2335012
0.1095371 0.2210978
0.119575 0.2323215
0.1249149 0.2069597
0.1192111 0.2121776
0.1287353 0.1786912
0.1138791 0.1799476
0.1387617 0.1848802
0.09750181 0.1913908
0.1379734 0.2085599
0.1365408 0.2022946
0.1178466 0.2105192
0.1224071 0.1993393
0.1214197 0.1994359
0.1449826 0.1981638
0.1389347 0.2020793
0.09967989 0.2060912
0.0976597 0.2159269
0.1015309 0.2196644
0.07010821 0.2283316
0.1008303 0.2332365
0.1110372 0.2126704
0.113916 0.2169099
0.1500667 0.1989667
0.1301251 0.2080848
0.1453999 0.2170642
0.1355122 0.228299
0.1585367 0.2086098
0.1168391 0.2273669
0.1118343 0.2271334
0.0802432 0.2329896
0.1003749 0.2520137
0.08805378 0.2542479
0.06883387 0.3124455
0.09025554 0.3457093
0.07764838 0.3567441
0.08388958 0.4028957
0.04585002 0.3772353
0.08333867 0.3892244
0.05038262 0.4281239
0.04869836 0.4309501
0.04461958 0.4214911
0.02319782 0.4369698
0.02398078 0.408403
0.02781164 0.3792907
0.02790092 0.4083569
0.06340827 0.4073617
0.06684795 0.3792283
0.07804141 0.3811895
0.08340398 0.4383448
0.07425308 0.458113
0.05619604 0.4871585
0.05849462 0.4956373
0.04123056 0.47762
0.07729943 0.4876793
0.08472048 0.4852759
0.07201031 0.4865881
0.06997153 0.4713487
0.08873848 0.4373542
0.04408071 0.43372
0.04275635 0.410392
0.04119435 0.4216247
0.06808681 0.4061346
0.0621044 0.4203174
0.06076206 0.3900287
0.05602806 0.3958436
0.05927588 0.3726555
0.05345073 0.3991523
0.07038514 0.386966
0.08647575 0.4290675
0.0711814 0.4823981
0.0622807 0.4828138
0.07334611 0.5042918
0.08098555 0.5610551
0.09434791 0.5918749
0.08753216 0.6283116
0.08827804 0.6352368
0.0824563 0.6256857
0.07762349 0.6792578
0.06436156 0.6676033
0.06972882 0.6750256
0.07509935 0.7618694
0.03789545 0.7605733
0.04498289 0.6989217
0.06994946 0.6675861
0.07192996 0.7289325
0.08230718 0.7318675
0.09116698 0.7165794
0.09746341 0.7195454
0.0888313 0.7354939
0.1114267 0.7461981
0.1118142 0.6235926
0.09639467 0.6260522
0.08193326 0.6085345
0.1011959 0.6114455
0.07865768 0.6269076
0.07342342 0.673788
0.08904227 0.693927
0.1126088 0.6290672
0.08847589 0.630023
0.07664718 0.6099848
0.1086457 0.5979788
0.0651219 0.5939889
0.07555993 0.576596
0.09335976 0.5374073
0.08635806 0.5442091
0.09200363 0.5322425
0.09030585 0.5568624
0.09225828 0.537425
0.08423662 0.4994645
0.1165323 0.5219234
0.09851496 0.5226968
0.1155299 0.5512619
0.09236422 0.5386181
0.1216339 0.5892934
0.1121576 0.6059597
0.08304347 0.5818602
0.06581084 0.543609
0.06780584 0.55935
0.05450443 0.5614741
0.07020273 0.5920467
0.07995521 0.5509703
0.06083809 0.5588349
0.0856425 0.5337451
0.05577322 0.5072344
0.08065626 0.5194876
0.05183308 0.5118614
0.05708953 0.5072006
