probIn scale
0.007186706 0.07931818
0.007954177 0.07417367
0.00850646 0.08191884
0.007537017 0.07920802
0.00163717 0.08121749
0.002937108 0.08341704
0.002358027 0.08935241
0.009995765 0.08873685
0.008733635 0.09531982
0.01184379 0.1030789
0.01782783 0.1053643
0.01242474 0.09782908
0.008268933 0.1028848
0.006871164 0.1040007
0.005662687 0.1091675
0.005784661 0.1031786
0.01079228 0.09895644
0.007436948 0.0990298
0.004462329 0.1016747
0.01343035 0.09993975
0.006969771 0.1019353
0.003029588 0.1066082
0.01133516 0.1118018
0.004766781 0.1142207
0.01524527 0.1106154
0.007908861 0.1179054
0.007408716 0.1131698
0.009452621 0.120852
0.004843651 0.1315654
0.003323158 0.1359113
0.006660314 0.1310171
0.006741609 0.1281913
0.003894944 0.1267331
0.01151198 0.1189844
0.004354844 0.1174496
0.00623355 0.1289722
0.005731302 0.1247598
0.001718607 0.1206558
0.005527073 0.1187783
0.007010192 0.1171693
0.001644886 0.1153757
0.001281021 0.1139952
0.003589745 0.121326
0.00271815 0.1317629
0.003752116 0.1234414
0.003150369 0.1411686
0.001409153 0.1485994
0.002647339 0.15043
0.007324742 0.1538119
0.004672112 0.1546271
0.004414221 0.1468424
0.004196296 0.16277
0.001669048 0.158856
0.00904947 0.1464898
0.007276257 0.1591556
0.0009590923 0.1648276
0.001654787 0.181306
0.002174072 0.1937401
0.001648852 0.191152
0.004907106 0.1938673
0.005099573 0.1696406
0.003074246 0.1915698
0.001335249 0.2056653
0.0008313825 0.2276529
0.001146694 0.2498967
0.00184038 0.2688333
0.001681157 0.2880815
0.004404973 0.2387994
0.002111915 0.248062
0.004667881 0.2305329
0.001027363 0.2611789
0.001848652 0.2382432
0.00223526 0.2289339
0.001493647 0.2110645
0.004078015 0.1931643
0.008165472 0.1676816
0.01201406 0.1699031
0.008197139 0.1562931
0.001426113 0.1620583
0.003355267 0.1705055
0.007149344 0.1654193
0.008127676 0.162533
0.002657104 0.1606014
0.002151794 0.1460181
0.003805439 0.1415856
0.004279622 0.1278044
0.00305838 0.1362607
0.001405659 0.1366684
0.003626914 0.1394881
0.004711576 0.1373781
0.005687687 0.1300054
0.003877253 0.1261471
0.003452416 0.1241179
0.002841132 0.1273625
0.0002736801 0.1295794
0.0006587697 0.1279515
0.003551643 0.1222311
0.0003260162 0.1242144
0.00114318 0.1346975
0.0007631245 0.1366183
0.004728597 0.1290292
0.0007475853 0.1385957
0.001403414 0.137486
0.001443726 0.1361591
0.003308464 0.1249458
0.00218495 0.1328136
0.001977353 0.1386425
0.003449803 0.1360807
0.004863844 0.1380648
0.0009572745 0.1439821
0.001881944 0.133844
0.003512657 0.1321494
0.004787339 0.1423387
0.002260181 0.1376684
0.005805325 0.1479476
0.004528222 0.1408827
0.004560711 0.1487727
0.005202217 0.1466849
0.005787697 0.1494863
0.005585471 0.1338901
0.01454242 0.1225619
0.005035662 0.1065465
0.005347166 0.1061173
0.007751499 0.1154174
0.01013368 0.1096894
0.007681165 0.1172385
0.006438732 0.1106596
0.002326673 0.1139163
0.01992205 0.1187444
0.01367435 0.110861
0.001907278 0.1141346
0.004210494 0.1237786
0.01088381 0.1241699
0.003576678 0.1296899
0.0156233 0.1433058
0.02208315 0.139579
0.007079195 0.1389136
0.00504547 0.1244034
0.002334546 0.112172
0.001604931 0.1151615
0.004509926 0.1214399
0.001090407 0.1112247
0.004486596 0.1006946
0.008422573 0.09486097
0.001312516 0.1024604
0.002659935 0.09923004
0.003234465 0.1078834
0.005692553 0.1112568
0.00542118 0.1293634
0.007391695 0.1259676
0.006033073 0.1151568
0.008092763 0.1170403
0.01086124 0.1279746
0.005153166 0.1331496
0.003230447 0.1407741
0.008048447 0.1381764
0.006696752 0.146812
0.005679747 0.1371434
0.007356516 0.1325223
0.0066097 0.1465994
0.007149984 0.1657974
0.007852854 0.1662056
0.008286288 0.1562592
0.008419645 0.1543866
0.007936025 0.1487725
0.0102462 0.1363748
0.00916811 0.1283524
0.0144066 0.1275065
0.004252301 0.121117
0.00353168 0.1116453
0.01321111 0.114978
0.007474259 0.1151394
0.01810233 0.1172204
0.01104816 0.1178034
0.01525032 0.11392
0.01396321 0.1230265
0.009723522 0.1216744
0.01645884 0.1234453
0.007056032 0.1149453
0.004676149 0.1124548
0.01104556 0.1287663
0.0116257 0.1237821
0.01690966 0.114756
0.01390887 0.09655933
0.01780765 0.09951859
0.0105076 0.09985175
0.01435162 0.09708529
0.008569513 0.09784939
0.01579055 0.09929956
0.01151608 0.09883049
0.01416653 0.1021657
0.01048499 0.1082386
0.01024917 0.09152465
0.007305532 0.09024743
0.01547495 0.09590825
0.01613981 0.1021563
0.01239798 0.09996059
0.01775226 0.09484845
0.01221411 0.08858883
0.006717985 0.09602929
0.01168182 0.08403939
0.01134021 0.07647377
0.01884035 0.07630217
0.01303392 0.08565392
0.01536355 0.08523764
0.006415435 0.08649893
0.01179262 0.09340384
0.004879644 0.0905784
0.00545907 0.0876029
0.009247397 0.08140698
0.008144074 0.07566075
0.00693061 0.07300794
0.01256279 0.07289756
0.01311232 0.07091585
0.0294745 0.06805197
0.007540279 0.07129056
0.007415433 0.07613281
0.008967849 0.07275888
0.007332127 0.06563059
0.001523964 0.06206435
0.004786024 0.05644495
0.003355606 0.05657607
0.01748627 0.06060677
0.006769118 0.05832402
0.01624404 0.06055538
0.01200847 0.06303971
0.01018247 0.06164528
0.01180296 0.05518239
0.01520379 0.05397523
0.02026893 0.04850367
0.01395717 0.05014484
0.004085706 0.05139855
0.009821696 0.04957788
0.01842408 0.04320146
0.006739082 0.03901252
0.01034723 0.04096041
0.01235787 0.04229871
0.01726522 0.04440889
0.01472166 0.04597139
0.02550795 0.04590676
0.0344188 0.04538817
0.01504836 0.04863082
0.01073017 0.0523155
0.007852408 0.05103915
0.01045317 0.05353457
0.009556992 0.05183725
0.01136463 0.05343085
0.007331523 0.05613054
0.008433353 0.05379718
0.009073714 0.05586041
0.01011984 0.05952321
0.01190633 0.057408
0.01014139 0.05419528
0.01576876 0.05484716
0.02515726 0.05930869
0.006698239 0.05879548
0.01634004 0.0548006
0.009252805 0.06075588
0.00906562 0.05979058
0.008429788 0.05985167
0.005624072 0.0494332
0.007805909 0.04983448
0.008043561 0.05294768
0.004798951 0.05050576
0.007241395 0.05189306
0.001774015 0.05496888
0.009228827 0.05959626
0.004652236 0.05652928
0.008570292 0.05485197
0.00803697 0.05446813
0.004095474 0.05298001
0.01047836 0.0557883
