SAMPLES,GEBVs(BC),ACTUAL
15061614,95.199,96
15061337,94.972,94
15062067,94.657,94
15061752,95.052,96
15061930,94.805,95
15061566,94.889,94
15061773,95.177,96
15061575,94.961,96
15061344,94.772,96
15061282,95.201,96
15061926,95.203,94
15061906,94.885,96
15061665,94.791,94
15061397,94.892,96
15060187,95.179,96
15061534,95.116,96
15062362,94.973,94
15061521,94.837,96
15061633,94.84,94
15061659,94.811,96
15061673,94.867,96
15062356,95.118,96
15061361,94.98,96
15061729,94.901,96
15061755,95.083,96
15061496,95.279,96
15062368,95.023,96
15062339,95.081,95
15061577,94.856,94
15062136,95.15,95
15061529,94.994,96
15061396,94.996,94
15061482,94.507,94
15061814,94.939,94
15061769,95.075,96
15061610,94.978,94
15062147,95.28,96
15061358,95.076,96
15061550,94.909,96
15061271,95.208,96
15060214,94.807,95
15062074,95.038,94
15061507,94.911,94
15061383,94.983,96
15062149,95.285,96
15060042,94.843,94
15061647,95.08,94
15061477,94.862,96
15061586,94.805,95
15062347,95.158,94
15061958,95.042,94
15062346,94.894,96
15061639,94.938,96
15061757,95.054,95
15061299,95.207,96
15061653,95.026,96
15061761,94.992,94
15062146,95.114,96
15061655,94.942,94
15061329,94.862,94
15061535,95.279,96
15061578,94.863,94
15061730,94.905,96
15061627,95.146,96
15061500,94.506,94
15061717,95.2,94
15062122,95.083,95
15061435,95.052,96
15061706,94.967,96
15061624,94.909,94
15060121,95.154,95
15061423,94.802,94
15061488,94.94,94
15061916,94.974,94
15061487,95.005,96
15061281,94.637,96
15061937,95.035,94
15061493,95.279,95
15061296,94.881,95
15061649,94.946,96
15061307,94.951,94
15062133,95.284,96
15062350,95.03,96
15061338,94.894,96
15060027,94.937,95
15061011,95.079,95
15061795,95.118,96
15062358,94.943,94
15061216,95.05,96
15061300,94.942,94
15061462,95.172,96
15061516,95.261,95
15061394,94.998,96
15061453,94.94,94
15062123,94.94,94
15060110,94.893,95
15061964,94.997,94
15061542,94.942,95
15060570,95.078,96
15061785,95.312,96
15061766,94.935,95
15060021,95.117,95
15061364,94.979,95
15060050,94.812,95
15061637,95.077,96
15062369,95.286,96
15061345,95.015,94
15061966,95.01,96
15061737,94.906,96
15060112,94.983,95
15061751,94.809,94
15061567,95.041,94
