,BA,BB,BC,BL,BRR,GBLUP,EGBLUP,RKHS,LASSO,RR,SVM,RF
15060025,31.88,31.641,32.137,31.716,32.148,31.494,32.20984,31.997,31.674,31.479,34.982,33.939
15060039,33.634,33.385,33.926,33.241,34.166,33.317,34.21915,33.569,33.044,33.254,35.402,35.556
15060056,31.635,30.338,31.727,31.49,31.779,31.036,31.84794,31.251,30.129,31.127,32.403,32.048
15060063,32.101,31.809,32.365,31.682,32.688,31.535,32.69468,31.942,32.078,31.409,36.402,35.126
15060070,28.099,28.47,27.862,28.564,27.63,28.781,27.76364,28.059,28.681,28.886,27.09,30.199
15060072,30.977,31.207,30.549,31.091,30.471,30.674,29.65613,30.889,31.509,30.966,22.601,26.69
15060081,32.168,32.114,32.415,31.943,32.529,31.747,32.19697,31.92,32.463,31.755,32.399,32.175
15060082,30.582,30.613,30.595,30.566,30.729,30.506,30.89265,30.787,30.355,30.494,35.397,33.914
15060085,28.693,28.399,28.245,29.411,27.719,29.734,27.51764,28.896,27.131,29.721,22.599,23.569
15060087,28.112,28.473,27.88,28.572,27.654,28.781,27.77566,28.038,28.681,28.883,27.402,28.588
15060090,32.435,32.224,32.532,32.346,32.57,32.365,32.66712,32.646,31.828,32.338,35.238,34.49
15060097,34.047,33.874,34.201,33.617,34.398,33.907,35.67534,33.112,33.771,33.833,38.399,35.613
15060101,30.437,30.524,30.493,30.47,30.458,30.373,30.50089,30.602,30.612,30.353,32.399,32.846
15060102,29.899,30.19,29.793,30.176,29.713,30.21,29.86364,30.07,30.239,30.131,28.885,36.54
15060114,32.707,32.639,32.817,32.49,32.895,32.579,33.11856,32.829,32.294,32.615,35.399,35.827
15060120,31.044,31.739,31.092,30.962,31.204,31.142,31.18444,30.957,32.747,30.929,29.68,29.984
15060122,32.491,32.288,32.586,32.379,32.665,32.428,32.73686,32.728,31.905,32.365,38.96,38.709
15060138,31.322,31.308,31.561,31.11,31.83,30.994,31.73146,31.268,31.191,30.911,35.4,34.407
15060160,32.757,32.347,32.527,32.558,32.606,32.76,31.79057,32.062,31.169,32.638,28.602,28.635
15060188,28.778,29.1,28.543,29.118,28.405,29.316,28.87117,29.102,29.214,29.322,35.401,32.71
15060190,31.5,31.343,31.667,31.285,31.743,31.14,31.80888,31.555,30.899,31.114,35.403,34.525
15060191,29.184,29.498,28.753,29.59,28.294,29.701,28.1144,28.91,29.303,29.682,22.602,24.111
15060215,32.751,32.67,32.878,32.51,32.95,32.648,33.1737,32.875,32.294,32.648,35.771,35.625
15060313,32.255,32.052,32.355,32.009,32.432,32.63,32.79329,32.584,31.819,32.308,35.401,34.112
15060320,29.971,29.647,29.892,30.206,29.714,30.414,29.82096,30.016,29.569,30.29,32.399,31.508
15060345,31.56,31.472,31.684,31.392,31.775,31.261,31.76297,31.553,31.578,31.236,33.675,34.043
15060383,32.228,32.007,32.318,31.998,32.39,32.622,32.83238,32.565,31.819,32.283,33.6,33.274
15060420,31.526,31.438,31.643,31.367,31.739,31.223,31.74308,31.541,31.578,31.22,34.174,36.078
15060536,31.986,32.527,32.038,31.855,32.134,32.084,32.07261,31.828,32.44,31.881,35.4,33.11
15060543,32.594,32.432,32.949,32.197,33.207,31.753,33.19744,32.423,32.23,31.916,35.4,34.933
15060797,29.958,30.691,29.559,30.257,29.319,30.082,29.20004,30.027,31.113,30.198,26.599,27.934
15060846,32.483,32.061,32.555,32.364,32.626,32.373,32.74591,32.697,31.517,32.349,36.408,35.382
15060907,32.046,32.755,32.127,31.891,32.201,32.169,31.98893,31.786,32.861,31.919,28.599,30.499
15060909,33.056,33.366,33.22,32.869,33.298,33.012,33.90944,33.413,33.76,32.946,33.599,34.611
15060910,33.252,33.154,33.446,32.916,33.635,32.941,32.94648,32.631,32.885,32.913,35.191,33.701
15060933,32.586,32.44,32.938,32.189,33.198,31.757,33.21019,32.439,32.23,31.923,33.6,34.019
15060964,32.24,32.408,32.823,31.954,33.117,31.882,33.24224,32.344,32.774,31.718,37.237,36.371
15061007,32.213,32.428,32.804,31.944,33.096,31.835,33.23464,32.371,32.774,31.726,37.399,36.558
15061122,32.46,32.238,32.555,32.372,32.625,32.408,32.6998,32.652,31.905,32.355,35.401,34.804
15061204,32.554,32.242,32.764,32.128,32.945,31.712,32.86664,31.998,32.708,32.033,32.4,32.013
15061213,33.61,33.403,33.855,33.216,34.097,33.305,34.2209,33.584,33.044,33.25,33.6,33.215
15061215,33.627,33.495,33.868,33.241,34.13,33.344,34.19775,33.558,33.248,33.255,32.665,30.449
15061225,32.698,32.624,32.756,32.472,32.841,32.619,33.14284,32.847,32.277,32.624,37.398,36.43
15061226,32.794,32.701,33.106,32.381,33.616,32.24,33.59293,32.449,31.807,32.133,36.4,35.095
15061228,31.554,31.458,31.696,31.373,31.852,31.395,32.11277,31.978,31.644,31.435,35.4,33.834
15061237,32.592,32.467,32.94,32.202,33.201,31.813,33.21317,32.416,32.301,31.932,35.402,34.957
15061256,29.166,29.214,28.868,29.797,28.254,29.9,28.22812,29.058,29.366,29.981,32.32,26.038
15061257,31.897,31.875,32.076,31.68,32.322,31.908,32.35551,31.941,31.977,31.639,32.478,32.929
15061258,30.365,30.943,30.303,30.475,30.219,30.742,30.17006,30.321,31.447,30.585,27.352,26.099
15061259,28.088,28.463,27.856,28.549,27.613,28.771,27.76086,28.035,28.681,28.873,25.545,28.4
15061260,31.848,31.642,32.096,31.69,32.109,31.458,32.1543,31.963,31.674,31.467,33.442,32.712
15061261,31.862,31.644,32.114,31.692,32.144,31.457,32.18928,32.032,31.674,31.48,34.522,33.243
15061262,30.435,30.537,30.489,30.459,30.448,30.369,30.49261,30.599,30.612,30.351,31.199,27.967
15061263,30.648,30.919,30.845,30.693,30.919,30.716,30.91856,30.957,31.289,30.639,33.4,31.801
15061264,31.052,31.097,31.11,31.003,31.114,30.882,31.0655,31.142,30.847,30.817,33.27,32.517
15061265,30.685,30.642,30.646,30.766,30.637,30.855,30.41974,30.604,30.678,30.685,32.401,29.99
15061270,30.571,30.934,30.459,30.63,30.424,30.652,30.30791,30.396,31.163,30.629,28.464,26.766
15061273,30.65,30.617,30.605,30.736,30.592,30.838,30.39621,30.587,30.678,30.67,31.164,27.071
15061274,31.966,31.501,32.442,31.765,32.627,31.376,32.25685,31.775,32.117,31.345,30.6,31.71
15061277,31.342,31.475,31.36,31.46,31.36,31.491,31.38162,31.501,31.469,31.313,35.398,33.265
15061279,31.359,31.084,31.528,31.234,31.534,30.948,31.35198,31.421,31.328,31.088,31.094,34.998
15061283,31.048,30.981,31.162,31.003,31.139,30.996,31.06401,30.975,31.146,30.903,31.986,27.475
15061286,31.744,31.33,32.06,31.402,32.229,30.749,32.47425,31.795,31.253,31.118,35.399,35.057
15061288,33.651,33.414,33.914,33.236,34.206,33.34,34.29845,33.571,33.044,33.236,34.6,34.557
15061289,33.538,33.211,33.767,33.159,34.019,33.273,34.14724,33.54,32.827,33.2,33.089,32.659
15061290,31.408,31.001,31.138,31.589,30.861,31.451,30.33839,31.145,30.636,31.558,28.602,29.161
15061291,30.616,30.437,30.604,30.548,30.641,30.548,30.57757,30.537,30.341,30.499,29.516,29.999
15061293,30.675,30.529,30.814,30.72,30.736,30.381,30.50504,30.653,31.296,30.729,28.601,29.064
15061295,29.947,29.971,29.958,30.073,29.858,29.717,30.13184,30.267,29.789,30.148,32.399,31.366
15061297,29.154,29.214,28.848,29.795,28.223,29.887,28.17912,29.046,29.366,29.979,31.593,20.511
15061298,30.804,30.846,30.767,30.716,30.744,29.986,30.66905,30.539,30.607,30.53,32.292,32.752
15061301,30.786,30.851,30.745,30.717,30.709,30.012,30.57732,30.494,30.607,30.525,28.708,26.99
15061302,30.276,30.517,30.105,30.289,29.984,30.459,29.93781,30.188,30.915,30.407,30.725,31.519
15061303,33.013,33.127,33.13,32.828,33.243,32.985,33.88844,33.414,33.338,32.917,35.399,35.624
15061305,30.109,29.766,30.108,30.187,30.145,30.147,30.41511,30.488,29.319,30.306,32.4,31.616
15061308,29.806,29.893,29.733,29.908,29.69,29.84,29.7308,29.886,30.191,29.947,29.76,31.05
15061312,30.738,30.533,30.756,30.642,30.813,30.593,30.68975,30.59,30.341,30.553,29.374,29.692
15061313,29.217,29.532,28.792,29.622,28.34,29.745,28.10722,28.917,29.303,29.711,22.603,24.579
15061314,32.644,32.277,33.192,32.201,33.574,31.687,33.27135,32.62,32.303,31.693,42.398,39.816
15061317,30.452,30.536,30.518,30.487,30.474,30.39,30.5636,30.628,30.612,30.369,30.796,30.374
15061318,30.297,30.651,30.138,30.406,29.932,30.526,30.25081,30.418,30.837,30.524,26.603,27.755
15061319,31.834,31.641,32.063,31.679,32.069,31.48,32.15767,31.96,31.674,31.467,32.376,27.011
15061320,31.275,31.337,30.722,31.4,30.619,31.351,29.68617,30.987,30.607,31.359,29.397,29.356
15061323,32.615,32.622,32.698,32.407,32.736,32.553,32.82319,32.69,32.294,32.562,28.887,26.901
15061324,31.92,31.695,31.731,31.823,31.678,31.871,31.12687,31.618,30.287,31.978,30.601,30.58
15061327,31.876,31.709,32.11,31.718,32.193,31.505,32.21,32.024,31.751,31.485,35.401,33.136
15061330,31.907,31.651,31.788,31.68,31.92,31.889,32.24618,31.939,31.195,32.032,32.403,32.028
15061331,30.712,31.248,30.665,30.721,30.671,30.744,30.58001,30.593,30.784,30.625,28.601,29.447
15061333,31.27,31.17,31.493,31.091,31.765,31.454,31.98455,31.545,30.576,30.961,41.399,38.432
15061334,30.554,30.494,30.456,30.646,30.385,30.369,30.13533,30.33,31.005,30.597,22.601,25.677
15061335,30.164,30.184,30.106,30.281,29.971,30.46,30.0555,30.274,29.424,30.387,29.399,29.066
15061336,29.476,29.45,29.152,29.781,28.904,30.177,29.14098,29.591,29.761,30.064,22.6,25.755
15061340,28.084,28.443,27.831,28.546,27.593,28.724,27.73475,28.044,28.681,28.862,27.368,26.581
15061342,31.045,30.998,31.157,31.012,31.127,30.999,31.05303,30.992,31.146,30.906,33.158,33.74
15061346,31.529,31.471,31.641,31.359,31.721,31.271,31.73113,31.53,31.578,31.226,32.551,31.704
15061347,28.94,28.924,28.803,29.355,28.59,29.089,28.73858,29.123,28.699,29.393,29.045,32.031
15061348,31.015,30.972,31.133,30.98,31.113,30.998,31.03126,30.965,31.146,30.893,31.865,30.679
15061349,30.933,31.093,31.054,30.859,31.164,30.958,31.35342,31.055,31.382,30.772,35.4,34.494
15061350,30.699,30.486,30.709,30.62,30.764,30.592,30.6975,30.598,30.341,30.539,30.706,34.563
15061352,29.78,29.885,29.705,29.884,29.656,29.83,29.72467,29.875,30.191,29.93,28.488,24.903
15061353,31.045,30.991,31.167,31.012,31.142,30.999,31.07121,30.987,31.146,30.904,33.401,34.325
15061355,31.014,30.98,31.119,30.997,31.088,30.977,31.03722,30.978,31.146,30.892,33.601,33.175
15061356,32.514,32.291,32.602,32.39,32.667,32.443,32.68755,32.673,31.905,32.377,36.307,35.41
15061357,31.371,31.1,31.603,31.18,31.684,30.832,31.50155,31.399,30.779,31.027,35.229,34.367
15061360,31.026,30.956,31.151,31.012,31.121,30.977,31.06274,30.984,31.146,30.898,33.886,34.739
15061365,33.653,33.408,33.906,33.248,34.18,33.288,34.25864,33.589,33.044,33.264,35.4,35.541
15061367,33.633,33.408,33.875,33.233,34.141,33.302,34.31581,33.589,33.044,33.262,35.671,35.688
15061368,30.969,30.511,31.074,30.851,31.181,30.48,31.2185,31.016,30.306,30.784,31.799,30.702
15061369,31.032,30.518,31.175,30.917,31.295,30.497,31.30738,31.075,30.306,30.812,32.4,32.127
15061370,31.554,31.483,31.67,31.385,31.772,31.259,31.76784,31.547,31.578,31.238,32.477,32.292
15061376,31.525,31.463,31.64,31.36,31.722,31.241,31.72458,31.526,31.578,31.22,33.313,31.532
15061377,31.864,31.654,32.108,31.692,32.132,31.439,32.17302,31.969,31.674,31.466,33.098,27.347
15061378,30.171,30.176,30.128,30.28,30.001,30.427,30.05626,30.291,29.424,30.385,28.599,28.741
15061380,28.984,28.95,28.847,29.368,28.616,29.134,28.76507,29.103,28.699,29.413,27.402,27.754
15061382,32.716,32.632,32.835,32.484,32.901,32.628,32.98062,32.758,32.294,32.626,30.599,31.511
15061384,28.105,28.458,27.88,28.564,27.645,28.777,27.77764,28.05,28.681,28.881,27.6,30.49
15061385,28.088,28.454,27.862,28.556,27.614,28.771,27.76297,28.03,28.681,28.874,27.058,27.573
15061386,30.963,30.512,31.044,30.844,31.151,30.48,31.22187,31.019,30.306,30.781,32.581,31.902
15061388,31.566,31.303,31.885,31.268,32.26,30.968,32.14097,31.759,30.818,31.015,42.401,37.629
15061389,29.784,29.883,29.707,29.888,29.651,29.866,29.68227,29.864,30.191,29.94,28.075,26.527
15061390,29.813,29.888,29.728,29.906,29.699,29.862,29.76114,29.942,30.191,29.961,32.398,31.622
15061391,29.797,29.891,29.723,29.898,29.683,29.86,29.72618,29.884,30.191,29.944,29.159,26.457
15061392,31.146,30.088,31.039,31.158,30.842,31.012,29.91028,30.325,30.316,30.906,22.6,25.376
15061404,29.766,29.866,29.685,29.87,29.637,29.832,29.69418,29.857,30.191,29.928,29.838,29.77
15061405,32.715,32.656,32.87,32.503,32.95,32.619,33.04169,32.781,32.294,32.625,31.369,31.633
15061406,31.024,30.975,31.133,30.989,31.109,30.978,31.05067,30.983,31.146,30.892,33.822,32.167
15061410,31.522,31.465,31.352,31.617,31.292,31.762,30.88396,31.262,31.273,31.622,33.398,31.87
15061411,30.299,30.263,30.244,30.379,30.189,30.461,30.22921,30.468,30.707,30.445,30.597,33.402
15061414,29.8,29.888,29.721,29.896,29.678,29.84,29.72595,29.887,30.191,29.942,30.282,32.966
15061415,29.258,29.516,29.028,29.624,28.855,29.582,28.85163,29.391,29.298,29.591,29.403,29.429
15061417,29.767,29.874,29.682,29.875,29.624,29.842,29.685,29.846,30.191,29.929,28.398,26.184
15061418,29.793,29.893,29.711,29.891,29.669,29.857,29.72614,29.922,30.191,29.955,31.524,31.486
15061419,28.093,28.454,27.863,28.556,27.617,28.777,27.75194,28.045,28.681,28.877,27.395,30.062
15061420,31.275,31.337,30.722,31.4,30.619,31.351,29.68713,30.987,30.607,31.359,29.397,29.356
15061421,31.844,31.646,32.104,31.682,32.129,31.467,32.21666,32.048,31.674,31.464,37.4,37.9
15061422,32.232,31.756,32.571,31.957,32.759,31.418,32.33846,32.094,31.572,31.664,32.399,32.753
15061424,30.37,30.941,30.308,30.467,30.21,30.736,30.19881,30.354,31.447,30.575,29.621,30.223
15061425,31.556,31.491,31.673,31.381,31.756,31.274,31.77307,31.581,31.578,31.25,36.272,38.768
15061428,31.525,31.418,31.66,31.373,31.73,31.249,31.72086,31.525,31.578,31.221,32.212,26.214
15061430,31.561,31.465,31.7,31.393,31.785,31.25,31.75372,31.554,31.578,31.231,33.293,30.395
15061434,29.246,29.481,28.961,29.606,28.837,29.544,28.77636,29.362,29.298,29.584,26.277,25.104
15061436,31.732,32.011,31.824,31.608,32.002,32.017,31.84751,31.854,32.463,31.819,33.598,32.996
15061437,31.279,31.372,31.628,31.028,31.885,31.099,32.2154,31.647,31.507,31.004,36.712,37.771
15061438,29.804,29.891,29.731,29.902,29.691,29.849,29.72198,29.897,30.191,29.946,29.644,28.631
15061439,31.258,31.356,31.583,31.006,31.836,31.076,32.1735,31.596,31.507,30.972,33.808,32.468
15061441,28.677,29.091,28.361,29.115,28.171,29.338,28.16631,28.643,29.476,29.333,26.601,27.26
15061442,30.328,30.258,30.328,30.42,30.272,30.494,30.30009,30.506,30.707,30.473,30.664,33.918
15061443,31.696,31.796,31.759,31.566,31.93,31.95,31.82324,31.829,32.041,31.788,34.811,34.118
15061444,30.328,30.037,30.287,30.563,30.116,30.609,29.94868,30.228,30.22,30.55,26.601,27.717
15061445,28.675,29.091,28.371,29.115,28.177,29.356,28.18924,28.669,29.476,29.34,26.879,26.886
15061447,31.845,31.362,32.082,31.585,32.37,31.528,32.16694,31.966,31.051,31.448,37.402,36.272
15061449,30.985,30.653,31.145,30.91,31.195,30.879,31.27639,31.292,30.365,30.959,33.767,33.733
15061454,31.034,30.705,31.196,30.934,31.236,30.906,31.2713,31.334,30.365,31.017,32.403,31.663
15061458,31.523,31.467,31.638,31.357,31.721,31.249,31.75025,31.523,31.578,31.219,33.318,33.101
15061459,29.795,29.888,29.713,29.896,29.667,29.851,29.71291,29.888,30.191,29.943,30.117,31.529
15061461,31.56,31.471,31.686,31.391,31.772,31.241,31.75414,31.54,31.578,31.234,32.972,30.982
15061463,31.89,31.329,32.131,31.691,32.181,31.36,31.87974,31.861,31.114,31.512,26.601,28.257
15061469,31.757,31.859,32.09,31.642,32.191,31.964,32.099,32.007,32.727,31.831,34.245,34.442
15061470,32.509,32.28,32.6,32.4,32.672,32.41,32.70118,32.631,31.905,32.355,33.152,34.05
15061471,32.533,32.285,32.633,32.409,32.703,32.4,32.79088,32.7,31.905,32.374,38.298,36.965
15061475,31.857,31.651,32.114,31.674,32.135,31.457,32.23184,32.04,31.674,31.466,36.423,44.138
15061476,31.493,31.281,31.599,31.328,31.755,31.165,31.40235,31.299,31.192,31.144,32.604,33.11
15061478,28.108,28.456,27.886,28.569,27.638,28.777,27.76039,28.053,28.681,28.884,26.075,29.609
15061479,32.174,31.64,32.47,31.902,32.649,31.516,32.39785,32.115,31.074,31.62,33.11,32.751
15061480,28.688,29.104,28.377,29.123,28.19,29.358,28.17524,28.657,29.476,29.341,26.758,29.368
15061481,29.179,29.516,28.747,29.596,28.287,29.713,28.1319,28.899,29.303,29.682,22.602,24.481
15061484,30.535,30.925,30.421,30.61,30.388,30.652,30.29254,30.403,31.163,30.622,29.62,31.383
15061485,31.683,31.762,31.734,31.554,31.895,31.931,31.78153,31.76,32.041,31.739,28.825,30.475
15061486,29.812,29.953,29.516,30.079,29.081,30.442,28.92916,29.554,30.113,30.233,25.4,25.55
15061489,29.781,29.879,29.691,29.878,29.627,29.834,29.72333,29.884,30.191,29.928,29.28,29.887
15061490,29.777,29.883,29.689,29.885,29.633,29.842,29.68676,29.854,30.191,29.932,28.505,25.885
15061491,29.809,29.895,29.739,29.91,29.699,29.847,29.74995,29.893,30.191,29.952,29.613,29.956
15061492,29.784,29.887,29.698,29.891,29.643,29.85,29.70266,29.862,30.191,29.938,28.598,27.198
15061494,29.05,29.05,28.703,29.496,28.44,29.523,28.36866,28.866,28.87,29.584,22.599,24.184
15061495,28.926,28.908,28.773,29.324,28.54,29.046,28.6799,29.065,28.699,29.369,26.6,27.91
15061498,29.778,29.81,29.697,29.863,29.683,29.828,29.85569,29.898,30.003,29.928,35.398,34.659
15061499,29.215,29.517,28.797,29.62,28.346,29.716,28.13902,28.921,29.303,29.692,23.072,30.384
15061501,30.873,30.974,30.92,30.851,30.972,31.005,30.99396,30.975,31.205,30.799,28.931,29.91
15061503,32.201,31.681,32.545,31.932,32.728,31.363,32.33739,32.12,31.076,31.645,35.398,33.975
15061504,32.729,32.649,32.86,32.505,32.939,32.634,33.14124,32.865,32.294,32.643,37.399,35.853
15061505,31.662,31.305,31.941,31.336,32.08,30.673,32.38658,31.739,31.253,31.057,33.789,34.236
15061508,30.338,30.273,30.304,30.416,30.248,30.518,30.25332,30.493,30.707,30.479,28.922,29.281
15061509,29.876,30.153,29.771,30.165,29.68,30.127,29.79978,30.03,30.017,30.111,27.337,26.167
15061511,29.833,30.145,29.697,30.12,29.601,30.115,29.76369,29.994,30.017,30.091,26.964,27.47
15061514,31.873,31.659,32.132,31.701,32.167,31.454,32.2152,32.02,31.674,31.481,34.931,33.921
15061515,30.447,30.539,30.508,30.471,30.477,30.371,30.54749,30.593,30.612,30.347,32.166,33.011
15061517,31.061,30.981,31.176,31.024,31.174,30.994,31.06374,31.008,31.146,30.913,32.462,33.307
15061518,31.941,31.456,32.189,31.732,32.334,31.415,32.07134,31.944,31.057,31.533,23.298,27.086
15061520,30.51,30.618,30.287,30.603,30.203,31.123,29.90556,30.586,30.942,30.801,32.398,30.726
15061522,30.452,30.138,30.218,30.595,30.077,31.037,29.82552,30.468,30.105,30.76,22.598,25.366
15061523,28.077,28.452,27.815,28.544,27.591,28.789,27.67798,27.999,28.681,28.876,23.602,23.909
15061524,29.008,29.048,28.651,29.474,28.36,29.522,28.33753,28.852,28.87,29.573,22.789,24.203
15061525,30.351,30.281,30.323,30.426,30.289,30.497,30.27623,30.513,30.707,30.483,30.689,33.89
15061526,30.436,30.969,30.364,30.501,30.289,30.654,30.31394,30.311,31.447,30.547,28.6,28.593
15061528,28.91,28.883,28.704,29.317,28.417,28.987,28.53576,29.075,28.622,29.353,22.601,25.009
15061530,30.335,30.257,30.318,30.415,30.257,30.501,30.27836,30.492,30.707,30.473,29.136,30.214
15061533,30.206,29.797,30.117,30.309,30.019,30.383,30.02271,30.346,29.991,30.394,23.599,25.061
15061536,30.198,29.72,30.129,30.336,30.023,30.443,29.97656,30.323,29.991,30.394,22.6,24.605
15061537,30.456,30.541,30.526,30.484,30.51,30.382,30.54479,30.619,30.612,30.369,35.004,32.805
15061538,28.073,28.455,27.842,28.538,27.602,28.771,27.74932,28.024,28.681,28.868,25.032,24.911
15061539,28.139,28.472,27.919,28.59,27.693,28.781,27.81017,28.051,28.681,28.891,27.083,27.594
15061540,29.164,29.494,28.726,29.576,28.247,29.686,28.04514,28.896,29.303,29.667,22.602,25.434
15061543,33.506,33.438,33.702,33.12,33.894,33.26,34.14939,33.437,33.248,33.171,35.399,34.273
15061544,27.921,28.33,27.586,28.359,27.278,28.774,27.46346,27.998,28.681,28.781,22.6,23.256
15061546,27.992,28.341,27.724,28.434,27.413,28.753,27.53392,27.969,28.681,28.792,22.602,23.416
15061548,31.061,31.062,31.106,31.014,31.009,30.866,31.1461,31.147,31.047,30.885,32.402,32.924
