,PREDICTED,ACTUAL
15060025,31.65,36
15060039,33.23,36
15060056,31.459,33
15060063,31.589,37
15060070,28.667,33
15060072,31.107,22
15060081,31.822,33
15060082,30.58,36
15060085,29.456,22
15060087,28.676,28
15060090,32.333,37
15060097,33.59,39
15060101,30.493,33
15060102,30.208,43
15060114,32.465,36
15060120,30.993,28
15060122,32.369,43
15060138,31.08,36
15060160,32.551,28
15060188,29.183,36
15060190,31.319,36
15060191,29.69,22
15060215,32.492,36
15060313,32.116,36
15060320,30.159,33
15060345,31.367,36
15060383,32.093,33
15060420,31.346,39
15060536,31.809,36
15060543,32.024,36
15060797,30.316,26
15060846,32.347,36
15060907,31.883,28
15060909,32.774,33
15060910,32.861,36
15060933,32.026,33
15060964,31.907,37
15061007,31.891,38
15061122,32.351,36
15061204,32.17,33
15061213,33.217,33
15061215,33.235,26
15061225,32.434,38
15061226,32.261,37
15061228,31.409,36
15061237,32.027,36
15061256,29.876,33
15061257,31.588,33
15061258,30.503,23
15061259,28.651,33
15061260,31.627,34
15061261,31.636,33
15061262,30.486,23
15061263,30.687,34
15061264,30.955,33
15061265,30.835,33
15061270,30.664,26
15061273,30.806,23
15061274,31.751,30
15061277,31.333,36
15061279,31.241,33
15061283,31.031,22
15061286,31.301,36
15061288,33.229,34
15061289,33.168,30
15061290,31.494,28
15061291,30.555,30
15061293,30.775,28
15061295,30.165,33
15061297,29.866,11
15061298,30.719,37
15061301,30.703,22
15061302,30.335,36
15061303,32.728,36
15061305,30.221,33
15061308,29.914,34
15061312,30.634,26
15061313,29.717,22
15061314,32.07,43
15061317,30.496,28
15061318,30.449,26
15061319,31.617,23
15061320,31.346,28
15061323,32.409,22
15061324,31.777,30
15061327,31.658,36
15061330,31.65,33
15061331,30.712,28
15061333,31.013,42
15061334,30.522,22
15061335,30.343,30
15061336,29.855,22
15061340,28.645,28
15061342,31.032,33
15061346,31.34,33
15061347,29.439,36
15061348,31.011,28
15061349,30.835,36
15061350,30.607,39
15061352,29.898,22
15061353,31.036,34
15061355,31.017,33
15061356,32.369,36
15061357,31.239,38
15061360,31.031,36
15061365,33.25,36
15061367,33.235,36
15061368,30.931,28
15061369,30.985,33
15061370,31.368,33
15061376,31.337,28
15061377,31.64,22
15061378,30.344,28
15061380,29.46,28
15061382,32.468,30
15061384,28.671,33
15061385,28.661,23
15061386,30.921,34
15061388,31.226,43
15061389,29.903,23
15061390,29.902,33
15061391,29.905,22
15061392,31.269,22
15061404,29.89,30
15061405,32.485,30
15061406,31.017,36
15061410,31.587,34
15061411,30.395,37
15061414,29.899,36
15061415,29.675,30
15061417,29.897,26
15061418,29.896,36
15061419,28.662,33
15061420,31.346,30
15061421,31.612,38
15061422,31.977,33
15061424,30.497,30
15061425,31.35,43
15061428,31.352,22
15061430,31.363,28
15061434,29.654,22
15061436,31.571,33
15061437,31.034,42
15061438,29.905,26
15061439,31.007,28
15061441,29.272,26
15061442,30.428,36
15061443,31.53,36
15061444,30.605,26
15061445,29.271,28
15061447,31.607,38
15061449,30.957,36
15061454,30.978,33
15061458,31.337,34
15061459,29.902,34
15061461,31.367,30
15061463,31.717,26
15061469,31.719,36
15061470,32.375,33
15061471,32.384,39
15061475,31.617,55
15061476,31.313,36
15061478,28.672,33
15061479,31.918,33
15061480,29.282,33
15061481,29.697,22
15061484,30.649,36
15061485,31.527,28
15061486,30.204,26
15061489,29.893,28
15061490,29.901,22
15061491,29.918,28
15061492,29.9,28
15061494,29.642,22
15061495,29.415,26
15061498,29.877,36
15061499,29.721,38
15061501,30.828,28
15061503,31.977,36
15061504,32.482,38
15061505,31.231,33
15061508,30.431,28
15061509,30.195,22
15061511,30.162,22
15061514,31.643,36
15061515,30.493,36
15061517,31.044,33
15061518,31.758,22
15061520,30.827,33
15061522,30.806,22
15061523,28.641,23
15061524,29.626,22
15061525,30.439,36
15061526,30.515,28
15061528,29.407,22
15061530,30.431,28
15061533,30.334,23
15061536,30.344,22
15061537,30.503,36
15061538,28.641,22
15061539,28.694,28
15061540,29.698,22
15061543,33.133,36
15061544,28.453,22
15061546,28.558,22
15061548,30.975,33
15061549,31.251,55
15061551,31.495,28
15061553,32.239,39
15061555,31.55,37
15061556,31.55,33
15061557,31.615,34
15061560,32.229,28
15061561,30.001,28
15061564,31.92,33
15061565,32.073,33
15061568,30.679,30
15061571,31.209,30
15061576,32.372,23
15061579,29.233,22
15061580,31.03,28
15061583,32.463,36
15061584,31.625,30
15061585,32.36,36
15061588,31.574,36
15061600,31.413,43
15061601,31.05,28
15061602,31.358,33
15061603,28.663,22
15061604,31.126,36
15061605,31.48,22
15061608,32.358,37
15061609,28.659,23
15061612,30.616,33
15061613,32.473,33
15061619,29.905,36
15061621,30.808,30
15061622,31.281,33
15061623,31.642,28
15061626,29.963,22
15061628,30.171,36
15061629,31.009,33
15061630,29.515,22
15061631,29.49,22
15061632,32.459,33
15061638,31.635,39
15061640,32.007,28
15061641,31.665,38
15061642,31.619,22
15061645,31.99,36
15061646,30.498,36
15061648,32.058,28
15061650,31.99,33
15061651,30.438,28
15061654,32.46,33
15061656,31.274,33
15061658,32.452,36
15061661,32.474,37
15061662,30.936,30
15061666,30.221,22
15061667,30.666,22
15061668,31.54,26
15061669,30.189,34
15061670,31.628,36
15061671,32.069,43
15061676,31.044,36
15061677,29.914,36
15061678,29.916,28
15061679,29.719,22
15061680,31.64,22
