probIn scale
0.01753661 8.380083
0.007373612 7.383526
0.007591016 6.7847
0.01178392 6.539208
0.006714496 6.143819
0.00488698 6.58602
0.002107311 7.295398
0.006844202 7.789593
0.007515613 7.428493
0.003373503 7.259359
0.01287281 7.363182
0.0111451 7.73893
0.01288652 7.672604
0.01486239 6.583109
0.01108963 6.189068
0.01013847 5.81426
0.006081327 6.137578
0.003077398 6.349482
0.01163339 6.50424
0.01806741 6.01325
0.007492548 5.905813
0.009917765 5.723189
0.01925385 6.041145
0.01156894 6.41612
0.02887382 6.607024
0.01367998 6.158815
0.01191781 5.912365
0.009933089 5.739904
0.005867816 5.3714
0.009047433 5.34899
0.007722894 5.546537
0.01306717 5.62854
0.008627942 5.376132
0.005888714 5.036722
0.001257103 4.551094
0.002618461 4.858193
0.0141788 5.186251
0.009728475 5.050981
0.005640128 4.647973
0.01547107 4.206309
0.02201313 4.178095
0.03609971 3.995657
0.02094245 3.830125
0.04458986 3.53263
0.01402333 3.414331
0.01756195 3.134766
0.01568973 3.137894
0.008191121 2.867771
0.0151251 2.675874
0.02177591 2.40288
0.0344658 2.438492
0.0259562 2.357992
0.03015914 2.100047
0.03957832 2.256839
0.03946009 2.090159
0.03444387 1.879416
0.03451385 2.031588
0.03896935 2.03691
0.03579507 1.810768
0.0289045 1.955051
0.03545256 1.982841
0.05449674 2.11544
0.05549413 1.955552
0.03815846 1.655342
0.04251908 1.767732
0.03344171 2.057879
0.02938621 2.039178
0.05174119 1.99605
0.02626094 2.011111
0.03605529 2.114058
0.02855952 2.094834
0.02507977 2.088958
0.03346837 2.052091
0.01980638 2.111762
0.03266253 2.2034
0.02236745 2.167694
0.01738062 2.21862
0.02630336 2.154025
0.0154448 2.522381
0.02021073 2.375185
0.02244265 2.380793
0.01812419 2.608723
0.02444018 2.427657
0.01482059 2.324688
0.02934025 2.401233
0.02785997 2.24756
0.02701018 2.119923
0.0231479 2.292942
0.04235866 1.983257
0.02398643 2.061814
0.02565783 1.997544
0.01932545 1.957106
0.0416093 2.002267
0.02827399 1.917125
0.02241775 1.927744
0.032317 2.03504
0.02316396 2.027807
0.02448901 1.797333
