Models,Predictive_ability
BA,0.148
BA,0.134
BA,0.105
BA,0.149
BB,0.142
BB,0.083
BB,0.185
BB,0.124
BC,0.063
BC,0.075
BC,0.151
BC,0.091
BL,0.058
BL,0.042
BL,0.106
BL,0.102
BRR,0.109
BRR,0.153
BRR,0.148
BRR,0.144
GBLUP,0.091
GBLUP,NA
GBLUP,0.143
GBLUP,0.115
EGBLUP,0.147
EGBLUP,0.157
EGBLUP,0.156
EGBLUP,0.136
RKHS,0.152
RKHS,0.178
RKHS,0.168
RKHS,0.161
Lasso,NA
Lasso,0.017
Lasso,0.053
Lasso,NA
RR,0.119
RR,0.135
RR,0.182
RR,0.167
SVM,-0.009
SVM,0.037
SVM,0.072
SVM,0.097
RF,0.216
RF,0.173
RF,0.12
RF,0.092
