,PREDICTED,ACTUAL
15060025,332.932,324
15060039,338.59,331
15060056,337.481,346
15060063,339.191,344
15060070,338.23,324
15060072,334.821,331
15060081,333.304,324
15060082,338.259,328
15060085,336.226,318
15060087,338.254,345
15060090,337.42,344
15060097,338.81,344
15060101,334.257,316
15060102,338.074,331
15060114,335.425,344
15060120,339.194,344
15060122,337.419,344
15060138,338.567,345
15060160,335.271,322
15060188,337.715,328
15060190,336.327,344
15060191,335.321,333
15060215,335.304,322
15060313,339.662,344
15060320,338.174,344
15060345,340.245,344
15060383,339.613,344
15060420,340.263,345
15060536,339.717,346
15060543,337.735,324
15060797,336.138,331
15060846,337.277,318
15060907,339.699,345
15060909,339.366,329
15060910,339.104,345
15060933,337.804,346
15060964,336.552,324
15061007,336.561,344
15061122,337.436,346
15061204,337.931,344
15061213,338.602,346
15061215,338.559,344
15061225,335.116,322
15061226,339.213,346
15061228,336.95,333
15061237,337.843,345
15061256,332.838,324
15061257,339.056,344
15061258,337.065,333
15061259,338.192,324
15061260,333.01,344
15061261,332.899,331
15061262,334.254,344
15061263,333.647,321
15061264,335.462,345
15061265,333.966,316
15061270,339.868,344
15061273,333.978,316
15061274,337.186,344
15061277,337.14,333
15061279,336.027,321
15061283,337.515,324
15061286,337.572,316
15061288,338.439,322
15061289,338.642,346
15061290,336.1,328
15061291,339.775,345
15061293,337.885,344
15061295,336.545,324
15061297,332.871,318
15061298,339.071,344
15061301,339.099,344
15061302,336.16,316
15061303,339.464,346
15061305,338.146,344
15061308,340.14,316
15061312,339.753,344
15061313,335.317,346
15061314,337.337,346
15061317,334.303,345
15061318,338.439,344
15061319,332.979,328
15061320,335.982,344
15061323,335.449,344
15061324,334.645,324
15061327,332.991,324
15061330,334.696,324
15061331,338.6,344
15061333,335.888,316
15061334,339.219,345
15061335,337.191,342
15061336,338.846,344
15061340,338.228,344
15061342,337.528,322
15061346,340.313,324
15061347,339.798,333
15061348,337.558,346
15061349,337.391,344
