SAMPLES,GEBVs(BC),ACTUAL
15061614,30.754,32
15061337,31.683,31
15062067,34.23,41
15061752,32.424,27
15061930,33.018,27
15061566,30.931,27
15061773,32.653,30
15061575,32.719,27
15061344,32.636,30
15061282,30.716,27
15061926,30.731,27
15061906,32.788,27
15061665,34.779,29
15061397,30.914,43
15060187,33.11,37
15061534,31.645,33
15062362,31.644,31
15061521,32.643,30
15061633,33.544,30
15061659,33.11,27
15061673,33.336,27
15062356,31.666,27
15061361,31.679,41
15061729,33.918,30
15061755,32.039,43
15061496,32.389,27
15062368,33.831,37
15062339,33.874,41
15061577,34.255,37
15062136,34.845,27
15061529,32.259,31
15061396,31.552,27
15061482,32.339,31
15061814,33.428,30
15061769,34.157,41
15061610,31.653,27
15062147,32.633,30
15061358,32.68,30
15061550,33.891,37
15061271,33.773,42
15060214,32.598,27
15062074,32.624,42
15061507,31.118,27
15061383,31.675,27
15062149,32.621,37
15060042,32.634,27
15061647,32.711,27
15061477,32.55,31
15061586,33.058,42
15062347,34.538,42
15061958,33.708,50
15062346,32.65,30
15061639,33.468,27
15061757,33.148,50
15061299,30.701,42
15061653,33.783,50
15061761,31.504,27
15062146,31.668,27
15061655,33.547,37
15061329,34.248,36
15061535,32.224,29
15061578,34.24,42
15061730,33.89,31
15061627,32.712,42
15061500,32.358,41
15061717,32.671,32
15062122,33.676,27
15061435,33.177,27
15061706,33.398,30
15061624,30.976,27
15060121,34.583,30
15061423,33.472,27
15061488,33.714,27
15061916,31.646,33
15061487,33.445,27
15061281,33.405,27
15061937,32.607,31
15061493,32.394,27
15061296,32.951,37
15061649,33.995,30
15061307,33.897,27
15062133,32.426,27
15062350,32.191,37
15061338,30.935,29
15060027,33.172,27
15061011,32.704,27
15061795,31.683,27
15062358,33.7,29
15061216,33.894,43
15061300,32.254,42
15061462,33.544,50
15061516,33.403,30
15061394,31.546,27
15061453,32.288,31
15062123,32.033,30
15060110,30.927,31
15061964,31.565,27
15061542,32.053,41
15060570,33.853,32
15061785,33.165,42
15061766,32.035,30
15060021,31.667,27
15061364,31.648,36
15060050,33.043,50
15061637,32.706,27
15062369,32.611,36
15061345,33.856,43
15061966,33.417,37
15061737,33.916,42
15060112,31.664,31
15061751,33.051,27
15061567,33.722,50
