Models,Predictive_ability
BA,0.176
BA,0.227
BA,0.18
BA,0.146
BB,0.192
BB,0.229
BB,0.191
BB,0.167
BC,0.177
BC,0.186
BC,0.159
BC,0.185
BL,0.181
BL,0.177
BL,0.208
BL,0.174
BRR,0.153
BRR,0.156
BRR,0.065
BRR,0.072
GBLUP,0.127
GBLUP,0.252
GBLUP,0.193
GBLUP,0.179
EGBLUP,0.146
EGBLUP,0.193
EGBLUP,0.106
EGBLUP,0.079
RKHS,0.322
RKHS,0.197
RKHS,0.196
RKHS,0.205
Lasso,0.171
Lasso,0.186
Lasso,0.133
Lasso,NA
RR,0.18
RR,0.202
RR,0.241
RR,0.155
SVM,0.148
SVM,0.071
SVM,0.21
SVM,0.16
RF,0.116
RF,0.109
RF,0.214
RF,0.228
