probIn scale
0.03288567 44.66584
0.02621291 49.96253
0.02025773 49.98482
0.03109884 49.0936
0.01728689 50.84407
0.02567961 52.2038
0.03211135 48.89596
0.04222473 45.30581
0.02365598 40.52095
0.03495186 42.4206
0.04463305 44.46468
0.04066917 44.4304
0.04012164 44.08991
0.04224457 41.90341
0.05630919 38.28299
0.0444437 37.71794
0.05276182 34.72354
0.05219518 33.92632
0.05079928 32.59576
0.05716134 31.605
0.04143272 33.17495
0.04080954 32.69605
0.04571587 31.65057
0.03486329 32.55573
0.04363127 33.79644
0.03749953 37.64421
0.02789292 33.91231
0.02713595 36.37687
0.04145095 31.63897
0.03873743 33.03703
0.05158274 33.76473
0.05255947 30.52388
0.05045976 29.41227
0.06497154 26.74091
0.0614309 26.84406
0.07790003 30.02897
0.07613718 32.04821
0.08565249 33.74384
0.09367538 34.01431
0.08411289 33.97285
0.09159507 37.24498
0.08419171 37.04547
0.07683165 35.42582
0.08193862 36.01783
0.0514369 33.14858
0.06960809 30.38462
0.07493183 32.65732
0.05528493 30.10613
0.05566263 29.84091
0.0529098 31.47258
0.04966524 33.23834
0.05131388 31.29849
0.04980013 29.8902
0.06372445 29.4096
0.05631587 32.40817
0.04574396 35.21126
0.0337931 35.8157
0.05964222 36.38217
0.03806985 38.5609
0.05836664 35.11903
0.04996693 33.07607
0.04753578 32.61157
0.04373262 32.22331
0.04211717 35.4087
0.04318457 37.16422
0.03723504 36.36208
0.0441933 33.59849
0.04314343 32.72565
0.05245667 32.63817
0.04837977 30.73587
0.04341217 32.25927
0.0488512 33.63968
0.06695191 36.07238
0.03071831 36.05595
0.03792194 34.34065
0.0347794 34.52692
0.05117779 31.63289
0.05404877 31.8538
0.03893779 29.17906
0.04622151 32.38436
0.03389258 32.98991
0.04244932 32.81072
0.04895923 34.19898
0.05987914 34.66713
0.0707516 33.47025
0.0456037 32.41001
0.0475754 30.0633
0.06395215 25.73186
0.05947554 24.00097
0.05774296 25.03588
0.07126298 24.19284
0.06183019 25.46797
0.0635697 24.49366
0.05693662 26.6104
0.04391879 28.05306
0.0499952 27.43872
0.03660275 29.69818
0.04542747 34.75874
0.02502135 35.70529
0.02375042 33.57369
0.02397789 35.21193
0.01893632 37.68167
0.03134458 38.0885
0.01918454 41.06939
0.0157772 43.74284
0.01551278 42.05458
0.01571793 42.21236
0.02179602 38.62272
0.02937973 40.73048
0.02859088 40.27941
0.02427743 41.87352
0.02431002 42.11948
0.02239132 41.84904
0.02638426 42.83822
0.02364484 42.78842
0.01481773 42.63262
0.03676531 40.16769
0.0323511 43.04504
0.03536868 42.93805
0.03563942 37.58112
0.03214026 38.56406
0.02487167 36.34241
0.02203539 35.8876
0.01937836 43.41782
0.01775136 44.25364
0.02386339 51.05773
0.02000237 52.9931
0.01747281 56.97485
0.01317089 54.62613
0.02332453 56.21767
0.0288032 56.02603
0.01818196 51.60909
0.02133963 57.28824
0.01798649 65.63671
0.03288303 65.57525
0.02507541 65.35285
0.03067521 68.04776
0.02660555 67.87006
0.02323013 71.17094
0.03076335 67.87338
0.02826957 66.22567
0.02272328 65.13901
0.01617974 59.34145
0.03449301 56.93999
0.02541775 56.95355
0.02565116 49.74564
0.02919499 52.23996
0.03695063 51.09845
0.02736095 55.04161
0.02818791 64.43614
0.03236163 61.3277
0.03082095 61.41444
0.02333656 62.60329
0.02204095 60.50551
0.03634573 61.93506
0.02437258 60.09417
0.04613865 61.33143
0.03054006 59.56544
0.03935548 62.08346
0.04674316 63.97192
0.03363889 59.2586
0.04395822 66.27129
0.04914731 60.7585
0.04228693 63.87408
0.02775922 70.87316
0.0324906 71.7702
0.05019312 66.13136
0.04378182 64.90513
0.04496582 67.26448
0.03037992 70.01659
0.0381576 80.58091
0.04545812 77.91353
0.03383815 73.39724
0.04850967 64.01149
0.04313971 66.96187
0.05047657 68.54814
0.06433916 72.2647
0.05324605 66.7722
0.04656989 57.17553
0.05268133 58.92532
0.05428489 65.97978
0.05295264 57.61949
0.04159039 58.40116
0.03928533 64.69693
0.05059332 70.0579
0.05591707 66.12155
0.03858956 73.56712
0.04582707 76.23052
0.03946721 76.63239
0.04758385 81.24119
0.02754572 83.88162
0.05203069 80.58752
0.04946242 82.16547
0.03466565 90.71286
0.04543831 96.2829
0.03505147 104.0692
0.03017313 103.5009
0.0288274 97.04593
0.04818965 87.48473
0.03843914 93.88612
0.03412881 98.60909
0.02367784 88.90173
0.03217279 87.95265
0.02884577 87.00798
0.02429212 87.06436
0.02132437 82.64753
0.02978589 79.28216
0.02706073 82.15683
0.0449165 83.13247
0.03888801 79.04296
0.04960857 74.38233
0.03952755 82.56537
0.02634353 77.01161
0.01996176 72.5861
0.04265676 75.51089
0.03990875 76.13958
0.03325853 81.94803
0.02518872 89.08014
0.02829371 93.63505
0.02210758 96.07888
0.03782428 100.5349
0.02647645 99.59157
0.03423618 98.59802
0.03713215 102.4341
0.05137595 99.60941
0.03749924 100.5932
0.04097655 97.97117
0.0377379 97.17956
0.04138178 99.95673
0.03114329 110.2226
0.04259529 105.6742
0.04020756 98.34316
0.02429151 113.6775
0.04282691 99.84624
0.02486199 95.40382
0.02888611 99.16347
0.03826446 96.35916
0.03759665 107.2819
0.03169968 97.62465
0.04284784 96.77316
0.02665457 89.61494
0.03073548 91.89605
0.0349254 93.48589
0.03736866 95.0593
0.04108942 95.65068
0.03283168 96.44653
0.02248367 99.72367
0.01794205 100.3702
