,BA,BB,BC,BL,BRR,GBLUP,EGBLUP,RKHS,LASSO,RR,SVM,RF
15060025,68.323,68.459,68.363,68.283,68.069,68.623,68.09934,68.526,67.53,68.5,78.006,57.009
15060039,80.712,82.222,80.921,80.338,80.536,82,82.12432,81.735,88.042,82.272,93.688,91.029
15060056,69.963,64.531,70.678,70.235,70.44,66.392,69.79779,68.345,66.86,68.958,65.932,66.268
15060063,78.575,83.709,79.632,78.547,78.422,76.671,79.70455,78.269,85.316,80.914,93.696,84.494
15060070,82.445,82.095,82.535,82.222,82.305,82.948,83.37746,83.904,83.27,83.596,90.181,91.907
15060072,74.928,74.761,75.9,74.858,75.917,78.837,80.55109,76.171,81.322,79.968,81.002,78.381
15060081,61.957,60.34,61.274,61.757,61.871,60.059,60.94012,58.826,56.161,60.151,42.317,51.23
15060082,52.566,54.504,51.505,52.955,51.694,51.314,53.02439,53.255,51.362,51.209,43.296,44.741
15060085,57.566,55.154,56.237,57.299,57.35,55.499,54.15623,54.328,49.041,53.4,43.307,45.53
15060087,82.937,82.647,83.141,82.743,82.981,82.948,83.66032,84.133,83.727,84.029,87.033,86.556
15060090,65.971,66.037,65.957,66.029,65.836,65.728,65.78765,65.355,65.507,65.516,62.593,67.254
15060097,36.187,34.233,35.589,37.072,36.433,33.855,33.30218,43.146,33.857,33.955,35.305,43.433
15060101,68.969,67.829,68.927,68.773,68.531,68.318,69.52374,68.656,67.412,68.645,79.278,85.537
15060102,64.495,66.402,64.324,64.989,64.58,66.09,64.48398,64.183,63.42,64.466,43.307,50.815
15060114,76.197,77.126,76.254,76.021,76.214,76.454,77.3332,76.662,79.591,77.151,82.535,82.19
15060120,52.264,55.747,51.005,53.024,51.801,50.695,52.95762,52.368,47.421,48.84,35.307,39.079
15060122,67.102,66.845,67.079,67.074,66.848,67.264,67.30499,66.371,65.818,66.987,80.695,73.214
15060138,78.83,78.217,78.812,78.007,78.736,80.74,76.18306,76.568,80.876,79.256,80.704,78.412
15060160,66.271,70.056,67.493,66.39,68.493,71.44,73.46817,71.332,67.363,71.377,81.701,73.558
15060188,74.079,73.945,73.631,73.916,74.082,72.129,73.49703,70.541,72.779,71.153,43.304,57.97
15060190,58.508,57.091,58.433,59.131,58.515,59.71,60.9755,61.219,52.009,59.401,55.307,59.054
15060191,46.195,45.341,45.193,46.331,46.016,45.417,44.5988,44.182,41.117,42.788,35.297,37.087
15060215,76.682,78.042,77.047,76.575,76.711,77.3,77.82873,77.249,81.666,78.222,87.376,84.776
15060313,57.431,58.456,56.689,57.006,56.987,57.448,54.66777,56.005,53.33,55.575,38.844,45.299
15060320,51.767,53.66,50.922,51.948,51.946,50.783,52.50851,51.456,45.874,49.865,43.297,41.818
15060345,78.571,78.155,78.665,78.595,78.505,79.333,78.57395,78.774,79.526,78.943,83.885,60.369
15060383,57.468,58.404,56.733,57.057,57.176,57.1,54.76942,56.157,53.33,55.578,42.316,46.901
15060420,78.173,77.46,78.178,78.19,78.173,78.114,78.13266,78.554,78.486,78.58,84.755,79.95
15060536,62.356,62.595,62.782,62.649,62.578,61.095,62.79662,62.815,61.388,62.497,43.306,54.403
15060543,80.497,77.545,81.011,79.82,80.348,77.198,79.86788,78.241,79.36,79.681,83.691,83.64
15060797,71.055,70.03,71.734,70.834,71.02,75.156,73.48072,72.76,71.853,74.472,83.695,77.292
15060846,67.099,66.854,67.371,67.119,67.162,66.331,67.05204,66.59,70.841,67.416,81.689,77.941
15060907,63.25,63.642,63.936,63.79,63.519,62.848,65.16634,64.596,65.45,63.518,83.695,69.236
15060909,54.363,53.361,54.468,54.93,54.308,54.209,54.16171,54.598,53.592,54.06,43.306,48.208
15060910,80.939,80.506,82.05,80.804,81.363,86.001,85.39458,83.211,87.268,86.543,93.69,89.118
