,BA,BB,BC,BL,BRR,GBLUP,EGBLUP,RKHS,LASSO,RR,SVM,RF
15060025,62.688,62.66,62.89,62.707,62.665,62.952,62.58213,62.537,61.744,62.771,70.748,45.719
15060039,73.654,72.651,73.025,73.578,72.834,73.563,74.02136,73.467,72.385,74.311,78.11,78.052
15060056,72.987,69.927,71.107,72.355,71.527,68.637,70.75796,69.362,66.046,72.355,79.111,72.479
15060063,72.24,70.708,71.409,71.519,70.541,68.57,70.73656,68.355,69.622,72.605,78.11,70.329
15060070,73.772,72.016,73.325,73.685,73.426,73.482,73.76113,74.272,72.271,74.292,78.109,79.715
15060072,71.694,70.737,70.6,71.632,71.01,73.619,74.86673,70.835,68.85,74.901,76.892,72.188
15060081,56.473,58.968,57.406,56.967,57.788,55.507,56.73358,55.81,57.958,54.501,31.891,40.915
15060082,44.574,48.565,46.118,46.186,47.065,46.26,47.29814,47.794,55.404,44.486,28.898,34.473
15060085,54.258,56.271,55.579,54.997,55.958,54.697,54.22881,55.191,56.548,52.399,44.885,45.907
15060087,74.437,73.769,73.896,74.22,73.963,73.482,73.98637,74.455,72.809,74.653,79.109,80.077
15060090,67.849,67.702,67.861,68.063,67.88,67.755,67.91975,67.581,68.429,68.042,69.414,68.524
15060097,44.209,47.807,44.894,44.268,45.107,44.065,41.67207,49.221,52.317,42.598,40.893,47.321
15060101,70.831,70.213,70.782,70.945,70.64,70.211,70.92087,70.309,68.683,71.024,78.11,77.883
15060102,60.8,60.987,61.205,60.946,61.316,62.34,61.34323,61.384,62.576,61.007,61.893,57.819
15060114,73.854,73.479,73.553,73.623,73.483,73.238,74.58094,73.66,73.2,74.197,76.896,76.43
15060120,50.441,54.432,52.149,51.282,52.376,52.228,53.59111,53.718,55.344,49.505,46.108,46.9
15060122,68.858,68.367,68.699,69.044,68.656,68.961,68.67165,68.042,68.429,68.902,77.106,71.858
15060138,71.048,73.192,70.79,71.565,70.94,73.36,69.40314,70.261,72.694,72.117,77.109,71.645
15060160,69.198,69.229,68.164,68.63,68.771,71.416,72.91286,69.346,66.032,71.884,79.106,68.752
15060188,66.312,69.438,67.156,66.981,67.384,65.997,66.99474,65.129,73.708,63.749,31.888,47.503
15060190,64.559,63.758,64.011,63.97,63.96,64.66,65.14543,64.891,66.068,65.491,71.109,67.622
15060191,48.66,50.143,49.665,49.266,49.762,50.156,49.02403,49.664,52.787,47.141,42.892,42.139
15060215,74.321,73.872,73.847,74.053,73.721,73.954,74.40419,74.018,73.2,75.023,78.708,78.476
15060313,60.869,60.549,61.481,61.272,61.42,62.724,60.64466,61.179,60.074,61.118,48.884,52.715
15060320,50.594,52.488,51.745,51.201,51.805,52.204,52.27028,52.484,51.552,50.104,45.88,44.934
15060345,71.723,71.925,71.511,71.747,71.39,72.008,71.39697,71.435,71.366,71.799,76.009,59.255
15060383,60.59,60.396,61.332,60.978,61.335,62.072,60.78646,61.131,60.074,60.824,51.888,53.791
15060420,71.423,71.71,71.247,71.504,71.144,71.167,71.10125,71.298,71.366,71.57,76.771,72.68
15060536,61.869,61.415,61.704,61.904,62.085,59.871,62.42538,62.506,61.244,62.449,51.89,57.053
15060543,75.4,74.825,74.537,75.217,74.537,71.303,74.69967,72.378,71.562,74.558,78.697,78.672
15060797,67.255,65.331,66.671,66.551,65.617,67.958,67.53882,66.304,65.56,68.494,78.106,70.949
15060846,68.548,68.157,68.477,68.586,68.478,67.785,68.72588,68.067,68.429,68.743,79.11,74.858
15060907,62.836,62.005,62.596,62.981,62.981,61.209,64.14108,63.274,61.244,63.595,78.106,69.127
