SAMPLES,GEBVs(BRR),ACTUAL
15061614,72.952,82
15061337,72.435,80
15062067,60.825,42
15061752,67.415,80
15061930,67.795,79
15061566,73.953,80
15061773,47.809,76
15061575,69.704,80
15061344,70.324,75
15061282,73.566,92
15061926,73.31,80
15061906,64.734,75
15061665,56.129,43
15061397,73.793,74
15060187,56.017,82
15061534,74.418,80
15062362,72.523,43
15061521,70.188,80
15061633,56.63,79
15061659,67.105,80
15061673,62.822,60
15062356,74.285,80
15061361,72.364,30
15061729,62.078,79
15061755,70.606,80
15061496,66.353,80
15062368,71.545,76
15062339,51.334,42
15061577,72.759,76
15062136,71.743,60
15061529,61.11,80
15061396,70.628,80
15061482,58.399,50
15061814,73.676,80
15061769,65.818,80
15061610,72.528,80
15062147,63.774,80
15061358,62.532,42
15061550,62.587,80
15061271,69.761,80
15060214,57.8,41
15062074,57.404,50
15061507,71.297,80
15061383,72.411,76
15062149,63.381,80
15060042,69.695,80
15061647,62.511,30
15061477,71.938,84
15061586,68.122,54
15062347,61.035,74
15061958,47.252,43
15062346,59.489,43
15061639,73.777,84
15061757,57.215,29
15061299,73.689,82
15061653,71.743,43
15061761,70.485,78
15062146,74.079,42
15061655,60.78,42
15061329,73.029,80
15061535,66.597,80
15061578,73.045,79
15061730,62.135,80
15061627,58.915,30
15061500,58.027,43
15061717,63.609,53
15062122,57.18,80
15061435,57.198,45
15061706,61.616,48
15061624,74.023,80
15060121,60.607,82
15061423,78.466,80
15061488,69.479,75
15061916,71.889,75
15061487,66.996,80
15061281,72.775,80
15061937,57.139,80
15061493,66.175,80
15061296,69.4,75
15061649,54.053,75
15061307,72.406,82
15062133,66.92,76
15062350,70.271,75
15061338,74.333,75
15060027,54.407,75
15061011,62.34,43
15061795,74.515,80
15062358,69.832,76
15061216,71.536,81
15061300,50.498,30
15061462,55.525,27
15061516,66.968,73
15061394,70.649,60
15061453,50.359,80
15062123,50.215,42
15060110,74.16,76
15061964,70.782,80
15061542,50.293,80
15060570,51.062,38
15061785,57.595,50
15061766,50.015,40
15060021,74.277,43
15061364,72.595,80
15060050,67.914,34
15061637,62.614,43
15062369,63.628,80
15061345,71.536,75
15061966,67.371,80
15061737,62.534,27
15060112,72.361,75
15061751,68.077,74
15061567,46.79,45
