Samples,CSTuber.L
15060021,80
15060025,27
15060027,75
15060039,80
15060042,80
15060056,81
15060063,79
15060070,80
15060081,30
15060085,76
15060087,81
15060097,43
15060102,80
15060112,75
15060114,75
15060120,48
15060121,76
15060122,79
15060138,79
15060160,81
15060187,82
15060188,30
15060190,73
15060191,41
15060214,41
15060313,43
15060320,48
15060345,43
15060383,50
15060420,75
15060543,75
15060570,38
15060797,80
15060846,81
15060907,80
15060910,80
15060933,81
15060964,76
15061007,75
15061011,43
15061122,75
15061204,45
15061213,75
15061215,80
15061216,81
15061225,84
15061226,29
15061228,82
15061237,81
15061256,75
15061257,82
15061259,80
15061260,75
15061262,66
15061263,80
15061264,43
15061265,80
15061270,80
15061273,38
15061274,82
15061277,50
15061282,92
15061283,80
15061286,75
15061288,82
15061289,75
15061290,43
15061291,80
15061293,28
15061295,28
15061296,75
15061298,80
15061299,82
15061303,43
15061307,82
15061312,75
15061313,43
15061314,75
15061317,75
15061318,79
15061319,66
15061320,40
15061323,42
15061324,76
15061329,80
15061334,76
15061335,42
15061337,80
15061338,75
15061340,75
15061344,80
15061345,75
15061346,81
15061347,80
15061348,75
15061349,44
15061350,75
15061352,42
15061353,75
15061355,80
15061356,50
15061357,75
15061358,42
15061360,80
15061364,80
15061365,75
15061367,75
15061369,60
15061376,75
15061378,50
15061380,76
15061382,28
15061383,75
15061384,80
15061388,82
15061390,80
15061391,80
15061392,42
15061394,80
15061396,80
15061404,82
15061406,81
15061410,81
15061411,82
15061414,27
15061415,81
15061417,76
15061418,30
15061419,80
15061420,30
15061421,75
15061422,80
15061424,80
15061425,80
15061428,80
15061430,76
15061435,45
15061436,50
15061437,50
15061439,28
15061441,29
15061442,82
15061444,82
15061445,45
15061447,80
15061449,80
15061454,80
15061458,76
15061459,80
15061461,38
15061463,80
15061469,80
15061470,84
15061471,81
15061475,80
15061476,80
15061478,80
15061479,80
15061480,80
15061481,45
15061484,75
15061485,54
15061486,80
15061489,75
15061490,80
15061491,80
15061492,80
15061493,80
15061494,30
15061495,80
15061496,80
15061499,43
15061500,43
15061501,42
15061503,82
15061504,82
15061505,82
15061507,80
15061508,35
15061509,80
15061511,79
15061515,73
15061516,75
15061517,80
15061518,80
15061521,80
15061522,38
15061524,37
15061525,80
15061526,75
15061528,30
15061529,80
15061530,74
15061533,80
15061534,75
15061535,80
15061536,80
15061540,42
15061542,80
15061543,80
15061544,76
15061546,80
15061548,75
15061549,81
15061550,80
15061553,80
15061555,82
15061556,64
15061560,54
15061561,42
15061564,80
15061565,82
15061566,80
15061568,42
15061571,80
15061575,75
15061576,42
15061577,76
15061578,79
15061579,80
15061580,80
15061583,84
15061584,80
15061585,84
15061586,54
15061588,79
15061600,81
15061602,48
15061603,80
15061604,75
15061605,51
15061608,45
15061609,80
15061610,80
15061612,31
15061613,86
15061619,80
15061621,75
15061622,28
15061623,80
15061624,80
15061628,32
15061631,76
15061632,73
15061637,43
15061638,43
15061639,84
15061640,81
15061642,42
15061645,80
15061646,82
15061647,30
15061648,74
15061649,75
15061650,28
15061651,75
15061653,43
15061654,80
15061655,43
15061658,81
15061659,80
15061661,80
15061662,80
15061665,43
15061668,38
15061670,84
15061671,81
15061673,75
15061677,79
15061678,75
15061679,75
15061680,84
15061682,41
15061683,80
15061684,60
15061686,75
15061687,50
15061688,75
15061689,79
15061704,76
15061706,43
15061709,42
15061712,80
15061713,28
15061714,28
15061717,53
15061718,79
15061720,76
15061723,79
15061724,50
15061725,75
15061726,80
15061729,79
15061730,80
15061733,27
15061734,80
15061735,41
15061736,27
15061737,27
15061738,75
15061740,80
15061742,42
15061744,40
15061747,82
15061751,74
15061752,80
15061753,81
15061754,41
15061755,82
15061756,80
15061757,29
15061758,82
15061759,30
15061760,80
15061762,79
15061765,80
15061766,40
15061767,45
15061769,76
15061771,79
15061772,75
15061773,80
15061777,79
15061778,80
15061784,79
15061785,50
15061788,30
15061790,35
15061795,48
15061797,30
15061798,80
15061800,27
15061801,80
15061808,50
15061811,81
15061813,43
15061815,82
15061826,76
15061905,80
15061906,79
15061908,28
15061909,75
15061910,30
15061911,82
15061912,45
15061915,50
15061917,80
15061918,82
15061926,80
15061927,80
15061928,80
15061929,42
15061930,79
15061933,75
15061934,28
15061935,80
15061937,80
15061939,42
15061941,43
15061942,80
15061944,43
15061945,42
15061946,79
15061948,75
15061949,76
15061951,80
15061952,80
15061953,80
15061958,43
15061960,75
15061961,80
15061962,50
15061963,80
15061965,60
15061966,80
15061967,80
15061968,80
15062036,80
15062038,80
15062039,50
15062046,49
15062050,48
15062051,80
15062067,42
15062069,27
15062071,50
15062080,42
15062092,28
15062094,80
15062097,80
15062099,75
15062100,48
15062101,80
15062102,60
15062103,27
15062105,80
15062106,76
15062107,79
15062108,80
15062109,76
15062111,28
15062112,80
15062114,29
15062117,84
15062118,75
15062122,80
15062124,80
15062126,79
15062130,75
15062136,79
15062137,80
15062138,75
15062139,76
15062142,43
15062145,75
15062146,42
15062149,75
15062150,80
15062151,76
15062152,82
15062153,79
15062331,74
15062332,80
15062333,29
15062334,41
15062335,75
15062337,80
15062338,76
15062346,45
15062347,74
15062348,76
15062349,76
15062350,75
15062351,75
15062353,39
15062354,39
15062356,82
15062357,80
15062358,76
15062360,40
15062361,82
15062363,80
15062366,75
15062367,29
15062368,76
15062369,75
15062370,75
