,BA,BB,BC,BL,BRR,GBLUP,EGBLUP,RKHS,LASSO,RR,SVM,RF
15060021,42.431,43.498,41.895,42.666,40.575,43.962,40.10339,41.657,43.87,43.57,36.511,30.734
15060025,46.049,45.944,46.17,46.084,46.226,45.915,46.28482,46.379,45.543,45.998,47.141,51.109
15060027,45.897,45.669,45.846,45.831,46.029,45.741,45.65978,45.646,45.634,45.719,44.715,44.427
15060039,43.991,44.197,43.926,44.143,43.635,44.412,43.15814,43.537,45.203,44.319,37.348,34.9
15060042,44.143,44.424,44.129,44.166,43.848,44.375,44.32926,44.246,44.603,44.513,47.147,46.228
15060056,45.805,45.532,45.81,45.671,46.345,45.032,46.19841,45.389,46.604,45.324,47.146,49.094
15060063,45.334,45.155,45.394,45.382,45.774,45.214,46.00603,45.584,45.042,45.297,49.144,47.822
15060070,45.076,45.236,45.024,45.157,44.883,45.437,45.1492,45.351,45.634,45.437,44.859,40.953
15060081,45.158,45.167,45.211,45.304,45.062,45.151,44.78241,44.972,45.269,45.305,32.857,37.884
15060085,45.708,45.457,45.839,45.539,45.903,45.797,45.9868,45.7,45.112,45.735,45.858,46.331
15060087,45.096,45.246,45.026,45.162,44.874,45.437,45.16755,45.33,45.634,45.44,44.275,35.072
15060097,44.126,43.902,44.005,44.017,44.529,43.42,45.37192,44.347,44.089,43.569,44.406,45.68
15060102,46.021,45.718,46.253,45.949,46.585,45.761,46.58473,46.235,45.203,45.762,46.568,45.656
15060112,45.509,45.564,45.509,45.539,45.346,45.426,45.36324,45.436,45.543,45.541,44.63,41.341
15060114,43.52,43.453,43.42,43.52,43.288,43.645,43.34044,43.472,43.463,43.611,44.856,44.351
15060120,44.547,44.69,44.453,44.574,44.131,44.695,44.91913,44.727,44.31,44.772,49.147,48.068
15060121,47.262,46.495,47.529,47.057,48.165,46.625,47.93621,47.487,45.634,46.649,45.961,47.773
15060122,41.52,41.955,41.145,41.599,40.78,42.111,40.42021,40.975,42.14,41.87,37.005,32.458
