SAMPLES,GEBVs(GBLUP),ACTUAL
15062362,32.956,43
15061954,42.969,39
15062339,39.337,36
15061482,45.522,36
15062104,32.177,26
15061707,34.834,33
15061567,36.624,39
15061964,31.257,26
15061488,43.103,38
15061438,43.279,33
15061814,45.784,49
15061721,38.633,37
15061601,33.012,26
15061719,30.868,27
15061629,41.133,26
15061477,34.226,26
15061761,30.923,26
15061336,37.086,26
15061386,32.276,26
15061305,32.047,26
15061676,32.732,33
15061523,29.991,26
15061763,36.232,26
15061385,29.92,26
15062133,30.302,26
15061333,35.369,27
15061627,35.409,54
15061731,43.032,35
15061641,45.327,59
15061330,44.56,39
15061626,32.813,26
15062147,38.173,39
15061487,37.556,26
15060536,38.707,47
15061261,30.317,33
15061389,43.744,48
15060101,31.161,26
15061397,29.92,58
15061551,45.564,48
15061539,29.951,43
15062115,39.408,49
15061361,32.738,26
15061669,39.35,48
15062359,42.664,33
15061690,43.247,33
15061308,43.032,27
15062372,35.899,27
15061342,32.738,27
15061281,40.242,54
15061932,47.636,52
15061370,43.175,48
15061630,29.172,26
15061789,45.893,52
15061666,36.94,33
15062143,28.382,26
15061297,34.636,26
15061907,39.615,94
15061538,29.92,54
15062371,36.062,36
15061685,28.382,27
15062081,34.503,26
15061969,40.158,33
15061498,41.763,33
15061271,45.1,26
15062344,40.513,26
15061279,35.648,33
15062144,30.055,28
15061722,41.285,45
15061768,36.364,36
15061557,30.454,26
15061434,38.096,39
15060072,37.272,43
15061405,40.638,26
15062052,42.935,30
15062098,42.954,48
15061916,32.672,26
15061377,30.397,48
15061633,46.203,43
15061702,33.828,27
15061614,40.958,31
15061368,32.276,26
15061520,35.742,43
15060082,39.561,26
15061656,33.654,41
15061331,39.082,33
15061327,30.829,26
15062074,30.933,26
15061300,39.455,27
15061776,45.96,33
15061462,33.278,48
15061302,34.787,27
15061957,37.841,43
15061514,30.318,26
15060909,47.6,27
15062063,32.682,26
15060090,36.027,26
15061301,36.612,33
15061423,44.829,31
15061453,39.876,43
15060215,41.363,31
15062119,32.151,26
15061537,31.246,54
15061667,28.422,26
15062123,29.879,26
15061710,29.119,26
15061258,41.737,26
15061443,45.59,57
15060050,35.714,45
15060110,30.242,26
15062053,41.524,52
15061764,32.174,26
15061799,36.727,26
