probIn scale
0.03760965 13.5374
0.0397074 12.98743
0.04327754 13.33277
0.03991616 13.65836
0.04418861 14.08011
0.03775583 13.66522
0.04980038 12.21475
0.05805151 12.20524
0.04043762 13.52966
0.03625561 14.68474
0.05198772 12.19402
0.04877879 12.24143
0.05648978 11.94628
0.04670675 11.92595
0.05598714 11.96613
0.06829199 11.92526
0.04254452 11.18061
0.04477439 10.0731
0.04727202 9.315078
0.04401298 9.09017
0.03542278 8.643735
0.05424213 8.434614
0.06722436 7.943688
0.06611324 7.930388
0.08769319 7.399314
0.06660134 7.209003
0.08690782 7.087646
0.0888995 7.625632
0.1077101 7.724608
0.09479503 7.545327
0.1092174 7.747551
0.1038197 7.492481
0.09168701 6.960273
0.08364859 6.718688
0.08228661 7.701616
0.05798027 7.756148
0.0698099 7.198816
0.08127126 7.011464
0.06213395 6.783636
0.09582949 6.628735
0.07015636 5.940801
0.07008139 5.401459
0.07951294 5.675499
0.1190008 5.384137
0.0869227 5.239887
0.1008969 5.540599
0.07948511 5.289452
0.09343159 4.705357
0.08829046 4.611764
0.1108484 4.83209
0.1000541 4.743103
0.08918532 4.98379
0.09194656 5.200499
0.09094259 4.913976
0.1008763 4.682268
0.1107174 4.727087
0.104959 5.408236
0.1011005 5.384968
0.1093012 5.571541
0.1037467 5.620768
0.1297885 5.928997
0.1144809 5.863635
0.1076961 5.580435
0.09177072 5.807074
0.07579079 5.963572
0.07255447 6.34482
0.0778316 5.581083
0.06239572 5.955954
0.08552844 5.753019
0.07526731 5.588698
0.06368536 5.780971
0.06290812 5.946309
0.07579421 5.573307
0.0607572 5.927295
0.06633217 5.138049
0.1024018 4.956974
0.08625965 6.047008
0.08250822 6.06281
0.07240769 6.176773
0.0840582 6.605932
0.08536718 6.195669
0.08168514 6.464674
0.07634772 7.005023
0.05575079 6.57615
0.06827561 6.759884
0.06152287 6.933029
0.05979477 8.044294
0.05817946 9.215561
0.07621538 8.797256
0.07685778 9.569701
0.06889609 9.366525
0.07839212 9.37676
0.0820855 9.147333
0.07522183 9.72198
0.07313213 9.293014
0.09458687 8.818881
0.06992304 8.20555
0.07072603 8.232701
0.07683491 7.684434
0.08565059 7.901864
0.08993756 7.383161
0.07507063 7.532604
0.07676487 8.055687
0.08020187 8.171596
0.07370206 7.821921
0.06836537 7.772298
0.05564151 7.834971
0.0599906 8.503763
0.05767989 10.41473
0.04482873 9.697884
0.04263596 10.14138
0.07192224 10.1677
0.05503458 10.30547
0.05606536 10.0022
0.06655352 9.407079
0.0626678 9.859621
0.07759476 11.01389
0.05914412 10.00645
0.05930285 10.39573
0.04852063 9.099456
0.0687567 9.762429
0.05356377 10.18416
0.05662422 9.946799
0.07041216 10.5697
0.07591596 10.03919
0.05774903 9.220502
0.05777038 9.284439
0.05809251 9.684374
0.07333197 9.503074
0.05344932 9.1874
0.05880948 9.251389
0.06964891 9.559216
0.05662587 8.836068
0.0952836 8.890949
0.08485478 7.664168
0.1214073 8.082588
0.08908576 8.796355
0.09043787 7.975162
0.1005686 7.305114
0.08111086 6.746476
0.06400474 6.522617
0.0866836 6.807455
0.1022617 6.955179
0.09548714 6.907209
0.08509252 7.243749
0.08131574 6.869286
0.08188463 6.714868
0.09554851 6.275155
0.1080139 5.959139
0.1364274 5.741515
0.1225131 6.554627
0.1384068 6.431544
0.1206222 6.469668
0.1149971 6.200159
0.1007442 6.181831
0.1404548 7.171387
0.09890295 7.288524
0.09539355 8.25697
0.07732408 8.550974
0.1101716 8.615328
0.06223361 8.049558
0.0748629 8.077302
0.1172863 8.137197
0.1121342 8.130537
0.1063831 8.569471
0.1055601 8.518709
0.09467969 7.970337
0.1088664 7.651477
0.09792415 7.66928
0.1285537 6.755188
0.1232862 7.01405
