SAMPLES,GEBVs(EGBLUP),ACTUAL
15062362,50.91153,42
15061954,51.32117,49
15062339,41.81595,55
15061482,49.12141,60
15062104,48.78889,58
15061707,50.91319,40
15061567,41.99529,40
15061964,14.23462,6
15061488,53.72362,58
15061438,53.76351,46
15061814,50.4316,58
15061721,56.43236,57
15061601,50.74551,34
15061719,14.72844,6
15061629,46.97792,43
15061477,51.08746,58
15061761,13.69079,6
15061336,51.34877,58
15061386,43.42798,40
15061305,47.89155,39
15061676,50.8242,42
15061523,50.11082,58
15061763,51.26895,48
15061385,50.37736,49
15062133,50.3064,58
15061333,48.38928,45
15061627,46.05148,36
15061731,53.60218,49
15061641,51.04406,49
15061330,44.71308,58
15061626,48.44107,39
15062147,49.91153,34
15061487,53.00951,39
15060536,53.84292,36
15061261,44.17609,45
15061389,53.55728,57
15060101,14.46443,8
15061397,50.33875,6
15061551,49.82471,57
15061539,50.28635,58
15062115,50.99971,49
15061361,51.04348,58
15061669,53.15032,55
15062359,55.574,36
15061690,53.84269,55
15061308,53.56,46
15062372,46.01037,35
15061342,50.88845,39
15061281,50.60097,60
15061932,49.72579,46
15061370,51.47088,55
15061630,49.00572,58
15061789,48.93553,40
15061666,40.56767,55
15062143,44.82337,58
15061297,48.32301,58
15061907,44.24523,8
15061538,50.4679,39
15062371,48.20567,58
15061685,44.64944,49
15062081,46.69532,39
15061969,41.84894,31
15061498,52.19712,34
15061271,49.71112,58
15062344,56.14019,55
15061279,54.14697,49
15062144,50.25517,49
15061722,51.26513,40
15061768,46.65657,58
15061557,44.69294,48
15061434,49.62435,49
15060072,42.26227,57
15061405,49.91467,45
15062052,51.60376,55
15062098,51.31225,49
15061916,50.98405,39
15061377,44.51249,45
15061633,43.39115,57
15061702,45.17329,55
15061614,49.14048,49
15061368,43.46713,45
15061520,54.74887,58
15060082,50.2477,39
15061656,46.35963,36
15061331,44.93897,43
15061327,44.0813,40
15062074,46.81127,31
15061300,51.15153,58
15061776,48.99346,45
15061462,44.05075,40
15061302,47.20365,33
15061957,54.06559,41
15061514,44.32633,36
15060909,49.55668,43
15062063,50.90325,39
15060090,48.37164,60
15061301,43.32722,58
15061423,47.90988,49
15061453,51.1779,58
15060215,49.46243,57
15062119,48.759,58
15061537,13.87035,6
15061667,44.75464,45
15062123,50.71287,45
15061710,48.86541,57
15061258,47.81653,43
15061443,48.75426,43
15060050,49.04199,49
15060110,50.61286,55
15062053,49.75969,57
15061764,11.81386,33
15061799,51.40019,57
