,BA,BB,BC,BL,BRR,GBLUP,EGBLUP,RKHS,LASSO,RR,SVM,RF
15060021,318.347,318.962,318.867,318.525,318.115,319.23,320.59948,320.485,311.525,311.585,325.782,324.313
15060025,311.108,310.831,312.026,311.609,310.599,314.019,310.0808,310.512,312.912,316.582,310.205,305.585
15060027,325.294,316.3,322.819,324.403,325.353,324.684,324.27207,324.565,326.353,326.454,324.868,322.983
15060039,323.805,324.922,323.493,323.825,324.317,325.442,326.74921,325.252,321.718,322.68,323.805,327.534
15060042,324.973,318.412,324.04,324.784,325.263,324.255,325.88531,324.734,312.636,320.428,322.202,325.627
15060056,108.685,105.04,107.905,107.357,110.267,106.196,110.49873,108.824,172.876,207.604,100.197,177.989
15060063,329.807,335.348,328.514,329.253,329.387,328.74,328.74334,328.535,338.46,330.761,323.812,324.223
15060070,321.068,320.3,319.903,320.754,320.81,320.344,321.3324,321.291,316.275,315.539,323.802,324.188
15060081,300.631,309.276,299.639,297.607,299.309,300.979,302.36993,302.627,313.631,302.531,301.067,308.421
15060085,319.833,319.147,318.892,319.899,320.055,319.424,317.94648,318.288,312.181,306.448,317.186,312.803
15060087,321.102,320.374,321.347,320.155,321.04,320.344,320.91362,321.25,316.275,315.624,325.897,326.125
15060097,313.804,316.99,314.61,312.474,314.066,312.839,311.62273,310.908,308.679,327.077,304.809,302.268
15060102,83.354,78.147,82.521,82.802,83.415,82.048,83.60121,81.397,115.607,138.868,85.56,83.332
15060112,320.41,320.881,320.701,320.802,320.53,320.311,320.33098,320.665,320.409,316.567,322.577,322.589
15060114,314.46,317.165,317.656,314.952,313.763,315.706,317.3787,317.636,315.283,317.479,319.215,315.926
15060120,321.029,331.387,323.855,322.257,320.96,321.311,321.36618,320.553,307.499,308.174,317.809,310.293
15060121,304.006,303.624,305.082,304.417,304.915,304.179,304.21994,304.227,302.438,308.335,307.521,305.014
15060122,321.849,318.039,319.64,322.766,321.374,321.363,322.36598,322.222,324.46,320.518,319.393,323.044
15060138,327.961,330.311,326.717,327.657,328.644,326.421,322.95502,323.722,338.064,342.794,323.029,320.705
15060160,319.806,316.676,320.421,319.667,319.759,320.767,323.10548,321.046,311.519,321.409,315.793,312.232
15060187,330.799,326.661,331.071,330.996,331.266,328.808,330.60151,330.764,334.415,328.139,333.786,329.888
15060188,318.153,329.02,319.2,318.138,317.618,316.303,320.2383,321.033,310.14,306.193,321.795,321.561
15060190,311.808,311.162,311.218,311.892,311.155,314.222,312.79568,312.802,324.567,319.127,315.814,314.345
15060191,318.968,319.08,318.085,318.747,319.051,318.349,320.20877,319.185,311.556,294.834,323.78,324.568
15060214,315.222,318.454,317.509,314.156,314.314,318.92,317.19412,318.863,299.854,293.612,315.794,314.801
15060313,319.773,321.529,318.471,319.768,319.132,320.712,322.43563,323.073,311.198,309.237,323.823,322.683
15060320,324.656,324.413,323.902,324.397,324.866,322.75,325.5705,325.216,326.539,327.068,324.411,326.102
15060345,321.599,322.73,322.127,320.78,320.831,322.493,321.36241,321.235,321.457,320.083,321.468,319.452
15060383,319.657,319.689,318.879,319.378,319.189,317.119,320.63924,320.847,311.198,307.989,322.587,317.79
15060420,322.443,322.757,322.262,322.429,322.615,320.393,321.73047,321.912,322.321,320.586,322.113,323.127
15060543,317.851,315.787,317.557,317.429,317.354,317.667,316.70678,317.061,312.351,302.95,317.803,309.684
15060570,319.055,319.227,322.581,320.48,319.445,319.677,320.27084,319.014,307.543,314.359,313.819,317.845
15060797,318.929,320.663,319.023,320.147,320.315,320.713,318.50707,318.992,287.59,296.171,315.807,310.083
15060846,327.005,319.427,326.553,326.012,326.661,326.369,327.34022,325.431,327.744,322.64,326.786,327.812
15060907,321.62,326.15,322.666,320.934,321.613,320.929,322.84392,319.89,318.229,314.934,316.802,316.58
15060910,321.341,320.942,322.187,322.25,321.372,322.746,324.40167,324.619,322.052,313.832,323.799,325.252
15060933,315.803,315.744,315.983,315.607,315.477,314.801,314.58174,315.341,312.351,301.275,316.862,305.889
15060964,321.684,324.149,319.769,321.921,321.21,321.653,320.53597,320.327,318.208,312.788,316.094,315.277
15061007,320.698,324.191,320.793,321.526,321.022,323.182,320.69456,320.964,318.208,312.409,316.796,315.318
15061011,312.17,310.944,311.608,312.001,313.508,309.402,311.18994,311.144,313.695,316.129,317.216,312.061
15061122,324.582,325.975,325.64,324.772,324.374,325.653,324.88583,325.014,324.46,322.252,326.78,327.286
15061204,312.405,314.967,313.055,312.808,311.639,314.517,315.37471,315.444,294.864,276.335,314.791,293.032
15061213,324.612,324.549,326.404,325.06,325.684,326.683,322.65633,324.454,322.535,322.948,323.798,325.252
15061215,320.951,321.848,320.898,321.066,320.302,318.582,323.30976,323.247,329.363,321.739,323.289,322.962
15061216,105.072,108.432,102.615,104.687,105.084,104.688,105.7531,108.171,164.164,192.716,100.21,179.028
15061225,327.902,323.885,325.576,326.781,327.53,325.313,323.92381,324.705,312.84,321.133,323.823,324.105
15061226,316.636,310.297,313.55,316.205,315.728,313.142,313.86829,315.635,306.007,312.344,310.822,298.267
15061228,316.795,316.627,316.648,318.042,317.983,315.308,316.22897,314.936,316.861,322.625,313.729,314.616
15061237,310.623,314.772,311.393,310.661,310.685,312.861,313.721,313.554,308.552,300.169,316.431,302.684
15061256,320.624,319.301,321.451,318.433,319.509,316.216,322.97759,322.054,289.95,283.14,323.816,323.876
15061257,313.655,322.338,313.501,313.16,312.914,315.432,314.69934,314.833,319.887,303.409,310.803,315.018
15061259,322.179,320.33,321.08,322.314,322.409,320.695,321.1354,320.791,316.275,315.616,319.202,317.872
15061260,312.978,311.723,312.408,313.026,313.615,313.791,311.35375,311.973,313.695,316.553,317.346,315.974
15061262,104.516,115.228,103.185,104.164,104.352,104.108,102.72757,106.488,116.667,131.121,90.797,99.115
15061263,78.572,78.662,76.772,79.032,79.575,80.923,81.08669,82.887,112.637,136.288,76.195,126.72
15061264,100.727,91.606,98.594,100.272,102.054,90.122,92.45811,86.513,130.809,157.581,76.198,132.566
15061265,313.694,317.088,315.122,313.297,313.68,313.391,314.53955,314.143,322.093,318.552,310.193,310.928
15061270,318.001,318.349,317.793,318.365,317.912,317.344,316.21349,316.444,326.155,322.198,314.823,317.802
15061273,313.653,317.732,315.388,314.298,314.41,314.47,314.40144,314.783,322.093,318.196,313.332,316.302
15061274,313.738,321.244,312.158,314.826,314.16,318.605,313.47132,313.638,336.291,319.49,310.312,307.889
15061277,319.33,319.57,320.768,320.263,318.834,320.614,319.90074,318.291,319.419,314.024,314.801,313.638
15061282,317.151,321.124,317.672,317.918,317.722,318.668,319.99517,319.174,310.837,317.254,319.02,321.531
15061283,320.096,316.018,320.532,319.303,319.17,321.52,320.09556,320.173,322.589,316.314,319.881,322.329
15061286,329.349,333.259,327.6,327.959,328.644,331.248,327.96093,328.699,330.274,328.432,326.228,326.367
15061288,318.671,323.793,319.351,320.709,318.875,318.096,319.25196,319.97,320.092,321.637,319.197,318.402
15061289,326.264,324.918,326.247,325.784,326.39,326.73,326.01525,325.819,321.718,323.979,324.414,326.662
15061290,317.914,322.049,318.232,318.482,317.434,316.438,318.47131,318.201,310.32,301.968,314.827,310.969
15061291,321.499,315.325,320.39,320.478,320.165,319.321,321.02233,320.823,311.485,319.541,320.868,318.438
15061293,316.406,315.733,319.458,315.771,315.827,321.771,317.47724,318.269,321.681,313.222,314.812,318.863
15061295,318.241,322.093,318.682,319.165,317.712,319.884,316.88068,317.934,325.384,316.695,314.778,315.533
15061296,322.016,325.028,322.006,321.299,321.889,320.175,320.42384,321.091,309.871,319.974,318.528,320.53
15061298,312.318,305.625,310.979,312.526,313.08,313.015,316.62278,315.324,294.608,300.916,313.809,318.842
15061299,321.27,319.659,319.635,320.069,321.159,321.962,320.17937,320.388,323.62,319.179,319.969,319.513
15061303,323.244,322.194,322.483,323.203,323.451,323.048,323.81103,322.761,320.98,321.326,323.491,322.212
15061307,318.085,318.319,318.418,317.728,317.627,318.422,316.97761,315.779,316.649,322.715,313.799,316.382
15061312,318.733,315.283,318.37,318.644,319.164,320.195,319.56714,320.128,311.485,318.986,320.408,318.837
15061313,319.72,319.1,321.229,319.695,319.912,317.992,319.38208,319.302,311.556,294.77,316.788,320.591
15061314,325.03,323.823,325.86,325.363,325.28,323.051,324.19078,324.553,324.735,328.377,322.525,323.686
15061317,100.232,79.851,99.588,99.455,101.643,96.106,97.31118,96.612,112.041,131.907,76.199,92.261
15061318,331.189,328.32,331.187,332.862,332.078,330.732,326.59588,327.626,324.91,316.416,323.803,324.078
15061319,311.593,311.218,310.919,311.775,311.331,307.865,311.06388,311.367,313.695,316.676,313.129,311.692
15061320,321.282,320.111,321.417,321.594,321.474,321.194,322.41785,320.605,313.339,316.417,316.795,310.209
15061323,320.994,321.518,320.601,320.203,320.315,319.369,318.68964,319.579,323.62,319.194,316.804,320.788
15061324,321.773,322.493,320.958,321.315,320.876,321.434,321.13946,320.156,338.778,311.31,316.8,308.67
15061329,317.529,320.713,317.749,317.274,317.024,319.024,318.26929,318.928,320.192,315.949,317.078,320.357
15061334,327.277,323.209,328.124,327.069,327.225,330.6,325.10841,326.406,332.227,322.205,321.801,324.011
15061335,319.455,317.376,319.196,319.434,320.128,319.113,319.53759,319.301,307.401,319.441,318.471,305.307
15061337,320.286,320.856,320.844,320.363,320.942,321.254,320.39993,320.731,320.409,316.698,322.184,319.883
15061338,320.994,314.683,319.366,320.223,321.615,318.57,320.51963,319.078,314.933,315.833,320.477,319.982
15061340,318.539,320.267,319.732,318.43,318.174,319.277,319.33954,319.844,315.491,315.013,321.097,321.587
15061344,320.146,322.114,320.104,320.269,321.118,317.727,320.11503,319.707,317.204,313.555,320.924,320.157
15061345,324.49,323.465,323.609,323.663,324.289,326.869,322.93904,322.632,323.027,321.784,323.802,324.301
15061346,322.742,322.733,322.56,322.994,323.457,322.199,322.52917,322.376,322.321,321.005,322.511,321.049
15061347,316.432,316.844,315.777,315.871,317.175,317.703,315.91298,315.84,316.524,318.643,314.793,316.411
15061348,321.243,320.939,320.633,321.426,320.912,320.368,320.71409,321.209,320.409,317.011,320.623,321.772
15061349,322.574,321.055,322.029,321.706,322.114,320.216,320.5842,320.273,335.862,329.434,316.828,319.123
15061350,321.904,319.812,323.332,322.583,322.848,325.308,321.4803,321.288,312.975,319.672,320.8,322.334
15061352,325.425,323.794,324.874,325.001,325.128,325.272,325.25224,324.773,323.89,323.481,324.006,328.299
15061353,320.637,320.842,320.67,321.159,321.013,320.311,320.61506,321.059,320.409,316.745,322.777,323.632
15061355,321.48,320.794,321.065,322.256,322.076,319.902,322.36599,321.72,320.409,316.841,323.785,325.85
15061356,324.375,326.134,323.987,323.711,323.776,326.556,323.3653,322.526,324.46,321.26,321.278,320.385
15061357,318.614,320.047,316.257,318.252,318.009,319.057,318.50701,318.809,325.48,316.348,316.802,320.019
15061358,311.235,312.173,311.993,312.117,311.721,310.918,310.48572,310.887,312.912,316.105,313.261,310.901
15061360,319.866,320.913,320.308,320.405,319.895,319.902,321.02362,321.397,320.409,316.576,323.787,325.983
15061364,320.877,321.19,320.528,321.056,321.328,320.732,320.83322,321.318,320.409,317.147,322.524,322.195
