,PREDICTED,ACTUAL
15060021,9.199,8
15060025,37.085,47
15060027,27.797,29
15060039,29.204,28
15060042,27.208,26
15060056,45.802,47
15060063,30.201,29
15060070,9.942,8
15060081,39.797,41
15060085,12.204,11
15060087,9.793,11
15060097,34.341,35
15060102,14.15,29
15060112,27.428,29
15060114,31.794,33
15060120,40.799,42
15060121,14.796,16
15060122,31.801,33
15060138,37.795,39
15060160,31.802,33
15060187,28.274,16
15060188,38.798,40
15060190,30.796,32
15060191,40.159,41
15060214,45.792,47
15060313,43.582,45
15060320,43.204,42
15060345,35.053,42
15060383,36.2,35
15060420,34.875,37
15060543,33.202,32
15060570,45.797,47
15060797,20.205,19
15060846,30.798,32
15060907,41.797,43
15060910,37.797,39
15060933,37.795,39
15060964,24.671,16
15061007,31.802,33
15061011,37.452,42
15061122,32.805,33
15061204,12.204,11
15061213,29.889,29
15061215,29.205,28
15061216,12.202,11
15061225,31.795,33
15061226,39.792,41
15061228,12.201,11
15061237,37.799,39
15061256,12.201,11
15061257,37.798,39
15061259,12.235,8
15061260,33.156,11
15061262,28.052,29
15061263,17.204,16
15061264,33.795,35
15061265,30.204,29
15061270,37.798,39
15061273,31.539,39
15061274,35.803,37
15061277,39.798,41
15061282,27.2,26
15061283,27.282,28
15061286,30.204,29
15061288,33.798,35
15061289,30.798,32
15061290,40.798,42
15061291,37.603,37
15061293,55.799,57
15061295,30.199,29
15061296,25.851,8
15061298,41.799,43
15061299,31.792,33
15061303,40.803,42
15061307,14.795,16
15061312,37.793,39
15061313,38.335,35
15061314,29.896,33
15061317,31.792,33
15061318,12.205,11
15061319,35.556,41
15061320,42.204,41
15061323,35.793,37
15061324,33.199,32
15061329,11.245,11
15061334,30.8,32
15061335,36.2,35
15061337,27.361,28
15061338,10.492,8
15061340,15.646,39
15061344,34.797,36
15061345,35.792,37
15061346,31.817,32
15061347,30.993,36
15061348,27.75,29
15061349,30.796,32
15061350,37.384,37
15061352,13.468,47
15061353,27.421,29
15061355,25.848,19
15061356,33.798,35
15061357,9.201,8
15061358,35.902,41
15061360,26.348,23
15061364,27.796,29
15061365,30.798,32
15061367,30.207,29
15061369,17.057,20
15061376,33.811,32
15061378,39.018,47
15061380,27.985,37
15061382,27.199,26
15061383,27.795,29
15061384,12.2,11
15061388,27.794,29
15061390,12.205,11
15061391,12.447,16
15061392,26.202,25
15061394,27.201,26
15061396,27,8
15061404,12.204,11
15061406,26.795,28
15061410,36.607,37
15061411,27.145,26
15061414,12.621,47
15061415,33.843,37
15061417,12.367,8
15061418,13.383,47
15061419,11.654,8
15061420,42.204,47
15061421,29.207,28
15061422,17.205,16
15061424,25.875,16
15061425,33.199,32
15061428,33.198,32
15061430,34.898,37
15061435,30.055,37
15061436,44.595,47
15061437,43.206,42
15061439,45.798,47
15061441,40.849,42
