probIn scale
0.02543526 1716.742
0.0105805 1725.104
0.009742497 1670.456
0.01053186 1548.311
0.02265472 1430.633
0.01679761 1408.56
0.02708338 1346.218
0.02080371 1420.367
0.04155571 1382.547
0.02937203 1385.034
0.03400746 1298.421
0.02692386 1337.655
0.0161161 1222.969
0.0134121 1288.047
0.01764339 1164.112
0.03487282 1192.424
0.0280215 1158.193
0.03599794 1107.524
0.03222324 1186.167
0.03819667 1129.221
0.04007007 1099.653
0.04459042 1136.361
0.03502117 1215.98
0.01529704 1511.498
0.02713777 1590.816
0.02373649 1699.354
0.02021028 1630.348
0.0194287 1619.944
0.02214459 1646.546
0.02466035 1913.175
0.0340103 1842.059
0.03710708 1620.007
0.02579579 1653.492
0.01483474 1621.912
0.01876659 1775.907
0.02009734 1747.267
0.02469808 1543.853
0.02365174 1662.378
0.01484948 1722.765
0.01778142 1774.793
0.01945555 1944.082
0.02614696 1775.491
0.01968637 1868.682
0.03272462 1753.734
0.03568548 1711.389
0.02094206 1773.884
0.01752835 1855.291
0.02078947 1692.654
0.04157799 1710.304
0.03888207 1490.135
0.03529988 1396.498
0.0361895 1415.306
0.03153216 1533.25
0.03786213 1596.378
0.04217236 1546.557
0.03648379 1524.959
0.040566 1589.978
0.03495742 1551.727
0.03541456 1583.797
0.05010483 1406.27
0.05226936 1154.418
0.03622627 1138.856
0.0380876 1057.585
0.03628838 1101.54
0.05121455 1014.406
0.0512412 1020.676
0.05502795 984.7693
0.04914835 1006.826
0.04976387 962.0438
0.04527544 928.7425
0.04690311 958.7336
0.0390712 914.6644
0.04460088 974.1954
0.05533155 878.7729
0.0696705 908.2162
0.06312882 928.5666
0.05220453 910.3558
0.07039215 848.6955
0.04246667 862.3532
0.06257695 865.7704
0.05928206 896.9183
0.08401943 812.1815
0.06114976 803.5302
0.06371973 774.4926
0.05726576 778.5538
0.06763083 757.7492
0.04794083 756.7843
0.06814751 787.197
0.06767276 811.7419
0.06412104 749.8257
0.03748939 820.0186
0.06255462 856.903
0.0485181 783.0146
0.04834673 737.8669
0.05650675 699.637
0.05881685 669.0971
0.04996376 691.5487
0.06028351 670.3317
0.03067774 633.2551
0.04447256 616.7798
0.05097583 572.6941
0.05138631 607.555
0.04206348 660.0631
0.0549633 663.8956
0.04401325 702.8953
0.0466552 753.1664
0.03846127 806.7645
0.02959331 829.868
0.0513157 734.3936
0.05460038 765.263
0.04205055 656.5575
0.06359183 652.2456
0.0780001 648.7067
0.07016128 538.0705
0.04752012 537.377
0.06004569 491.6972
0.04524101 503.5046
0.06002768 511.0766
0.07696739 527.2786
0.06763484 567.3005
0.05186894 619.1297
0.05474071 577.8396
0.03800021 623.8454
0.03328822 655.1395
0.03539613 656.3482
0.0318322 585.4184
0.03715143 573.6895
0.04111171 658.7612
0.02933904 632.43
0.02598742 552.8311
0.03024906 611.118
0.06187496 610.6998
0.0542476 578.9525
0.07035089 517.4377
0.07645822 537.6354
0.0514645 464.9354
0.06022944 513.9635
0.0847192 477.622
0.0737028 457.5511
0.06892619 497.0052
0.05754852 500.3364
0.05259094 495.6184
0.05579298 493.7126
0.05047055 494.2935
0.0503917 508.0113
0.05562955 549.2736
0.0361756 526.0102
0.05043833 511.7161
0.07379795 563.8035
0.04940307 475.295
0.05439797 533.8973
0.03736775 478.0377
0.054983 449.4452
0.03827899 467.2732
0.04858869 465.7326
0.08118619 507.0124
0.04854292 488.1786
0.06094136 481.2595
0.04979963 436.0684
0.05344348 442.3766
0.07117348 458.1608
0.06943445 420.8816
0.0650152 416.5943
0.05495994 465.2023
0.06355808 515.7698
0.06096564 527.8283
0.06091416 514.0622
0.04508213 554.7046
0.0708193 560.0129
0.05754208 571.6243
0.06108004 560.5628
0.04587988 545.2651
0.05805092 560.7265
0.05011477 527.3238
0.09908107 529.0379
0.08788446 574.2454
0.08343666 482.2372
0.1059589 493.6727
0.1234124 491.7006
0.1204498 527.9603
0.1130178 513.3503
0.08590746 517.1564
0.07257534 541.6381
0.09263866 537.9046
0.06463144 509.4611
0.0791505 462.8654
0.08588542 516.5478
0.07448809 544.0121
0.07393104 538.8823
0.07350831 545.8428
0.05156126 560.6026
0.05224483 531.5687
0.07285677 527.2507
0.08171669 528.3192
0.08493178 567.4038
0.08121838 530.7465
0.08872808 519.9995
0.06438016 583.6274
0.05467897 567.6583
0.05823967 530.2076
0.07162833 551.7325
0.07701546 579.9572
0.06232857 579.64
0.05582284 554.8796
0.06960142 504.2079
0.0671467 489.0664
0.07310738 437.8513
0.1317975 485.9861
0.1259435 456.9274
0.07783359 434.3742
0.1289892 431.6797
0.09724028 454.1046
0.07936754 423.1652
0.08970579 407.5649
0.09724827 373.3266
0.133604 414.3375
0.1047092 427.6366
0.1305086 420.5984
0.1371452 418.0291
0.1438993 413.9698
0.09956182 436.3631
0.07274223 434.3021
0.07198179 460.0625
0.08917182 421.6846
0.08011584 410.5943
0.09684343 458.1033
0.07908838 428.9707
0.09043401 415.0623
0.09240031 414.1502
0.08025864 429.9504
0.0568768 415.1615
