,BA,BB,BC,BL,BRR,GBLUP,EGBLUP,RKHS,LASSO,RR,SVM,RF
15060021,33.506,34.859,33.458,33.548,33.798,33.349,33.63852,33.908,39.9,34.072,30.94,29.265
15060025,53.562,52.923,53.381,53.222,53.302,53.126,54.09481,54.212,53.172,53.179,57.054,63.627
15060027,44.739,44.557,44.545,44.809,45.213,43.998,42.99782,41.849,43.792,43.905,33.057,34.776
15060039,43.995,43.569,43.881,44.07,44.363,43.425,43.05709,42.684,44.654,43.416,35.945,36.655
15060042,47.326,47.079,47.37,47.081,47.365,45.614,47.7495,46.707,45.497,47.597,48.049,47.768
15060056,53.898,55.053,53.99,52.619,51.899,57.066,55.04678,57.752,48.162,55.453,74.055,63.803
15060063,37.493,37.149,37.364,38.261,38.048,38.87,37.99085,39.516,36.927,38.611,33.358,36.63
15060070,34.511,34.061,34.455,34.732,34.614,33.866,34.16212,33.434,34.717,34.275,30.946,29.133
15060081,60.417,59.684,59.741,59.674,59.263,61.826,59.19634,61.984,57.863,60.738,78.053,71.192
15060085,35.153,36.1,35.471,35.965,35.855,37.742,35.34084,36.449,32.972,36.822,30.346,32.716
15060087,34.08,33.913,33.945,34.377,34.266,33.866,33.98736,33.331,34.717,33.972,30.293,31.382
15060097,77.218,77.908,76.56,76.714,76.083,79.423,77.2979,70.116,76.297,77.224,73.051,68.362
15060102,35.834,34.165,35.96,35.583,35.598,35.033,35.99389,36.14,37.123,35.53,30.738,33.485
15060112,33.312,33.32,33.271,33.486,33.409,32.761,33.89152,33.241,34.492,33.456,31.694,31.205
15060114,46.087,45.947,46.089,46.31,46.496,45.892,45.71075,45.845,45.341,45.94,44.938,44.206
15060120,62.808,62.006,62.939,61.251,61.073,63.891,62.37688,61.507,57.445,62.44,78.054,70.369
15060121,35.076,35.632,35.043,35.375,35.333,33.9,35.23902,35.281,37.059,35.465,29.948,30.266
15060122,52.685,53.227,53.042,52.929,52.849,52.87,52.5658,52.959,53.542,52.923,44.942,51.024
15060138,43.746,42.384,42.895,43.233,43.286,41.916,43.26429,44.113,41.351,43.417,44.943,44.583
15060160,53.163,52.349,52.574,54.578,53.631,48.566,47.69499,49.402,49.597,49.466,44.942,49.646
15060187,50.561,51.546,50.192,49.967,50.298,50.002,50.81424,50.406,52.525,49.997,48.001,45.14
15060188,43.084,43.491,42.769,42.749,42.524,43.775,42.45744,45.924,39.713,44.919,64.054,56.67
15060190,39.709,40.803,39.63,39.893,40.777,40.635,39.82429,39.764,45.433,40.03,32.057,35.44
15060191,69.91,69.866,70.027,69.267,69.17,68.765,69.38679,68.913,69.689,70.173,78.06,77.807
15060214,67.478,66.009,67.483,66.674,66.78,65.78,67.69993,66.073,67.937,66.44,74.058,68.822
15060313,62.028,61.355,62.499,61.401,61.408,59.666,62.61628,61.777,58.328,60.932,75.056,68.735
15060320,66.224,65.529,66.251,65.021,64.728,65.431,65.14707,65.472,60.257,64.638,78.055,76.442
15060345,46.479,46.365,46.55,46.377,46.245,46.248,46.71912,46.585,45.632,46.247,41.961,60.611
15060383,62.353,61.407,62.746,61.636,61.568,60.052,62.82854,61.843,58.328,60.984,73.055,68.714
15060420,46.766,46.651,46.905,46.706,46.604,47.1,46.84752,46.841,45.632,46.577,41.087,45.151
15060543,44.243,44.25,43.879,44.223,44.431,46.974,43.89589,44.541,46.353,44.983,39.956,41.757
15060570,65.758,63.263,66.434,64.705,64.983,67.661,67.21735,64.749,52.089,65.609,74.057,68.181
15060797,35.895,34.473,35.146,35.979,36.287,32.801,35.22556,37.712,38.954,35.404,28.945,35.352
15060846,52.802,53.306,53.086,53.151,52.88,53.316,52.67462,52.99,53.542,52.675,39.941,45.622
15060907,55.307,54.613,55.494,55.724,55.67,58.043,52.88839,53.517,53.521,56.183,52.945,53.685
15060910,45.63,44.241,45.261,45.803,46.025,42.977,43.27478,44.756,46.463,44.697,41.055,42.586
15060933,44.708,44.525,44.381,44.767,44.96,47.103,44.18687,44.554,46.353,45.062,41.058,43.368
15060964,39.955,40.353,40.404,40.118,40.897,42.431,39.32538,40.206,41.094,40.242,30.2,35.8
15061007,39.258,39.629,39.716,39.494,40.263,40.635,39.02308,40.028,40.637,39.449,41.05,40.769
15061011,53.358,52.716,53.198,52.943,53.073,54.347,53.92497,54.069,53.172,53.169,58.372,63.289
15061122,53.086,53.318,53.486,53.367,53.219,52.869,52.82079,52.949,53.542,52.909,44.938,45.63
15061204,35.886,35.586,36.048,37.408,36.999,37.669,35.55315,40.178,35.371,36.47,31.941,40.698
15061213,43.692,43.536,43.677,43.909,44.166,43.876,42.50859,42.601,44.654,43.407,36.942,36.108
15061215,43.659,43.493,43.496,43.752,44.004,43.043,42.39507,42.563,44.654,43.189,35.942,36.019
15061216,40.672,41.328,40.027,41.063,40.833,42.271,39.76805,42.107,43.64,40.341,31.95,38.139
15061225,45.272,45.463,45.231,45.486,45.524,46.069,45.08836,45.952,44.067,45.472,44.944,44.762
15061226,65.808,64.265,66.24,64.231,63.714,65.234,67.94511,65.088,59.051,63.61,78.056,70.901
15061228,37.841,39.881,38.303,39.627,39.214,37.613,36.78701,38.724,43.177,38.14,31.937,34.285
15061237,43.953,44.145,43.467,44.058,44.133,46.734,43.7007,44.447,46.353,44.242,41.064,42.752
15061256,39.049,42.675,38.461,38.746,39.16,38.396,38.95116,38.346,40.095,38.102,31.946,36.394
15061257,52.742,51.181,53.271,53.224,53.018,49.868,50.1968,49.597,52.027,51.643,44.954,47.59
15061259,33.969,34.008,33.997,34.332,34.236,33.842,33.97575,33.298,34.717,33.902,30.528,29.284
15061260,53.193,52.929,53.123,52.854,52.934,53.455,53.68376,53.881,53.172,53.005,52.545,44.712
15061262,44.221,43.813,44.4,44.35,44.52,44.844,44.58452,44.899,44.087,44.433,39.091,39.834
15061263,39.079,40.924,40.185,40.524,40.785,41.772,39.07353,39.761,42.451,39.58,29.955,37.756
15061264,49.844,50.138,49.876,49.544,49.369,50.916,52.1023,53.016,48.665,50.447,73.058,64.719
15061265,43.445,42.719,43.411,44.007,44.168,42.613,42.40176,41.769,42.629,43.695,31.945,34.096
15061270,41.335,42.14,41.635,41.943,42.069,41.688,42.29873,41.864,44.14,41.797,41.059,41.798
15061273,43.682,43.224,43.758,44.258,44.428,43.596,42.51655,42.015,42.629,44.268,34.312,38.249
15061274,46.783,46.473,47.068,46.914,46.995,47.943,46.25888,45.135,43.528,46.727,42.938,47.476
15061277,74.164,73.167,74.252,73.04,72.378,75.153,72.3554,70.59,76.339,75.334,78.056,71.267
