SAMPLES,GEBVs(RKHS),ACTUAL
15062362,83.445,90
15061954,90.191,90
15062339,86.634,94
15061482,73.883,71
15062104,88.391,90
15061707,88.682,90
15061567,81.442,94
15061964,88.048,90
15061488,85.123,71
15061438,84.939,71
15061814,75.051,71
15061721,79.611,90
15061601,83.619,94
15061719,87.971,94
15061629,80.595,71
15061477,81.622,71
15061761,87.941,94
15061336,82.147,90
15061386,84.087,90
15061305,79.642,71
15061676,83.576,90
15061523,63.128,71
15061763,84.784,94
15061385,63.168,71
15062133,85.2,71
15061333,83.054,90
15061627,84.425,71
15061731,84.968,90
15061641,75.085,52
15061330,80.374,94
15061626,80.678,71
15062147,78.926,71
15061487,82.341,71
15060536,81.654,90
15061261,82.265,96
15061389,85.154,90
15060101,87.806,71
15061397,63.131,94
15061551,74.289,71
15061539,63.134,90
15062115,83.543,90
15061361,83.546,90
15061669,83.85,71
15062359,80.676,90
15061690,85.108,90
15061308,85.069,93
15062372,82.285,94
15061342,83.58,90
15061281,84.023,71
15061932,79.236,71
15061370,90.113,90
15061630,87.344,96
15061789,74.075,71
15061666,81.516,71
15062143,88.16,90
15061297,85.409,95
15061907,78.931,94
15061538,63.078,71
15062371,69.218,71
15061685,88.098,94
15062081,83.695,90
15061969,78.529,71
15061498,84.674,90
15061271,85.911,32
15062344,79.948,90
15061279,86.833,94
15062144,63.344,90
15061722,79.045,71
15061768,70.531,71
15061557,82.156,90
15061434,78.883,90
15060072,83.636,94
15061405,67.683,71
15062052,90.122,94
15062098,90.323,90
15061916,83.728,90
15061377,82.287,94
15061633,78.588,71
15061702,86.009,90
15061614,67.706,71
15061368,84.052,94
15061520,80.561,93
15060082,81.033,71
15061656,81.64,71
15061331,83.789,71
15061327,82.212,71
15062074,76.702,32
15061300,83.557,96
15061776,74.128,71
15061462,82.1,96
15061302,86.26,94
15061957,84.174,71
15061514,82.296,90
15060909,79.353,71
15062063,83.671,90
15060090,68.988,52
15061301,84.641,90
15061423,74.893,71
15061453,83.558,90
15060215,67.953,71
15062119,88.469,71
15061537,88.146,94
15061667,88.179,90
15062123,85.426,71
15061710,87.396,96
15061258,88.342,32
15061443,74.059,90
15060050,68.987,71
15060110,63.13,71
15062053,83.707,71
15061764,83.171,94
15061799,84.834,90
