probIn scale
0.04054798 1.452942
0.03271735 1.435003
0.026209 1.477547
0.02296822 1.361247
0.02819655 1.289773
0.032316 1.182929
0.02780622 1.243852
0.02436779 1.145076
0.02646984 1.147151
0.03657752 1.157277
0.02296529 1.171913
0.01897666 1.263245
0.01305633 1.210903
0.034539 1.111024
0.03014178 1.022329
0.02058577 0.9523066
0.02841095 0.9766904
0.0310854 0.8868887
0.02802443 0.8292565
0.0239992 0.8629897
0.03604148 0.8322921
0.02098559 0.812592
0.02586253 0.8528383
0.02576731 0.8677685
0.02982993 0.9883097
0.03628427 0.9653546
0.05428444 0.923164
0.04088539 1.054921
0.03076706 1.169118
0.04369124 1.103806
0.05880268 1.064042
0.07940492 1.143994
0.04822038 1.110128
0.04772558 1.09443
0.03951946 1.027216
0.0398288 1.009735
0.03903555 1.011122
0.03359019 0.9554695
0.02822192 0.8947526
0.02829023 0.8834644
0.03434953 0.8268647
0.05640723 0.8958632
0.03290463 1.015999
0.02623503 1.03728
0.02816592 1.030458
0.06791899 0.9560405
0.05740619 1.018219
0.04760716 0.9812472
0.0481884 1.047224
0.06053153 1.003397
0.07412731 0.9498399
0.06818616 0.919074
0.05804413 0.8781675
0.06613693 0.8235067
0.06049974 0.8138134
0.04388358 0.890907
0.03351868 0.8102838
0.03260319 0.7913373
0.03626329 0.8709669
0.03967037 0.9063636
0.03346748 0.9042004
0.03430039 0.8763109
0.05550974 0.9853709
0.05856918 0.9140273
0.05383679 0.9091087
0.0531581 0.9840217
0.03464289 1.029544
0.03211697 1.152102
0.03544573 1.187668
0.03401836 1.084216
0.03574486 1.153074
0.02965192 1.12286
0.03222871 1.14647
0.02757154 1.12145
0.01853273 1.038041
0.02067839 1.000832
0.0402233 0.9676589
0.06076725 0.9388618
0.04198749 0.9136275
0.03249986 1.087734
0.02935373 1.06022
0.03601694 1.180285
0.05061361 1.183996
0.04317294 1.161739
0.03728046 1.262136
0.02579299 1.259469
0.01910285 1.216215
0.027854 1.360326
0.01922871 1.408414
0.02606371 1.356227
0.0258723 1.395747
0.03495445 1.395689
0.0151602 1.283772
0.02724408 1.371382
0.02395178 1.32749
0.02662651 1.42175
0.02033749 1.264008
0.02633976 1.353422
0.01529202 1.515822
0.01653776 1.620511
0.03975743 1.703871
0.02605222 1.813448
0.03686357 1.704908
0.01550724 1.684632
0.02993309 1.282682
0.03636935 1.311218
0.03086164 1.37147
0.03386314 1.412963
0.0481656 1.35392
0.03303071 1.288857
0.03924941 1.483229
0.03188553 1.33623
0.03208061 1.466492
0.05088578 1.471865
0.04588173 1.43635
0.06230363 1.550447
0.04162363 1.682496
0.04784188 1.698988
0.04038242 1.823609
0.03873502 1.999834
0.03307375 2.017437
0.03524876 1.975478
0.03436331 1.822227
0.0319038 1.86652
0.02841844 1.909583
0.04584637 2.049187
0.02368091 1.909092
0.02152046 2.173174
0.01910015 2.158254
0.02554347 2.409513
0.02317598 2.450826
0.03453989 2.310166
0.02732093 2.340957
0.0186572 2.462596
0.0170812 2.658064
0.01925519 2.517996
0.02091923 2.30778
0.01529993 2.126112
0.01910907 2.369858
0.02045944 2.558736
0.01419713 2.579452
0.01042597 2.552878
0.006472843 2.401957
0.01336387 2.393723
0.02326898 2.557568
0.01853059 2.634225
0.02140296 2.75586
0.02000168 3.211358
0.01636443 3.250536
0.02087636 3.479251
0.01975666 3.47267
0.01261925 3.557662
0.01033916 2.975658
0.01657918 3.293826
0.008432702 3.343636
0.01054919 3.188775
0.01227073 2.935959
0.01932953 3.07217
0.0213497 2.973691
0.01151803 2.908792
0.01567826 2.935401
0.01495529 2.877345
0.01278986 2.686489
0.01993628 2.712454
0.01065262 2.719192
0.01341006 2.681208
0.01342428 2.902049
0.02706952 2.946616
0.01867968 2.980776
0.01889489 3.147669
0.01527613 3.003406
0.02224191 2.924676
0.01713765 3.436525
0.01584878 3.917579
0.01797427 3.793569
0.01376663 4.228104
0.01673512 4.543742
0.02075821 4.413525
0.03322219 4.293047
0.02569062 4.743917
0.03300321 4.521994
0.02415168 4.918297
0.01589117 4.56733
0.02438812 4.784086
0.01655542 4.78293
0.01058377 4.700613
0.01431108 4.001147
0.01672815 4.624035
0.01285861 5.064243
0.01408564 4.985721
0.02039664 4.483406
0.0199224 4.671443
0.01990659 4.740455
0.02365797 5.041621
0.0117147 4.778947
0.01808453 4.561876
0.02126193 4.507744
0.01692101 4.330326
0.0133808 4.730588
0.01335791 4.235035
0.01207599 4.190708
0.01013798 3.52319
0.02349814 3.482925
0.01619163 3.521917
0.01761519 3.260936
0.02170017 3.639312
0.01990675 4.127696
0.02299772 4.135863
0.01753692 4.281646
0.01953947 3.881405
0.01750751 4.139088
0.007690162 4.170958
0.01232087 4.090379
0.01130082 3.804157
0.01746581 3.512646
0.02680351 3.604554
0.02151247 3.481025
0.019197 3.465862
0.01025003 3.520461
0.01591559 3.46686
0.01115937 3.471291
0.01787284 3.667661
0.01485226 3.428975
0.02035335 3.364699
0.01376958 3.470462
0.01280602 3.438932
0.01216072 3.421766
0.01382863 3.487743
0.01707027 3.769828
0.01490002 3.652937
0.01657396 3.300506
0.02110841 2.987992
0.01593373 3.066136
0.02025972 2.69091
0.02662916 2.593699
0.02880689 2.507011
0.0406452 2.78903
0.02176198 2.688338
0.01657992 2.315837
0.01676077 2.326306
0.02258313 2.024886
0.02836153 2.004159
0.02190384 2.142087
0.01402065 2.335827
0.01271927 2.15043
0.01536769 2.382963
0.01387204 2.26102
0.02740523 2.262653
0.03003039 2.311505
0.02101591 2.171566
0.03119232 2.099575
0.02255627 2.311799
0.01950537 2.402816
0.01586291 2.443058
0.009497505 2.742419
0.01882668 2.705859
0.01262704 2.772979
0.0226042 2.952751
0.01883356 3.014541
0.01920239 3.086296
0.01678146 3.095975
0.01846222 3.039728
0.01668773 2.989244
0.02630374 3.370208
0.02158355 3.403795
0.03075039 3.456644
0.03384518 3.271532
0.03364123 3.094837
0.0160177 3.212699
0.01654427 3.331056
0.02845956 3.35946
0.02485766 3.484899
0.02041861 3.077231
0.0146195 3.317594
0.02506558 3.484253
0.01477666 3.502736
0.01524224 3.557301
0.01237119 3.426108
0.02077381 3.523373
0.01460793 3.234399
0.03084596 3.355506
0.01759333 3.147934
0.0232515 3.254276
0.02160843 3.315673
0.02164401 3.284552
0.01308317 3.221749
0.01562503 3.146408
0.02512786 3.073545
0.01986532 2.957587
0.01476057 3.002348
0.01325959 2.983832
0.006818505 3.324185
0.01685195 3.359734
0.01210601 3.223238
0.01218488 2.892645
0.0158314 3.008101
0.01490255 2.912789
0.01845587 3.094044
0.01681619 2.963471
0.01769147 2.865003
0.01496886 2.909676
0.01749236 2.698765
0.009974812 2.843658
0.01700952 2.879169
0.01979132 2.968561
0.0125167 3.029463
0.01044659 2.873082
0.02155601 2.925019
0.0224034 2.768631
0.02990769 2.670505
0.01361112 2.738726
0.02030055 2.805523
0.01424626 2.85773
0.01511487 2.809234
0.01455852 2.648355
0.01761325 2.444276
0.02300586 2.768547
0.01810289 2.525662
0.02630709 2.441453
0.02565769 2.599432
0.02259477 2.401823
0.0277087 2.075066
0.02773036 2.102841
0.02309989 2.110574
0.03947999 2.064218
0.0210944 1.789972
0.02711857 1.859279
0.01690933 1.797185
0.01721549 1.920035
0.01406534 1.82899
0.03171788 1.84438
0.02431954 1.792825
0.01400735 1.650716
0.02012201 1.623609
0.0176584 1.594495
0.02133798 1.861397
0.01184813 1.655289
0.02709224 1.611621
0.02976679 1.676104
0.02550875 1.789685
0.0253801 1.628687
0.03585215 1.76976
0.02545934 1.875341
0.02875768 1.768675
0.02387947 2.064391
0.02550856 1.934068
0.02988677 1.874003
0.02306888 1.923054
0.02225252 1.873037
0.03843298 1.794034
0.02415084 1.764459
0.03255117 1.769767
0.02366783 1.994198
0.02484258 2.05864
0.02371981 2.228494
0.01778553 2.170478
0.01983087 2.334492
0.02121492 2.637902
0.01605529 2.554542
0.02174155 2.577217
0.02132306 2.125408
0.02326725 2.159339
0.02568018 2.280887
0.01787432 2.469029
0.0207135 2.710447
0.01502347 2.848916
0.02024495 3.127277
0.0240908 3.39597
0.0180672 3.117801
0.01912522 3.372174
0.01921058 3.166737
0.01985757 2.93595
0.02522802 3.38966
0.009049353 3.542191
0.02087672 3.478495
0.01803862 3.369515
0.01575094 3.643157
0.01070415 3.529246
0.01280137 3.290407
0.02262753 3.277661
0.02650473 3.174784
0.01627643 2.937659
0.01297108 2.663747
0.02085032 3.035045
0.02567323 2.660772
0.02098352 3.16725
0.02273839 2.934925
0.01739838 3.198788
0.01693437 2.998358
0.01607799 3.233716
0.01601788 3.067042
0.0269964 3.018608
0.01394141 3.18356
0.02172762 2.905885
0.009708417 2.610462
0.01709836 2.517659
0.0245757 2.880007
0.01534422 2.795698
0.01530755 3.179178
0.01504932 3.08378
0.0106188 3.127547
0.02234811 3.293367
0.02138513 3.253443
0.01418829 3.319337
0.01335451 3.373708
0.01188046 3.206501
0.02643797 3.117126
0.01195556 3.205949
0.01605758 3.347399
0.01196419 3.619336
0.01349765 3.117349
0.01722649 2.95349
0.02323848 3.100222
0.01798838 3.279357
0.01204785 3.350513
0.01239929 3.544004
0.01075903 3.608025
0.01826022 3.925181
0.0119939 4.111065
0.01010369 3.922942
0.01698822 3.683129
0.01306788 3.777407
0.01098814 3.930786
0.009589741 4.255784
0.009846512 4.578689
0.01369585 4.391686
0.008811796 4.257378
0.01065493 5.468915
0.008396498 5.97135
0.009087335 5.954578
0.007667464 5.890885
0.01332475 5.999069
0.009437136 6.063517
0.01701866 5.874464
0.01774725 6.149642
0.01377699 5.981894
0.01367743 5.093804
0.0138517 4.827251
0.004365382 4.603366
0.01705681 4.420707
0.0219505 4.980296
0.01265332 5.335028
0.01890558 5.312156
0.01031592 5.272204
0.01281037 4.935528
0.01135999 4.262063
0.007032025 4.296841
0.01474344 4.09512
0.01047799 4.290239
0.01301117 4.681042
0.01214051 4.655068
0.01690656 4.866088
0.0117221 4.492234
0.01240544 4.50683
0.02018867 4.59378
0.02228392 4.15474
0.01863057 4.41823
0.009104421 4.657386
0.008798368 4.2
0.0189359 4.324703
0.009491654 4.37373
0.013341 4.226715
0.01604426 4.311739
0.0120295 4.054587
0.02472619 3.996203
0.017166 4.162451
0.01782777 4.039136
0.01221213 4.399319
0.006182066 4.111267
0.01083326 4.130053
0.01322436 4.400222
0.0161623 4.478274
0.01096528 4.451098
0.01905103 4.104737
0.01983463 4.218158
0.0100623 4.150851
0.0103533 4.146527
0.01095528 4.024529
0.0136218 4.029735
0.01070113 4.258133
0.01008429 4.371531
0.01640635 4.381008
0.01251737 4.114853
0.009335296 4.115679
0.01318245 4.321402
0.01993743 3.958106
0.006706044 4.220962
0.009989875 4.527511
0.009543006 4.60748
0.00743015 4.967517
0.0190229 4.388327
0.01460626 4.202474
0.009190871 4.335387
0.007567126 4.652179
0.01009064 5.082927
0.004999939 4.488649
0.01050329 4.484461
0.01090934 4.281647
0.01659508 4.57024
0.01365318 4.695255
